,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0.266305609161196,0,0.338938837629382,0,0,0.075196987590102,0,0.146481377720973,0,0,0,0,0,0,0,0,0.0272896023408355,0,0,0,-0.0835847847929095,0,0,0,0,0.0331006757695398,0,0,0,0,0,0,0,0,0,0.111398038168377,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0606628875716159,0
X601939.CH.EQUITY,0.383077432886617,0,0,0,0,0,0,0,0,0,0,0.0212786423764615,0.503465193678441,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504175878453236,0,0,0,0,0,0,0,0,0.0523640666122538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0220890394294496,0,0,0,0,0.334656368937522,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0896277667418718,0,0.0233699629246877,0,0,0,0,0.391642922354514,0,0,0,0,0.0185710056880348,0,0,0,0,0
X601288.CH.EQUITY,0.385917830417521,0.0306081593822681,0,0,0.357951844719902,0,0,0,0,0,0.0988561346008021,0,0,0,0,0,0.0533268184890105,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0193382696683364,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.03453245903734
X601988.CH.EQUITY,0,0,0,0.281361695500377,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139232788126575,0,0.184178297838887,0,0,0,0,0,0,0,0,0,0.0261237156866836,0,0,0.0632886018660273,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0.124673685443665,0,0.157175976836125,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502521375405578,0,0,0,0,0,0,0,0.204364237587254,0,0,0.462229113948275,0,0,-0.268975285141347,0,0,0,0.0712043473078982,0,0,0.0156324520865613,0,0,0,0,0,0,0.422721450369475,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0260764179684735,0,0,0.0511871377433464,0,0,0,0,0,0.368481268175082,0,0,0,0,0,0,0,0,0.0254399131639075,0,0,0,0,0,0.107222767392713,0,0,0,-1.73472347597681e-18,0,0,0,5.42101086242752e-20,0.147711739142606,0,0,0,0,0.0742016667835455,0,0,0,0,0,0,0,0,0.230631682375575
X1299.HK.EQUITY,0,0,0,0,0,0.177304223418354,0.157905207932677,0,0,0,0,0,0,0,0,0.0307172056973002,0.147951894823233,0,0,0,0.173053162921617,0.252678899478935,0,0,0,0.114212753507011,0,0,0,0,0.0116355985606505,0,0,0,0,0,0,0,0.110190004918921,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0952365822898141,0.0307419628298773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470866876621773,0.0352795203450799,0,0,0,0,0,0,0.15464279335727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181581972288195,0,0,0,0,0
X601658.CH.Equity,0,0,0,-0.0332943219877493,0,0,0,0,0,0,0,0,0,0.0168692710885189,0,-0.0364909007943987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190184780555582,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.551894963189829,0.464423245068929,0,-0.0173587625279298,-0.208716806470642,0,1.04684174983113,0,0,0,0,0
