,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X2388.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X002142.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X600926.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601997.CH.EQUITY,X600999.CH.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,X000166.CH.EQUITY,X601066.CH.EQUITY,X000776.CH.EQUITY,X2007.HK.EQUITY,X601881.CH.EQUITY,X002958.CH.EQUITY,X1109.HK.EQUITY,X600606.CH.EQUITY
X601398.CH.EQUITY,0,0.356945033505722,0,0.00501311624403197,0,0,0,0,0,0,0,0,0.0564408567773824,0,0.0631340396343128,0.0865634616548161,0,0,0,0,0,0,0.0270482784308842,0.0019536313805692,0.058388291730167,0,0,0,0.0304760706325302,0,0,0,0,0,0.0329885973537665,0,0,0,0,0,0,0.0391373224116856,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0769947196286961,0,0.411985008758425,0,0,0.0618565984781972,0,0,0,0,0,0,0.0362927302357182,0,0,0,0,-0.0699046477348275,0.0393542118218197,0.216387851716483,0,0,0,0,0,0.100127722766783,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0474444192757387,0,0,-0.00751427596418063,0,0,0,0.0228410669719166,0,0.0434139705533666,0,0.114353669608692,0,0,0,0
X601288.CH.EQUITY,0.767037831427403,0,0,0.225615897512969,0,0,0.0281704620406312,0,0,0,0,-0.169008989364591,0,0,0,0,0,0,0.125132015357168,0,-0.00140885781262279,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279877374254593,0,0,0.170272378374361,0,0,-0.173112309120205,0,-0.134468316668785,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.445556507374859,0,0,0,0.0264764161818261,0,0,0,0.259940483093522,0,0,0,0.0701061942149143,0.0152864599398354,0,0,0,-0.126839377794794,0.0209558052768554,0,-0.227186028444834,0,0,0,0,0,0,-0.0742250975108738,0.335476343082091,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.200042804138197,0,0.100917942857611,-0.0316428130835453,0
X5.HK.EQUITY,0,0,0,0,0,0.252477357383531,0,0,-0.0690272614878014,0,0,0.23609121561408,0,-0.169655828831714,0,0.0369389636661743,0,0,0,0.0644065623132991,0.214922338324472,0,0,0.0592009648024762,0,0,0,0.198528832367902,0,0,0,0.0339907510595107,0,-0.154521673099867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110705370809916,0,0
X601658.CH.Equity,0.114539014322118,0,0,0,0.0992808777007698,0,0,0,0,0.0490864126110657,0,0,0,0,0,0,0,0,0,0.0345283243563553,0,0,0,0.0453314665750839,0,0,0.258330392158212,0,0,0.0747035256797366,0,0,0,0,0,0,0,0,0.342099376252257,0,0,0,0,0,-0.0455976052346924,0,0,0,0.0826218288706526,0
X601328.CH.EQUITY,0,0,0.0992777339717876,0.275913350320746,0,0,0,0,0,0,0.0909355076733067,0,0.174290300735737,0,0,0,0,0,0,0,0,0.179881331739942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220238417917219,0,0,0,0.0945135688704705,0,0,0
X601318.CH.EQUITY,0.0285538022108864,0.0305639808104096,0,0.0455196149040987,0,0.0600519106256899,0.00990475923756262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023281957167781,0,0,0.00827026798964845,0,0,0,0,0,0,0.482996070281837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279719156158756,0,0
X600036.CH.EQUITY,0.0501011246534028,0,0,0,0,0,0,0,0,0.110930728085555,0,0,0,0,0.123998682286334,0.373267877802718,0,0.0061090569689634,0.0027543182047246,0,0,0,0.0414630173300683,0,0,0.186785625353753,0,0,0.0275572057962991,0,0,0,0,0,0.0446766206611131,0,0.0216745443690495,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.360318253964122,0,0,0.0697979197811145,0,0.0662801524143168,0,0,0,0,0,0.385039629821946,0,0,0,-0.120830438569893,0.305791970853561,0,0,0,0,0.0815305138448974,0.0686276449317108,0,-1.73472347597681e-18,0,-0.146874131277579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
