,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0.244206672839438,0,0.133784145200492,0,0.0384370862108233,0,0,0.250284975874396,0.0714576742480559,-6.93889390390723e-18,0.107491397483711,0,0,0,0,0,0,0.059821300288052,0,0,-0.0873033681331345,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590456439538316,0,0,0,0,0,0,0,0,0,0.051814233533981,0.0131522732769665,0,0,0
X601939.CH.EQUITY,0.462110313367446,0,0,0.0175889907970745,0.000414665589620891,0,-0.0311205006447023,0,0,0,0.192507624351378,0,0,0.226286302941792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00858654314171611,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.232925704869547,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019979175808148,0,0,0,0,0,0,0.152663598154382,0,0,0.0792287041461669,0,0.173923576305147,0.183717057666238,0,0,0
X601288.CH.EQUITY,0.372528687307801,0,0,0,0.371541100159613,0,0,0,0,0,0.0703035182219703,0,0,0,0.0713938038879434,0,0,0,0.0609058987533706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174596175340898,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0545015240307651,0,0.318839968648469,0,0,0,0,0,0,0.182499767346807,0,0.0847652783075363,0,0,0,0,0,0.196708823195874,0,0,0,0,0,0,0.040955408332492,0,-0.0116503291641966,0,0,0.0756875205386457,0,0,0,0,0,0,0,0,0.0682882895806674,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0210325840011211,0,0,0,0,0,0,0,0,0.413718643106049,0,0,0,0,0,0,0,0,0,0.0529784871734491,0,0,0,0.129785431578302,0,0,0,0,0,0,0,0,0,0,0.0833123517033475,0,0,0.0595002586455015,0,0,0,0,0,0,0,0,0,0.260757858902234
X1299.HK.EQUITY,0,0,0,0,0,0.0197101236870421,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0305343802565052,0,0.178060459705631,0.0698281050044106,0,0,0.0921040348573914,0,0,0,0,0,0,0.130847037001204,0,0,0,0,0.237367921895639,0,0,0,0,0,0,0,0,0,0.0228317172627562,0,0,0,0.20860088852892,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.415318706485301,0,0,0,-0.629587355347988,0,0,0.793459487351609,0,-0.839558877475899,0,0.200885664557805,0,0.627708484635432,0,0,0,0,0,0,0,0,0.0384493677705971,0,0,0,0,0.249827719724739,0,0,0,0,0,0.0143886618954622,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.294237388519137,0,0,0,0,0,0,0.0991892249695584,0,0.161956822217986,0,0,0,0.13168125776834,0,0,0,0.0124152828896052,0,0,0,0,0,0,0.0566625207083038,0,0,0,0,0,0.0931744278479487,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,-0.204301593575788,0.303530200401135,0,0,0,0.116328642841641,0.0410395131716695,0,0,0,0,0,-0.234345873775233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704668347301763,0,0,0,0,0,0,0,0.00479639519767677,0,0,0,0,-0.100653288454534,0,0,0,0.620929511787326,0.0463807193358614,0,0,-0.10917108886771
