,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.42371403141684,0.0838114770435919,0.0890454985528066,0,0.0267285938369573,0,0,0,0,-0.0107052112125819,0,0.0280927000886275,0,0,0,0.0977066499797291,0.0386500741389495,0,0,0,0,0,0.13813034659333,0,0,0,0,0,0.0235382473095273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0815304688175268,0,0,0.0385247426914595,0,0,0,0,0,0,0,0.197403432453864,0.0283874531405426,0,0,0,0,0,6.93889390390723e-18,0.0552239400373146,0.101050625371262,0,0,0,0,0,0,0,0.127974925211567,0,0,0,0,0.318750319565844,0,0,0.0293398691972669,0,0,0.0206497184365185,0,0,0
X601939.CH.EQUITY,0.344367325412553,0,0,0.144762250532057,0,0.186290358369888,0,0,0,0.0487844361501712,0.0961281538112229,0,0,0,0,0,0,0,0,0,0,0.00104700833856434,0,0,0,0,0,0,0,0,0,0,0,0,0.0598000420985955,0,0,0,0,0,0.0109531934131137,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.42102808584893,0,0,0,0,0,0,0,0,0.213082780028273,0,0,0,0,0,0,0,0.0929937668975837,0,0,0.10449337023568,0,0,0,0,0.0529669725087169,0,0.0428112974348291,0,0.0799588256237972,0,0,0,0,0,0,0,0,-0.0364175934756615,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.408387456169306,0,0.151243990793806,0,0,0,0,0,0,-0.373199326070903,0,0.581893385948819,-0.328543828594445,0,0,0,0.131511285767953,0,0,0,0,0,0,0,0.140319364672839,-0.185735282705867,0,-0.0110572839870154,0,0.614355987571228,0,0,0,0,0,0,0,0,0,0,-0.554006187472372,0,-0.0593667218354748,0
X601988.CH.EQUITY,0,0,0.291188033457021,0,0.0948883835480974,0,0,0,0.219822589208041,0,0,0,0,0,0,0,0,0.142601484000732,0,0,0,0,0.297054755117608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266227156921778,0.0261554185566303,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0145296119995162,-0.0244613387944539,0.202849561251202,0,0,-0.0232426788893301,0,0.0579893775192315,0.0221668041303746,0,0,0,0,0,0.473637701990604,0,0.117563836198413,0,0,0.101142839858666,0,0,0,0,0,0,0,0,-0.0229070144991903,0,0,0,0.0498807478065019,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103988463816557,0,-0.066753934753144,0,0,0.259459505229442,0,0,0,0.0860604846196163,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.34199042471914,0
X601628.CH.EQUITY,0,0,0,0,0.0253708541251612,0,0,0,0,0,0.195597998921751,0,0,0,0,0.00460687084068091,0,0,0,0,0,0,0,0,0,0,0.0436815863722292,0,0,0,0,0,0,0,0,0,0.225188200229192,0,0,0,0.17206756966365,0.1565174271616,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.156296875723236,0,0,0,0,0,0,0,0,0,0,0.100034791592855,0,0,0,0,0,0,0.0224561105409464,0.0885630939279821,0,0,0,0,0,0.112203277096439,0,0,0,0.061020011409441,0,0,0,0.0578067422679888,-0.0245880855129394,0,0,0,0.166979811173287,0.246185282269044,0,0,0,0,0,0,0,0.0213384148035676
