,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0.26572831241695,0.0561233084295063,0.00218448638618115,-0.0128225669826739,0,0.460849060961869,0,0,0,0.0546270237963019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0903338164224678,0.0329420716126416,0,0,0,0,0,0,0,0,0,0,0.0856186507368812,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.097546293606398,0.0703245539624661,0,0,0.172725604961677,0,0.165939675641142,0,0,0,0.0931141105561933,0,0.111043402655242,0,0,0,0,0,0.270062329513593,0,0,0,-0.0107410489030327,0,0,0,0.124186393717357,0,0.114792309269291,0,0.0196223519727738,0,0,0,0,0,0,0,0.0309875314512236,0,-0.150090094159804,0,0.0607847099501613,0,0,0,0,0
X601939.CH.EQUITY,0.467039984752497,0.287552619067628,0,0,0,0.0454316923586491,0,0.283185044063352,0,0,0,0,0,0,0,0.0143510047555413,0,0,0,0,0,-0.228220927517823,0,0,0,0,0,0,0,-0.0561290564161565,0,0,0.117673656416881,0,0,0,0,0,0,-0.0751441930362443,0,0,0,0,0,0,0,0,0,0.0805904268563676
X600036.CH.EQUITY,0,0,0,0,0,0.0286727722410281,0.18927933338578,0.141621844579015,0,0,0,-0.113043072563197,0.156430577669549,0,0,0.0498504615682437,0,0,0,0.0439194898960452,0,0,0,0,0,0.0567146456643573,0.0824401856620127,0,0.108821624061023,0.0163078085852756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373640053874968
X601288.CH.EQUITY,0,0,0.063422635841095,0,0,0.0237607525837648,0,0.47783305300564,0,0,-0.0554686070609923,0.0694591427705529,0,0,0.0741797881805918,0,0,0,0,0,0,0,0.0710156163260763,0,0,0.00784916263998891,0,0,0.0927475336351605,0,0,0,0.0213542588397196,0,0,0,0,0,0,0,0,0,0,0,0.0268123397021567,0,0,0,0.10930388258581,0
X601628.CH.EQUITY,0.17824331944286,0,0,0,0,0,0,0,0,0,0.080553472509131,0,-0.0173781742057416,0,0,-0.164797620583462,0,0,0,0,-0.0885853905534452,0.134494900144022,0,0,0.0146219651779904,0,-0.129446431533509,0,0,0,0,0,0,0,0.606122551221642,-0.0408222624874871,0,0,0,0.0395494019338017,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.207149515341901,0,0,0,0,0,0,0,0.106523076647756,0,0,0,0,0,0,0,0,0.0197831700470803,0,0,0.112590277095129,0,0,0,0,0,0,0,0,0,0.171599047856717,0,0,1.73472347597681e-18,0,0,0.093217175851073,0.157452899289101,0.0651942108193344,0,0.296066485891905,0,0,0,0,0.298618564522708,0,0
X601988.CH.EQUITY,0.0404277386494995,0,0.0903481802773018,0,0.358094251341038,0,0,0,2.71050543121376e-20,0,0,0,0.209634485670171,0,0,0,0.150740832230435,0,0.0179176559448585,0,0,0,0.00951591459575347,0,0,0.0266069238210634,0,0,0,0,0.125469349789435,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.106430293587587,0,0,0,0,0,0,0,0,0,0,0,-0.120742427197397,0,0,0,0,0,0,0.229019285918084,0,0.179636704698315,0.130644225715601,0,0,0,0,0,0,-0.0101442999680827,0,0.0782356222222426,0,0,0,0,0,0.217097219453173,0.0671401176650814,0,-0.0391959593864746,0.247146363390406,0,0.00724852635698597,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.10794548041891,0,0,0,0,0,0,0,0.0768383825033098,0.150626232462834,0,0,0.142564551839393,0,0,0,0,0,0,0,0.0104573524068279,0,0,0.195696012572405,0,0.330929646511823,0,0,0,0,0,0.00177831585581501,0,0,0,0,0,0,0,0,0,0,0,0,-0.0138825022436824,0,0
