,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0545132751796329,0,0,0,0,0,0,0,0,0.0293106220854468,0,0,0,0,0.557471753806179,0,-0.251795377787249,0,0,0,0,0,0,0,0,0,0,0,0.0334116478269056,0.55318356248612,0,0,0,0,0,-0.038144026459368,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.037348523777062,0,0,0,0,0,0,0,0.0554720366901264,0.324326774787204,0.0853009251840128,0,0,0,0,0,0,0.102932122510339,0,0,0,0,-0.0156212768549748,0,0,0,0,0.1691210895219,0,0,0,0.105544194054879,0.117761089443613,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.608016309236943,0,0,0,0,0,0,0,0,0.0228296208554849,0,0,0,0,-0.0148844902340894,0,0,-0.0888888479630459,0,0,0.191990153722259,0,0.0789171909466617,0,0,0,-0.555893820142101,0,0,0,0,0,0,0,-0.155914428076142,0,0,0,0,0,0,0.555421934460464,0,-0.0451871205913087,0,0,0.131621169014225,0,0
X601288.CH.EQUITY,0,0,0,0,-0.00514366201988643,0,-0.107202577497997,0,0.136020124966272,0,0.328366985270641,0,0.0177050003434467,0,-0.0319496024713983,0.32206535423572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0730233084559727,0,0,0,0.149766580961001,0.339637318364905,0,0,0,0.0291894219884319,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,-0.177534419006522,0,0,0,0,0,0,0,0,0,0.129371987886795,0,0.28422774038429,0,0,0,0,0,0,-0.0939674970645111,0,0.0595276670268545
X601988.CH.EQUITY,0,0,0,0,0.305397168139605,0,0,0,0,0,0.158125214153079,0,0,0,0,0.148533495147797,0,0,0,-0.136693373333628,-0.106390211629923,0,0,0,0.213791848854033,0,0,0,0,0,-0.201216970754851,0,0.052763088475449,0,0,0,0,0,0,0,0,0.0598709874582808,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.179162550666041,0,0,0,0,0,0,0,0,0,0,0,0.169113058282291,0,0,0,0,0,0,0,0,0.0492656715085207,0,0,-0.00656973005684758,0.105974237619989,0.0436978751949636,0,0.0229250208697474,0,0,0,0,0.549774814295232,0,0,0,0,-0.0427064515542146,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.552177962896614,0,0.270015076023901,0.148661259792005,0,0.0261826756771202,0,0,0.0302558802847663,0,0.072407580277255,0,0,0,0,0,0,0,0.0490035604422879,0,0,0,0,-0.0572990081196903,0,0,0,0,0,0,0,-0.0987025353042921,0.155342593322475,0.298593723381473,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0473142081204204,0,0.0232308465271585,0,0,0,0,0,0,0,0,0,0,-0.0892127899760968,0,0,0.225348627740243,0,0,0,0,0,0,0,0,0,0.0478021681402451,0,0,0,0,0,0,0.0888423121878482,0.345858069163143,0,0,0,0,0.221165809675668,0,0.102375799233314,0.0714935687411006,0,0,-0.0343832260150826,0,0
X601328.CH.EQUITY,0.0529269342202418,0,-6.93889390390723e-18,0,0,0,0,0.738100676067463,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,-0.165762984326768,0.14073204466378,0,0,0,0.000380512409698388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389222881643396,0,0,0,-0.169932067952622,0,0
