,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X2388.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X002142.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X601319.CH.EQUITY,X600926.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2883.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X2885.TT.EQUITY,X601211.CH.EQUITY,X601997.CH.EQUITY
X601398.CH.EQUITY,0,0.681146122407223,0,0,-0.0303215647446446,0,0,0,0,0.0128418036076898,0,0,0,0,0,0,0,-0.0320189393991085,0.000551214431409754,0,0,0,0,0,0,0.0766901057778203,0.0688817148719656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.473569434569882,0,0,0,0,0.0951180363949969,0,0,0,0,0.160044301495337,0,0,0,0,0,0,0.0841230690449223,0,0.112811022389298,0,0,0,0.203796094513931,0,0.0253738884329932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0791015077145354,0,0.026409368010284,0,0,0,0,0,-0.123747569191621,0
X601288.CH.EQUITY,0.159543797448672,0,0,0,0,0,0,0,0,0,0,0.0711321728217952,0,0,0,0,0,0,0.12631493042602,0,0,0,0,0.251301699131242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111093282937838,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0077710250151548,0,0,0,0,0,0,0,0,0,0.0999337226398033,0,0,0,0,0,0,0,0.149491023434069,0,0,0,0,0,-0.0938670324830507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,-0.0226613682375023,0,0,0,0,0,0,0.00180859932478968,0,0,0.111533575041519,0,0,0,0,0,0,0.339001059548762,0,0,0,0,0,0,0,0,0.193732618053486,0,0,0,0,0,0,0.0465251691387564,0,0,-0.103709884968357,0,0,0,0,0.0180804692440064,0,-0.0572016299672763,0,0,0,0
X601658.CH.Equity,0,0.168284173152883,0.0394753077474162,0,0,0,0.0158376267212869,0,0,0.0386770814439605,0,0,0,0,0,0,0,0,0,0,0,0.105126021059296,0,0,0,0,0,0,0,-0.0745441890984302,0.041272071369312,0,0,0,0,0,0,-0.0345478303691106,0,0,0,0,0,0,0,0,0,0,0,0.425023598432342
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.066647225443167,0.105859938220827,0,0,0.146622514081368,0,0,0,0,0,0.102578308281741,0,0,0,0.264100740562117,0,0,0,0,-0.1170165940513,0,0,0,0.0198115064409579,0,0,0,0,0,0,0,0,0,0,-0.0164247952603032,0,0,0,0,0,0,0,0.0619105015559009
X601318.CH.EQUITY,0.12774707954016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747776240586209,0.287324540087121,0,-3.46944695195361e-18,0,0,0,0,0,0.0353790499337807,0,-0.281823444370361,0.136868787750606,0,0.213272166287327,0,-0.154472893455757,0,0.366196801222615,0,0,0,0,0,0,0.0589685328629919,0,0,0,0,0,0,0.127773101157076
X600036.CH.EQUITY,0,0.0474454918438107,0,0,0,0,0,0,0,0,0,0,-0.0733927197641605,0,0,0.136132469410627,0.125392905792916,0.197032951586903,0,0,0,0,0,0,0,0,0.143948180587804,0,0,0,0,0.155652595598596,0,0,0,0,0,0,0,0,0,0,0,0.0065833755971486,0,0,0.0580767080089608,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.217915987655647,0,0.210772069955083,0.312328532040821,0,0,0,0,0.113631005660277,0,0.102784201094541,0,0,0.289094196660685,0,0,-0.0833247169437944,0,0,0,0,0,0,0,0,0,0,0.124754262604852,0,0,0,0,-0.00753851403880676,0,0.0149926683298594,0,-0.0983737157949111,0,0,0,0,0
X600000.CH.EQUITY,0,0.109983015002611,0,0,0,0,-0.10144251719131,0,0.268630074586092,1.73472347597681e-18,0,0,-0.127987000585985,0.148528829075907,0,0,0,0.0223189966094063,0,0.0553892773899618,0,0,0,0,0,0.0254598650087333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0650987323407717,0,0,0,0,0,0,0,0,0.448754539384928
X601998.CH.EQUITY,0,0.148914864904691,0,0,-0.0410514223275848,0,0.188548906415912,0.140928205803115,0,0,-8.67361737988404e-19,0,0,0.0228615505846494,0.128467267435745,0,0,0,0.14371737368375,0,0,0.0845523952980522,0.0531849540135958,-0.0298237142878102,0,0,0,0.0287260166318584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0.17920054614517,0,0,0.0158914323734073,0,0,0,0,0,0,0,0,0,0,0,0.0249658312564949,0,-0.0139142014985707,0,0.347946470100147,0,0,-0.264593605711227,0,0,0,0,0,0,0,0,0,0,0.13559432497577,0,0,0.13947250527231,-0.0637413990034874,0.324239669747241,0,0,0,0,0,0,0.0342471325963512,0,0,0
