,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X2388.HK.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X002142.CH.EQUITY,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2883.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X601688.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,-0.0942493243333363,0,0,0,0.215028372433703,0,-0.187516663110617,0,0,0,0,-0.364199473794123,-0.292781233461838,0,0.0577564184930573,0,0,0.90424129389446,0,0,0,0,-0.138641628216744,0,0,0.294275644690911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109913294578444,0,0,0,0,0
X601939.CH.EQUITY,0.953653093902173,0,0,0,0,0.177063525159953,0,0,0,0,0,0.0559612624384274,0.00554894757225169,0,0.0867648158351298,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0.0734833466027614,0,0,0,0,0,0,-0.00466387512778925,0,0,0,0,0,0,0.0333820539961584,0,0,0,0,-0.0384118031655686,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0859886998323165,0,0,0,0,0,0,0,0,0,0,0.17095846250892,0,0,0,0,0,0,0.147255472667301,0,0,0,0.298410043003519,0,0,0,0,0.105419441743858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.238769808589225,0,0,0,0,0,0,0,0,0,-0.08804324706307,0,0,0.134828426321523,0.189296180691739,0,0,0,0,0,-0.0152179516956172,0,0,0.142704454374662,0.107616966287911,0,0,0,0,0,-0.210026635915802,0,0,0,0,0,0,0,0,-0.139064012619139,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.339328518021454,0,0,0.00899426011139005,0,0,0,0,0,0,0,0,0,0.151556264208059,0,0.126527872304426,0,0,0,0,0,0.456196556098697,0,0,-0.108367809300319,0,0,0,0,0,0.0224170392425098,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0.208640868704932,0.0300674476517945,0,0,0,0.108844142347356,0,0,0.0897092519259493,0,0.217216468493939,0,0,0,0,0,0,0,-0.00807551824060821,0,0.191421542041058,0,0.0321191981263291,0,0,0,0.13605886748565,0.0398530435549403,-0.0558848485552537,0.0353161187206528,0,0,0,0,0,0,0,0,0,-0.0742602715588115,0,0,-0.0963745482736964,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0.0934444143481496,0,0,0.227628022989901,0.323475977804737,0,0,0.107847932119621,0,0.114543137145667,0,0,-0.0872551030061896,0.0167852783019708,0,0.177298950952048,0,0,0,0,0,0,0.0527836094333677,0.0195170845428411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.179902490716433,0,0.0265933253451008,0.142697882227935,0,0,0,0.317380275540895,0,0,0,0,0,0.15104693418184,0,0,0.00835409371884242,0,0,0,0,0.114283586943814,-0.0614518116284978,0,0,0.299579893869985,0,-0.370674059383869,0.0244393585945541,0,0,0.216285542697638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227363531515902,0,0,0
X600036.CH.EQUITY,0.00260867956019707,0.245128982971178,0,0,0,0,0,0.164993276458139,0,0.0367419889288948,-0.0236723414249583,0,0,0,0,0,0.1337981349872,0,0,0,0,0,0,0,0.199471058654936,0,0,0,0,0,0,0,0,0,0,0.233217925175306,0,0,0,0,0,0,0,0,0.150508612454771,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.0314176664155051,0,0,0,0.158382558303135,0,0,0.293121937941909,0.187357093881791,0,0,0,0.365628494182641,0,0,0.132395202532297,0,0.182682493567936,0.0110693819204348,0,0,0,0,0.00172785224041495,0,-0.0270344584742768,0,0,0,0,0,0,0,0,0,0,0,0,0.0517108652977122,0,0,0,0,0,-0.0613627250182901,0
X267.HK.EQUITY,0,0,0,0,0.0274528066319018,0,0,0.0238926303755271,0,0,0,0,0,0,0,0,0.015060942477263,0.0148778126918078,0.383534221812047,0,0,0,0,-0.256357033704423,0,0,0,0,0,0,0,0,0,0,0.114185914907443,0,0,0.311284954538753,-0.0359119403772938,0.114428878044181,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,-0.0318724673390836,0.118471179436975,0,0,0,0,0,0,0,0,0.156576863569659,0,0,0,0,0,0.0396879943821315,0.367275786644106,-0.163809919404881,0,0,0,0.36306959547783,0.279288031842585,0,0,0,0,0,0,0,0,-0.0696128154349945,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0
