,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY
X601398.CH.EQUITY,0,0.238228309568179,0,0.202898748197259,0,0,0,0,0,0,0,0.153973177534054,0.166956539970574,0,0,0,0,0.101802545745517,-0.117985541233858,0,0,0,0,0,0,0,-0.151188105881572,0,0,0,0,0,0,0,0,0,0.0295502485584602,0,0,0.042179884049326,0,0,0,0,0,0,6.93889390390723e-18,0.0841462326762674,0,0
X601318.CH.EQUITY,0,0,-0.0539824280269007,0,0,0.0645158249269815,0,0,0.228030975504506,0,0,0,0.138479209850016,0,0,0,0.217900877138888,0,0,0,0,0,0,-0.0117627809048277,-0.00881358544018686,0,-0.10763226971109,0,0,0,-0.154786987712724,0,0,0,0.230289107296801,0,0,0,0,0.140153177595268,0.2801925566485,-0.249629319277033,0,0.250875679143731,0,0,0,0,0,0
X601939.CH.EQUITY,0.659588771766239,0,0,0,0,0,0,0,0,0,0.0833599093801568,-3.46944695195361e-18,0.0332787320251208,0,0,0,0,0,0,0,0,0,0,0,0.00167498134118246,0,0,0,0,0,0.056146502979687,0,0,0.241398944776874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.292768486490565,0,0.0903701220909204,0,0,0.40106169286424,0,0,0,0,0,0,0,0,0,0,0.0263152156986994,0.121770794603045,0,0,0,-0.0481147684034927,0,0,0,0,-0.0445004084717175,0,0,0,0,0,0,0,-0.046056439643308,0,0,0,0,0,0,0.141963035673306,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.173541081255122,0,0.240788279946319,0,0,0,-0.106629943215175,0,0,0,0,0.271194544030895,0,0,0,0,0,0.0026413770856289,0,0.550022881009358,0,0,0,0,0,0,0,0,0,0.184155004636611,0,0.0128433026703188,0,0,0,0,0,0,0,0,0.110598781613053,0,0,-0.117976779208619,0,0,0.0670240176134775,0,-0.0683354046601362
X601988.CH.EQUITY,0.184991978163189,0.0380879503903548,0.20991124459859,0,0,0,0,0,0.143284666623898,0,8.67361737988404e-19,0.0170525054471772,0,-0.202496044721514,0,-1.73472347597681e-18,0,0,0,0,0.0785860962466859,0,0.154420075964062,0,0,0,0,0,0,0,0,0,0,0.05264389397494,0,0,0.0295454245333598,0,0,0.194931650857595,0,0,0,0.0829318291398174,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.164427448039286,0,0,0.0317934718437223,0,0.127542313377933,0,0.372952537624422,0,0.0321998777565116,0,0,0,0,0,0,0,0,0,0,0,0,0.0847507584673774,0,0.110220071820027,0.0238987462332066,0,0.0527865992277048,0.00918611460340594,-0.0212010282350668,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.135282101832076,0,0,0,0.120736514501224,0,0,-0.0793464800907809,0,0,0,0.231232448448829,0,0,0.0624444805011091,0,0,0.0307323548783262,0,0.0316468344793122,0,0.0585921666601048,0,0,0,0,0.0187176728046702,0.25063710419957,0,0.00377548507933151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.237662621884676,0.139131024747957,0,0,0,0.00570638481901338,0,0,0,0,0,0,0,0,0,0,0.0478936065002765,0,0,0,-0.123487903501859,0,0,0,0,0,0,0.156443714889088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0925575293328285,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.240019392283745,-0.537515371227173,0,0,0,0,0,-0.0523825045333143,0,0,0,0,0.71850859387919,0,0,0,0,0.0935346467710789,0,0,0,0,0,0,0,0,0,0,0,-0.586986877950661,0,0.127057255488615,-1.73472347597681e-18,0,0,0,0.393004888163915,-0.180217470220745,-0.0056065010846752,0
