,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.073184649386949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13429889173455,0,0.524154617030288,0.604910923070693,0.0368490582160704,-0.196372252605971,0.136205560089187,0,0,0,-0.155426257948716,0,0,0,-0.107729198168016,0,0,0,0,0,-0.0208811198179343,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,-6.93889390390723e-18,0,0.231381928039624,0,0,0,-0.0644247895664281,0,0,0,0.0268002077314156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188308570304188,0.0402065363025815,0,0,0,0,0.196848857168656,0.192972329695216,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.0245465966675146,0,0.827907323602471,0,0,0,0,0,0,0,0,-0.0433847804295941,0,0,0,0.0699136458131951,0,0.104288446063099,0,0,0,0,0,0,0,0.00664983926465601,0.0308495298574133,0,0.00997287645271306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381484914424507,0,0,0,0
X601288.CH.EQUITY,0,0,0.899436667414834,0,-0.102306547219388,0,0,0,0,0,0,0,0,0,0.00462026964886519,0.0271387766386541,0,0.176871317519271,0,0,0.0510858163533931,0,0,0,-0.0667372031370345,0.0127508043138294,0,0.0392096833198562,0,-0.0301580270528447,0,0,0,0,0,0,0,0,-0.00572290621493396,0,-0.0891938809076297,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.103080050438554,-0.0775453810895752,0.284201944458242,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,-0.0463465331459583,0,0,0,0,0,0,0,0.121434721292915,0.498913834942434,0,0,0,0,0,0,0,0,0.298178809296929,0.0871245133758493,0,0,0
X600036.CH.EQUITY,0,0,0.380438566438791,6.93889390390723e-18,0,0,0,0.00117744422952245,0.0314568839543511,-0.00769946450276528,0,0,0,0,0,0,0.131302961656994,0,0,0.012803265770682,-8.67361737988404e-19,0,0,0,0,0,0.202543870220639,0.125001271237355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323755589053962,-0.000824443915408049,0.0353644632365615,0,0,0
X601988.CH.EQUITY,0,0,3.46944695195361e-18,0.00285162706865744,-0.13700469607962,0.0798608934446254,0,0.0495870145432142,0,0,0,-0.0217987165496442,0,0,0,-0.000938908335979936,0,0,0,0,-0.0438885760851058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108637672198939,0,0,0,0,0,0,0,1.05040890764807,0
X1299.HK.EQUITY,0,0,0,0,0.151141005631096,0,0,0,0,0,0,0,0.0375735273432653,0,0,0,0,0,0,0,0,0,0,-0.115032358871738,0.117826646129051,0,0,0,0.0867787773320434,0,0.167722057694274,0.347132114031574,0,0,0,0.0275605165504373,0,0,0,0,0,0,0.14900981959649,0,0,0.0606267295711958,0,0,0,0
X5.HK.EQUITY,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.288328490239858,0,0,0,0,0,0,0,-0.0305998196363388,0,0.18105966668024,0.546899921518712,0.0085414785615874,0,0,0,0,0,-0.0131176537393254,0,0,0,0.0566043530474069,-0.093790957098412,0,0,0.075450041878988,0.123854899363589,-0.107992639285352,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.303727332466652,0,0,0,0.128467614904174,0,0,0,0.00593393288938041,0,0,0.0424770719689631,0,0,-0.212347585063606,0,0,0,0,0,0.385179381458112,0.110235982371589,0,0,0,0,0,0,0,0,0,0,0,0,0.0463866324496152,0,0,0,0,-0.280003235143064,0,0.227255884942245,0.0935340647089994,0,0,-0.213172089257527
X601658.CH.Equity,0,0,0.0153981357664788,0.307064233214873,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0922000399003935,0,0,0,0,0,0,-0.149776068848833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0091883033877969,0,0,0.36711919883443,0,0,0,0,0,0,0.01234168041354
X600030.CH.EQUITY,0,0,0,0,0.0464461017508068,0,0,-0.0725800152107108,0,0.0947382930516571,0,0,0.232014888785231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362154262623981,0,0.23262413409187,0,0,0.282211037801827,0,0,0.0735807748827536,-0.0143081212307735,0.0926405879650055,0,0.0704376651383247,0,0,0,0
