,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY
X601398.CH.EQUITY,0,0.215066409524696,0,0.10895423125446,0,0.015752383850346,0,-0.0518125207022567,0,0,0,0.390261132151688,0.0434285718761949,0,0,-0.127178780386395,0,0,0,0,0,0,0,0,0,0,0,0,0.0706344035936725,0.0265008093212317,0,0,0,0,0,0.162187675559349,0,-0.084880730579105,0,0,0,0,0.0762799477023427,0,0,0,0.0772521330944929,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.110960844510023,0,0,0,0.0013044402949525,-0.153343410553274,0,0.0898143716489741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220085139302881,0,0,0,0,0,-0.24187642002669,0,0.438368376167718,0.0364142667233035,0.120239732349907,0,0,0,0,0,0.177310170922124
X601939.CH.EQUITY,0.202598770811644,-0.017703635060984,0,0.351027507480185,0,0.0569100792489778,0,-0.0700929362001819,0,0,0,0,0,0,0.129390946916709,0,0,0,0,0,-0.0249594136494832,0.0233355549520261,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419497668667593,0,0,0,0.417482647137653,0,0,0,0.0402241948465317,0,0,0,0,0,0
X601288.CH.EQUITY,0.376274629307079,0,0.159630749162077,0,0,0.186907853254842,0,0,0.0849623304204834,0,0,0,0,0,0,-0.0696645099016182,0.0571141285765208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000583552174144131,0,0,0,0,0,0.125587024999152,0,0,0,0,0,0,0,0,0.217285954876397,0
X5.HK.EQUITY,0,-0.132466362286447,0,0.293044986891785,0,0,0,-0.216782030615106,0,0,0,0,0.156541542908505,0,0,0,0,0,0,0.551476129402012,0,0,0,0,0.283769993726667,0,0,-0.0347225325843549,0,0,0,0,0,0,0.0205252726779808,0,0,0,0,0.0299769271133931,0,0,0,0,0,0,0.206498995843235,0,-0.0966499490160927,0
X601988.CH.EQUITY,0.223816299603351,0,0.0205895636006347,0.0707575986118784,0,0,0,0,0.0770484705108243,0,0.0426877619418514,0.182094809624461,0,-0.404610234789839,0,0,0,0,0,0,0,0,0.0149619306807617,0.414556724913933,0,0,0,0.0731134054277512,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0308266955945892,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.17182818879917,0,0,0,0,0,0.0996606243665173,-0.017632135982127,0,0,0,0,0,0.319343746976104,0.102843203214449,0,0,0,0.105172900512396,-0.0201260690792581,0,0,0,0,0,0,0,0,0,0,0,-0.0235704146450178,0.100363792577617,0,0,0.124593699158849,0,0,0,0,0,0.0702902323410509,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0371256726757688,-6.93889390390723e-18,0,0,0,0.208939561861223,0,0,0,-0.158632904890786,0,0,0.307747185006759,0,0.244237630889687,0,0,0.0510800337976907,0,0,0,0,0.108451471324396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103482415156674,0,0,0
X601628.CH.EQUITY,0.208073020606882,0.261362735052992,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.053173315942496,0,0,0.032130215541788,0,0,0,0,0,0,0,0,0.083796899194039,0.0116506971645234,0,0,0,0.00903849109827973,0,0,-0.390368871474639,0,0,0,0,-3.46944695195361e-18,0,0.170173198990086,0,0,-0.00500279590926083,0.277897873519142,0,0,0
X601658.CH.Equity,0,-0.0173237734040871,0,0,-0.0384080972250469,0,0,-0.0161613554094025,0,0,0,0,0,0,0,0,0,0,0.0178654148173926,0,0,0,-0.0174089196058487,0,0,0,0,0,0,0,-0.0387992520319709,0,-0.0715553518735443,0,0,0,0,0,0,0,0,0,0.0306543975318104,0,0,0,0,0,0,0
