,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X2884.TT.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0.17159319544213,0.125910914564024,0,0,0,0,0,0.0185667046887047,0,-0.110637710282342,0.00151119259891266,0.0781838330881149,0.0345764231458398,0,0.0691801842375769,0,0,0,0,0,0.319463594776212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353514567915007,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.137419579524451,0,0,0.035556477325904,0,0,0.107452912454174,0,0,0.140464968587837,0,0.0587733721502292,0,0.269451891524533,0.0482224572260896,0,0,0,0,0,0,0,0.0262401941440051,0.125515395742913,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00779453418507497,-0.0328171150439407,0,0,0.0470472565872028,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.219820537868408,0.326106285834407,0,0.157415293343778,0,0,0,0,0,0,0.0234095655867401,0,0,0,0,0,-0.087766949893275,0,0,0.00458996261619421,0,0,0,0,-0.0638917325725263,0,0,0,0,0.164528820020591,0,0,0,0.154381260747502,0,0,-0.0454227459410782,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,-8.67361737988404e-19,0,0.214274051492064,0,0,0.129512227563271,0.127962049651727,0,0,0,0,0,0,0.273838209002604,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270950003497604,0,0,0,-0.0400497476082792,0,0.168688994924586,0,0,0,0,0.0250640084135103,0,0,0,0,0.139960445992865,0,0,0.0385612801323637,0,0,0,0
X5.HK.EQUITY,0,-0.137025542400119,0,0,0,0,0,0,0.0222230015267947,0,0,0,0,0,0,0,0,0,0.231021118759968,0,0.118987751176258,0.105106723206545,0,0,0,0,0,0.0426620159095497,0,0.161107878979821,0,0,0,0,0,0,-0.0173441752433822,0,0,0,0,0,0,0.195862175434321,-0.158581746270167,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0.132794432923539,0,0,0,0,0,0,0,0.0919371865611959,0,0.483393311155464,0,-0.278631123354223,0,0,0.0496344546580371,0.0408169066359142,-0.113629425153193,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0382614641362058,0,-0.00815443619073144,0,0.0586033299584249,0,0,0,0,0,0
X601328.CH.EQUITY,0.287655709829318,0,0,0,0,0,0,0,0.0249073064888583,0,0.042676025552633,0,0,0.15132825385177,0,0.0868387398308905,0.189060174418069,0,0,0,0,0,0,0.000286384314436568,0,0,0,0,0,0,0,0,0,0,0.176080765976078,0,0,0,0,0,0,0.0825467765611538,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.165255253689659,0.0446455900998829,0,0,0,0,-0.103682350741508,0,0,0,0,0.118558968417773,0,0,0,0,0,0,0,0,0,0.4940172268274,0,0,0,0,0,0,0,-0.0317426816421951,0,0.0598243234348981,-0.0106941607473065,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.0283640379536609,0,0,0.0346530956067474,0,0,0,0,0,0,0,0,0.165281079936691,0.392444300655276,0,0,0,0,0,0,0,0.0467393098944716,0,0,0.253923571830461,0,-0.0621683439821967,0.00746823228584252,0.0926358067598663,0,0,0,0,0,-0.0836101434650072,0,-0.0163206750588408,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.0286923110126075,0,0,0,0.221746760702179,0,0,0.0543278832585522,0,0,0,0,0,0,0,0.0572061665143405,0,0,0,0,0,0.106136940806672,0,0,0,0,0,0,0.0357038795708338,0.0453822590187041,0,0,0,0,0,0,0,0.111223051721453,0,0,0,0.361292321492714,0,0,0,0
