,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.117387987341926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.211858271569584,0,0.544443711744589,0.550983130748223,0.0551998362452827,0,0,0.0735388965273937,-0.232774911303121,-0.122541008279125,0,0,0,0,-0.0229741724080349,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,-2.16840434497101e-19,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0.112902660257683,0,0,0,0,0,0,0,0.190236971213462,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.107658483111517,0,0.0675059771360674,0,0,0.147461086506857,0.214319163468311,0,0,0,0,0,0,0,0,0,0,0,0.0752509800127508,0
X601939.CH.EQUITY,0,0,0,0.809291632841315,0,0,0,0,0,0,0,0,0,0,0,0,0.0953712044106907,0.0367498923345311,0.0757215961419553,0,0,0,0,0,0,0.00896093595201977,0,0,0,0,0.0112472622848758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.854693187746987,0,-0.0827702485208949,0,0,0,0,0,0,0,0,0,0.0094872424764834,0.045830522500667,0.0396335039853228,0.19038114584083,0,0,0.023167163154584,0,0,0,-0.0476297965753597,0.0241634616163956,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.0543348586247417,0,-0.134018420294713,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.00162082523763633,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0961648456638699,-0.124300515258476,0.420889083510688,0,0,0,0,0,0,0,0.102331461115704,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.494019767374456,0,0,0,0,0,0,0,0,0.251491506018012,0,0,0,0
X600036.CH.EQUITY,0,0,0.406186020183917,0,4.33680868994202e-19,0,0,0,0.0222028731741776,-0.00512057329330571,0,0,0,0,0,0,0.104812819985115,0,0,0.00628461503050131,0.0125451690531282,0,0,0,0,0.187877695608604,0,0.120960919616217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.149195307566276,0.103003408877851,0,0.0325396304877046,0,0,0,0,0,0,0,0,0,0,0,0,-0.0897178453190691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103264273425089,0,0,0.0118057574220438,0,0,0,-0.0197495895327982,1.05085744678571,0.00110212812615191
X1299.HK.EQUITY,0,0,0,0,0.210448329617331,0,0,0,0,0.0777102014138484,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.172516398402788,0.157022583981868,0.324577734119505,8.67361737988404e-19,0,0,0.212929345082504,0.193950578747304,0.120068481808194,0,0,0,0,0,0,0,0,0,0,0,0,-0.164303297562167,0,0.134614310586556,0,0,0
X5.HK.EQUITY,0,0,0,0,-0.00802603837991711,0,0,0,0,0,0,0,0,0,0,0,0,-0.159241752937092,0,0,0.00565150929040724,0,0,0,0,0.237597022952691,0.468694012265018,0,0,0,0,0,0,0,0,-0.13157304518819,0,0,0,0.00524603809248145,0,0,0,0.0909515381356807,0.0844077508076313,-0.0674652374482627,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.280812192008039,0,0,0,0.0456879340240604,0,0,0,0,0,0,0.049755972359897,0,0,-0.22829542273719,0,0,0,0,0,0.433015849615806,0,0,0,0.116048962993913,0.0132718568693656,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,-0.249280937346431,0,0.152380328502201,0.125715993260606,0,0,-0.115693764380771
