,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.13189970260055,-6.93889390390723e-18,0.177850522801673,0,0,0,0,0,0,0,0.323395003894344,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.167198701994166,0,0,0,0,0.103968217759485,0,0,0,0,0,0,0,0,0.0675180077043862,0,0,0.171550579850095,0,0,0,0,0,0,0,0,0,0.13811034967051,0.0112478322393267,0
X601318.CH.EQUITY,0,0,-0.110355481761412,0,0,0.0718550246848606,0,0,0.167326077334253,0,0,0,0.112222861569686,-0.0257019963088924,0,0.282695147738135,0,0,0,0,0,0,0.0389622728792622,-0.00591790658440467,0,0,0,0,0,0,-0.189532056397644,0,0,0,0.312177609307096,0,0,0.031874164490874,0,0.233372835062229,-0.187409610516719,0,0.183243964797065,0.133462480866334,0,0,0,0,-0.0810720463541166,0
X601939.CH.EQUITY,0.617449731988124,0,0,0.0278745711412335,0.0341630065202288,0,0,-0.0754582478976673,0,0,0.173230112081164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370783603833697,0,0,0,0,0,0,0,0.274285479037974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.301210559436162,0,0.138380111805894,0,0,0.340545831444373,0,0,0,0,0.0251676553173309,0,0,0,0,0,-8.67361737988404e-19,0.0563974801670011,0,-0.00469937162537498,0.0407642753225523,0.0727679093212041,0,0,0,-0.0442107500032584,0,-0.0680497144738752,0,0,0,0,0,0,-0.133915351048438,0,0,0,0,0,0.206810053467006,0,0,0,-0.0823603702198918,0,0,0.122737857859488,0,0
X5.HK.EQUITY,0,0,0.016340126777049,0.14108770802965,0,0.148076936071,0,-0.171040247230184,0,0,0,0,0.142266251823882,0,0,0,0,0,0,0,0,0.61550880784976,0,0,0,0,0,0,0,0,0.189250891681225,-0.0462249358451452,0,0,0,0,0,0,0,0,0,0,0,0,-0.155330485273914,0,0,0.143843337601461,0,0
X601988.CH.EQUITY,0.15282245646761,0.0866298499522247,0.362303367253455,0,0,0,0,0,0.163784804202696,0,6.93889390390723e-18,0.0527451593320915,0,-0.132123845107542,0,0,0,0,0,0,0,0.11282198540477,0,0,0,0.00208224413041767,0,0,0,0,0,0,0,0,0,0,0,0.0987528590725108,0,0,0,0,0,0.0892223333107004,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0471525487848765,-0.0738190872924992,0,0.291220731803787,0,-0.0541684144836494,0.0373702585043763,0,0.303271296150748,0,0.20080733600862,0,0,0,0,0,0.0519437306675576,0,0,0,0,0,0,0,0,0.0257430917691362,0,0.0088788991334652,0.0261726978483116,0,0.109008350530998,0,0,0,0.0543191417003999,0,0,0.0302828798394152,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0147228689667979,0,0,0,0,0.010710079638873,0,0,0,0.13732443224887,0,0,-0.167548379409007,0,0.0681211788228984,0,0.210272002310711,0,0,0,0.00822454685528794,0,0,0.245274307572092,0.100657272174371,0.0541986685885781,0,0,0,0,0,0.0780365027709001,0.0773596818127688,0,0.00811089939140705,0,0,0,0,0,0,0.0177661779556943,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.129167391350328,0.215435837879337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00732066379254656,-0.103682297761131,0,0,0,0,0.208726765133237,0,0,0,-0.0989100738887324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133662577760044,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.230471484102784,-0.473161166424492,0,0.0153623173848326,0,0,-0.0461790320124227,0,0,0,0,0,0.53531124078394,0,0,0,0.122747278200392,0,0,0,0,0,0,0,0,0,0,0,0,-0.602377832033153,0.132695425064694,0,0,0,0,0.686662660152363,0,-0.110649891214998,0,-0.207742929024206
