,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X601328.CH.EQUITY,0.140101709799011,0.0148814589750368,0,0,0.0282648425642912,0,0,0,0,0,0,0,0,0,0.354436749248008,0.178388102173182,0,0,0,0,0,0,0,0.291042287402971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10916271998131,-0.0512696668608712,0,0,0,-0.0250219980676055,0,0.0729398884388108,0.0200046914977365
X601398.CH.EQUITY,0,0,0.0499157996223085,0,0.0432549992610882,0,0,0,0,0,0,0.32859813970893,0.0938616426897392,0,0,0,0,0.0532178819490302,0.184002563478644,0.00709952538713783,0.080019461465196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510876764979055,0,0,0,0,0,-0.0912409639568571,0,0
X601577.CH.EQUITY,0.257068055722217,-0.0407543298855499,0,0,0,0,0.00588028100541067,0,0,0,0,0.482703450449812,0,0.102129878233765,0,0,0,-0.0300753796893152,0,0,0,0,0,0,0,0,0,-0.0940041271494832,0,0,0.0121517854777589,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.069850322293412,0,0,0.0549727673939864,0.124333187127844,0,0,0
X601818.CH.EQUITY,0,0,1.00988987566398,0,0,0,0,0.0633179064964472,0,0,0.0202211015458429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529311357066726,0.0140554712268872,0,0,0,0,-0.132654534180049,-0.159815176077301,0.113584682329334,0,0,0,0,0,0.0261664689802746,-0.0692407472283556,0,0,0,-0.034636635191472,0,0,0.114960347436617,0
X601838.CH.EQUITY,0,0.338930982615355,0,0,0,0,0.0676041732926205,0.0185577105811365,0.148008080849315,0,0,0,0,0,0.0847239231004159,0,0,0,0,0,0,0,0,0.479475155581495,0.172288863356756,0.0414061435712788,0,0,0.0416835939209811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.390527124780411,0,0,0,0,0,0,0,0.0424085441320685,0,0,0,0.0676090064882746,0,0,0.0658760066665013,0,0,0,0,0,0,0,0,0,0.010171963916191,0,0,0,0,0,0,0,0,0,0,0,0,-0.273760745594983,0.22456353838345,0,0,0,-0.0119596444248353,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0863417088245832,0.218130988124982,0.0395930965661543,0,0,0,0,0,0,0.183484518607665,0.0294748974604058,0,0,0,0,0,0,0,0,0.107620654190708,0.174216170198877,0,0,0.0577015462887151,0,0,0.0481348932305556,0,-0.054421495863503,0,0,0.0537864581924605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20
X601998.CH.EQUITY,0,0,0,0,0.0862758938593288,0,0,0,0,0,0,0,0,0,0.3659396367394,0,0,0,0.00937873935387463,0,0,0.0777521203358962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158468289095244,0,0,0,-4.33680868994202e-19,0,-0.195406809965081,-0.0366597148183754,0.481265682098666,0,-0.19383431603311,0
X601658.CH.Equity,0,0.0280412620696334,0,0,0,0,0,0,0.119779397166231,0,0,0,0,0.389345960078493,0,-0.0571054014887628,0,0,0,0,0,0,0.0120083391483265,0,-0.0179004708428833,0,0,-0.336972210735708,0,0,0,0,0,0,0,0.170550941697658,0,0,0,0,0,0,0,0,-0.0778093745421341,0,0,0.263286691311369,-0.0048881367350514,0,0,0
X601916.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496836517091189,0,0.0520882038856226,0,0,0,0,0,0.0140815148139822,0,0,0,0,0,0,0,0.11358884668532,0,0,0,0,0.715560910428656,0,-0.139909874945755,0,-0.040675164910684,0,0,0,0.397644521576434,0.142459334650238,0,-0.0485188411070278
X601077.CH.Equity,0,0,0,0,0.278457866677393,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.35639550724288,0,0,0,0.206789076975407,0,0,0,0.0458431216696302,0,0,-0.0470660327966292,0,0,0,0,0,0,0,0.178770157157051,0.165253216883972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,-0.154877201151902,0,0,0.0385963884381665,0,-0.00464062366672429,0,0,0,0.129571612898615,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300267293350227,0,0,0,0,-0.104583255679014,0,0,0,0,0,0,0.139661423294423,0,-0.0553198712451912,-0.115051435344443,0,0,-0.0289804564181101,0,0,0,0.0790555387083551,0,0,0.0208440712882551
X2388.HK.EQUITY,0.128425683574973,0,0,0,-6.93889390390723e-18,0,0,0,0,0.044133472058367,0,0,0,0.386438961069112,0,0.0525448936018554,0,0,0,0,0,0,0,0.054421336551381,0.468629438517786,0,0.042972641608976,0,0,-0.0365254601280042,0,0,-0.00787246808567741,-0.139723123765214,0,0,0,0,0,0.121547729731028,0,0,0,0,0.146974879626927,0,0,0,0,0,0,-0.020656494157851
X5.HK.EQUITY,0,0,0,0,0,0,-0.0941879090300773,0,0,0.022025792898648,0.0590444676466351,0.0881095471733915,-0.061112643372405,0,0,0,0,0.152470237958821,0,0.0203075847635496,0,0,0,0,0.238353538832254,0,0,0,0,0,0,0,-0.0851000991774495,0,0,0,0,-0.0329280629991313,-0.0405646265432043,0,0,0,0,0,0.0436219638371195,0,0,0.240214971833686,0,0,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116939553083981,-0.157021754092297,0,0.098574406533993,0,0,0,0,0,0,0,0,0,0,0.406712070789523,0.176546710813603,0,0.311842468133396,0,0,0,0,0,0,0.0330978154424267,0,0,0,0,0.0368651178927402,0,0,0,-4.33680868994202e-19,0,0,0,0.000465091645338365
X2884.TT.EQUITY,0.077513811706254,0,0,0,-0.0111317411589035,0,0,0,0,0,0,0,-0.0113580046157251,0,0,0,0,0.0902583220099263,0,0,0,0,0,-0.246302843351788,0,0,0,0.759017922411293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.195240849147444,0,0,0,0.00871299191858636,0.0370825697766256,0,0,-0.0474326799054718
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0252496929632765,0,0,0.173247186885711,0,0,0,0,0,0,0,0,0,0,0,0.355222761794642,0,0,0,0,0.154661624097004,0,0,0,-0.111367046126797,0,-0.0107716202411387,0,-0.0579794610622389,0,0,0.0416102061974056,0.0637287136920115,0,0,0,0,-0.108122990493922,0,-0.343919776751828
X2891.TT.EQUITY,0,0.355697471806551,-0.00999582767566521,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.146378024315619,0,0,0,0,0.0297909733783875,0,0,0,0,0,0.0561623876913641,0,0,0,0.203160424319738,0,0,0,0.440454717408642,0,0,0,0,0,0,0,0,0,0,0,0,0.137657133394319,0,0.402061536360506,0,0,0.0848705501671995,0
X2892.TT.EQUITY,0,0,0,0,0,0.218877697337355,0,0,0,0,0,0,0,0,0,0,0,-0.21695714802317,0.0613009916586496,0,0,0,0,0,0.0214709753384009,0.060704413787276,0,0,0,0,0.0116801381398716,0,0.332589223826553,0,0,0,0,0,0.359562647744627,0,0,0,0,0.0254308848123634,0.152546226702021,0,0,0,0.0959866748152051,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162839729246345,0,0,0,0.0237601869069038,0,0,0,-0.0332950535632071,0,0,0.0551542671352916,0.227318273152501,0,0,0,0.019730141633383,0,0,0,0.680869920946717,-0.0947680997373197,0,0,0,0,0,-0.237201329421587,0,0,0,0,0,0
