,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X600606.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.163246159972705,0.118037645328105,0,0.0595917281966335,0.0835877880390679,0,0,0,0,0,0.105557375996965,0,0,0,0,0,0,0,0,0,0.0175409284472348,0,0,0,0.023428234603894,0,0,0,0,0,0.12217692026263,0,0,0.146414635860146,0,0,0.0491604721112797,0,0.0429175907583628,0,0,0,0,0,0.000506580953832214,0,-0.018358871213565,0,0.0832302304073495,0,0
X002142.CH.EQUITY,0.197980019720539,0,0,0.136230817397981,0.417222397573911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.245906089575836,0,0,0.0803510004090664,0,0,0,0,0,0,0.038551972270419,0.174615376273251,0,0,0.399604780860414,0,0.0108778867394281,0,0,0,0,0,0,0,0,0,0,0,-0.124197255770676,0,0,-3.46944695195361e-18,0
X600000.CH.EQUITY,0,0,0,0,0.332267545583027,0,0,0,0,0,0,0,0.319401675435959,0,0,0,0,0,0,0,0,0,0,0,0,0.310040596647871,0,0,-0.0858229720521473,0,-0.00698259621236657,0,0,0,0,0,0,0.0882910079894903,0,0.678157195873412,0,-0.093084458896058,0,0,0,0,-0.167645426004033,0,0,0,0,0
X600016.CH.EQUITY,0,0.234694344872182,0,0,0,0.0917654422543662,0,0,0.0175770637629176,0.12406224652473,0.0866265209221894,0.0125888107584081,0,0,0,0,0,0.0966890161848672,-0.0627556333544615,0,0.263639416322851,-0.16491455316994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0997309384343467,0,0,0,0,0,0,0.104729058066385,0,0,0,0,0.00826729355698958,0,0
X600036.CH.EQUITY,0,0.275419855551863,0.146512646126906,0,0,0,0,0.0257727736353297,0,0,0,0,0.366764298372123,0,0,0,0,0.0968686871282907,0.046338914161212,0,0,0,0,0,0,0,0,0,0,0,-0.00593304501083921,0,0,0,0.00358551956097793,0,0,0,0,0,0,0,0,0,0,0.0477366996697171,0,0,0,0,0.0429571065495746,0
X601166.CH.EQUITY,0,0,0.0293316368347916,0.072033878389146,0.107738615159269,0,0.415262019620664,0,0,0,0,0.120219690884608,-6.93889390390723e-18,0.21591287485133,0,0.0529053317678392,0,0,0,0,0,0,0,0,0,0.00788558863661859,0,0,0,-0.0152739411767927,0,0,0,0.0380233857144922,0,0,0,0,0,0,0,0,0,0.00747675229566175,0,0,0,0.010280408246257,0,0,0,0
X601169.CH.EQUITY,0,-0.0643320247195,0,0,0,0,0,0,0,0.00940331599153272,0,0,0,0.793688401706368,0.0571641234224668,0,0,0,0,0,0.0485218923859124,0,0.039629620625124,0,0,-0.0145767459331048,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.070202753987738,0.0105802258493565,0,0,0,0,0,0,0,0,0,0,0,-0.0241020622823087
X601229.CH.EQUITY,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.932999780539127,0,0,0,0,0,0,0,0.327871159794643,0,0,0,0,0,0,0,0,0,0.106992227371496,0,0,0,0,0,0,0,0,-0.039442046638771,0,0,0,0,-0.0352504354095623,0,0,0,0,-0.216831344494875,-1.73472347597681e-18,0,0.018290359306566,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0306195274970153,0.0767290763282668,0.919609151813532,0,0,0,0.048144749638334,0,0,0,0,-0.00397482918545933,0,0,0,0,0,0,0,0,0,0,0.0400264496267801,0,0,-0.03746448661251,0,0,0,-0.0764693712551247,0,-0.0662169321765759,0,0,0,0,0,0,0,0,-0.0486454250987235,-0.0280931208079787
X601328.CH.EQUITY,0,0,0.0290765753438567,0.372863032255324,0.112954694366771,0,0,0.247020193186387,0.0462953858368682,0,0,0,0,0.020543737829416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0.291336708040057,0,0,0,0,0,0,0.105074343962528,0,0,0,0,0,0.47540249868704,0,0,0,0,0,0,0,-0.285323649553789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658113129249629,0,0,0,-0.191787400601263,0.00903453426339058,0,0,-0.051878708502869,0,0,0.418570491523163,0,0,0
X601818.CH.EQUITY,0,0,0.0713964096161233,0,0,0,0,0,0.0394841382761289,0,0,0,0.109843995693286,0.115704766232289,0,0,0,0,0,0.0182072329804921,0,0,0.0298883832260242,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.231987935308533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159182550952963,0,0,0,0.00862494717351595
X601939.CH.EQUITY,0.0584193245730476,0.00997598978729934,0.083422491884455,0.00324076140307806,0,0,0,0,0.807121357813689,0,0,0,0,8.67361737988404e-19,0,0,0,0.010458505227606,0,0,0,0,0,0,0,0,0,0,0,0,0.00202458798140944,0.0689658778602626,0.0186118724164943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.0464387934510006,0,1.04768292982393,0,0.0840056783384513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137292740304219,0,0,0,0,0,0,0,0,0,0,0,-0.0299220867063822,0,0.0400646916481015,0,-0.0654667091627209,0,-0.04190397540711,0,0,0,-0.0282007364388718,0,0,0,0,-4.33680868994202e-19,0.095551525844784
X601998.CH.EQUITY,0.0107132870211548,0,0.0126173827873615,0,0,0,0.530019349963616,0.022090606992851,0,0,0.244250418471179,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.177400884034072,0,0,0,0,0,0,0,0,0,-0.0515147501329164,0,0.0693864561625013,0,0,0,0,0.0282800135746314,0,0.00489484101590262,0,0,0,0,0,0,0,0,0,0,-0.0873348210631764,0
