,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.254654276740297,0,0,0,0.229713625738305,0,0,0,0,0,0,0.254024060122581,0,0,0.0836337067406711,0,0,0,0,0,0.0315706428923233,0,0,0,0.154206931240431,0,0,0,0.0108613709775881,0,0.105237363395971,0,0,-0.144449403381518,0,0,0,0,0.0907056407172935,0,0,0,0,0,0,0,0.0478747258777808,0,-0.0342767635601668,0,0
X002142.CH.EQUITY,0.154960747153808,0,0,0,0,0.424989283013862,0,0,0,0,0,0,0.137343938225611,0,0,0,-8.67361737988404e-19,0,0,0,-0.229250668422856,0,-0.223650830872147,0,0,-0.0607356756945317,0,0,0,0,0.460024258320525,0,0.299851018669329,0,0,0,-0.0402354776572068,-0.0610376032018371,0,-0.168298014748959,0,0,0,0,0,0,0,0,0,0,-0.0614840913532873,0
X600000.CH.EQUITY,0.303560898997518,0,0,0.0874833287260393,0,0,0,0.236065861334712,0,0,0.131966446622348,0,0.0595518989520409,0,0,0,0,0,0,0,0.0425124721875898,0,0.123933095996273,0,0,0.0687447759075775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044606616415414
X600015.CH.EQUITY,0,0,0.102839847025076,0,0,0,0,0.14560066295813,0,0,0,0,0.164112363189921,0.0226290902032338,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.117965308372395,0,0,0,0,0.179099714748592,0,0,0,0.0385923020062474,0,0,0.13530175582123,0.0903928373496557,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.15545930463033,0,0,0.382204923531984,0,0,0,0.161664457962329,0.0348282730528377,0,0,0,0,0,0,0,0,0,0,0,0.131828190254251,0.0492322560179259,0,0,0,0,0,0.0536654609070228,0,0,0,0,0,0,0,0,0,0,0,0,0.0525651912824133,0,0,0,0
X600036.CH.EQUITY,0.474570239447009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017677165724211,0,0.0482522312500569,0,0,0,0,0,0,0,-0.0214371801652351,0.337453009813103,0,0,0,0,0,0,0.077204974316153,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.202570115464722,0,0,0.0236168204495691,0.0966508110422476,0.262974789298256,0,0,0,0,0,0,0.269643603861068,0,0,0.015472163875608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111101393769867,0,0,0,0
X601169.CH.EQUITY,0.0212072122440604,0,0.245462362607562,0.0643399348215795,0,0,0.0401994090717219,0,0,0,0.0554092041110611,0.211363443241356,0,0,0,0,0,0,0,0,0,0,0.0348207275392059,0,0.136057618357043,0,0,0,0,0,0,0,0.192923851350322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0.123310882860512,0,0,0,0,0,0.357114739635348,0,0,0,0,0,0,0,0,0,0.366639341069746,-0.178295240910717,-0.0335001155923081,0,0,0,0.0756711554737094,0.0543586323128077,0.183884367228906,0.10509765127796,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0220329206298456,0,-0.135955177110988,0,0,0,0,0,0,0.0453798668747159
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0.206162464873397,0,0,0.393474577916772,0,0,0.267380144819719,0,-0.022997093911058,0,0,0,0.0144747771662024,0.0968342719572259,0,0,0,0,0,0,0,0.0443548325444643,0,0,0,0,0,0,3.31783518245699e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
