,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.113778962020946,0.117673333784332,0,0.116155323900561,0.12870323791312,0,0,0,0,0,0,0,0,0,0,0.0964621113728401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0840988696549913,0,0.0731461715034496,0.0930387613868273,0,0,0.0140135070736504,0,0.0294800356851055,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.226400921126653,0,0,0.182456473089184,0.403962141572935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38023873895026,-0.0184523539601885,0,0,0,0,0,0.0381466215507632,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.199551658972998,0,0,-0.0280055713031504,0,-0.171064332770483,-0.124674772148647,0,0,0,-0.0307266333035978
X600000.CH.EQUITY,0,0,0,0,0.164216271959515,0,0,0,0.143151261716399,0,0,0,0.175335027808616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260094899761546,0,0,0,0,-0.0137968408581009,0,0,0,0,0,0,0.0891826826760714,0,0.681957809833203,0,-0.122610120922594,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.208841379318419,0,0,0,0.216430014053823,0,0,0,0.128069691640508,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.576849014072442,-0.513731209451811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223565865723171,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.268716684889826,0.161790012843473,0,0,0,0,0.0199437954781144,0,-2.16840434497101e-19,0,0,0.344206793152221,0,0,0,0,0.124808143639639,0.0169399398619964,0,0,0,0,0,0,0,0,0,0,0,-0.00748716196514149,-0.0212673830511225,0,0,0,0.0230632684800715,0,0,0,0,0,0,0,0,0,0,0.0972839812326075,0,0,0,0.0873329606822918,0
X601166.CH.EQUITY,0.0166720750749123,0.0361503808132047,0.0912046894424782,0.0482443276353839,0.0120625082741816,0,0.0733602125517779,0,0,0,0,0.0418342723443036,0,0.469239042069298,0.056960770065576,0.0715580772310946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0309505370402384,0.0259006236662638,0,0,0,0,0,0,0,0.0513147902488809,0,0,0.0712699550804803,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,-0.010370743939562,0,0,0,0,0,0,0,0,0,0,0,0.751241248772057,0.0873621911683742,0,0,0,0,0,0,0.0489386891788409,0,0.04493439637281,0,0,-0.00452550770388806,0,0.00507969930738821,0,0.0257722044542559,0,0,0,0,0,0,0,0,0.0958974382365011,0,0,0,0,0,0,-0.0405660015087168,0,0,0,0,-0.0519215180518118
X601229.CH.EQUITY,0,0,0.00379723519543994,0,0,0,0,0,0,0,0.721215257742885,0,0,0,0,0,0,0,0.490274270240022,0,0,0,0,0,0,0,0,0,0,0.131479266905486,0,0,0,0,0,0,0,0,0,0,0,0,-0.256947461240511,0,0,0,0,-0.153904500029186,0,0,0.0708188497549987,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.922601860074055,0,0,0,0,0.0588834517427559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115908954291297,0,0,-0.0685556223456979,0,0,0,-0.102951158953703,0,-0.014769065491741,0,0,0,0,0,0,0,-0.0472242382897574,0
X601328.CH.EQUITY,0,0,0,0.327805386442883,0,0,0,0.250039696064318,0.212387589257309,0,0,0,0,0.0104000186144025,0,0,0,0.00467028124934804,0,0,0,0,0.047486137748529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256280003554324,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0.107992339690057,0,0,0,0,0,0,0,0,0,0,0,0,0.689426964511267,0,0,0,0,0,0,0,0,-0.129203186549673,0,0,-0.341903583475314,0,0,0,0,-0.138130667735307,0,0,0,0,0,0,0,0,-0.13382050600409,-0.0831079151480822,0.039272015581929,0,0,-0.0961229677493037,0,0,0.431541697090461,0,0,0
X601818.CH.EQUITY,0,0,0.0620205536576313,0,0,0,0,0,0.0406486610074618,0.019401658813175,0,0,0.209477635646838,0.00708987220488553,0.10778283256065,0,0,0,0,0,0.117310372901088,0,0,0,0,0,0,0.157304546685721,0,0,0.0253482986255508,0,-1.73472347597681e-18,0,0,0,0,0,0.026711290196613,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,2.16840434497101e-19,0.0427251137442318,0.0289470952166149,0,0.057158122996202,0,0,0,0.805700708715914,0,0,0,0,0.0269505796264958,0,0,0,0,0,0.00142155017033507,0,0,0,0,0,0,0,0,0,0,0.0456855669932095,0,0,0,0.0436985273789393,0,0.00134937175495477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
