,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.137615184142588,0,0,-2.77555756156289e-17,0,0.231055394268322,0,0.0863351489079316,0,0,0,0,0,0.012722519500237,0,0,0,0,0,0,0,0,0,0,0,0,0.0192249308611907,0,0,0,0,0.0762893729538074,0.0663176346800939,0,0,0.0509449667924072,0,0.112865020927168,0,0,0,0,0.158827716504119,0,0,0.0309782723765705,0,0,0,0,0
X002142.CH.EQUITY,0.316748199913094,0,0,0,0,0.153728677837896,0,0,0,0,0,0.161116373478666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518738965088957,0,0.0672052160266924,0,0,0,0,0,0,0,0,0,0,-0.0766006188472995,0.212861346139346
X600000.CH.EQUITY,0,0,0,0.244428054358312,0.483674572265326,0,0,0.0280196200186312,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0387550234548746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497716122022401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0.0432035093226858,0.00119492758477313,0,0,0.093311349700924,0,0.304872573568546,0,0,0.0474787072688424,0,0.140142945180406,0,0.108074347513715,0,0,0,0,0,0,0,0,0,0,0,0,0.149144117084246,0,0,0,0,0,0,0,0,0.0439021675974796,0,0,0,0.01901677846404,0,0,0.0823494059128638,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.278503832852277,0,0,0.270884088364653,0,0,0.151539343070475,0.285262936530863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242673538522237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.147711739142606,0,0,0,0,0.368481268175082,0,0,0,0,0,0,0,0,0,0,0.0254399131639075,0,0.0511871377433464,0.230631682375575,0,0,0,0.0742016667835455,0,0,0,0.107222767392713,0,0,0,0.0260764179684735,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,5.42101086242752e-20,0,0
X601166.CH.EQUITY,0.132721715745176,0,0,0,-1.38777878078145e-17,0.129809575107507,0,0.264312731221751,0,0.0797558323909952,0,0,0.322716095767886,0,0,0,0,0.0031799921890559,0,0,0.0210818854373969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421611211168434,0,0
X601169.CH.EQUITY,0.00305689445288861,0,0,0.165654720762067,0,0,0,0,0.323939723858368,0,0.0654878897225765,0,0,0,0,0.19589442159088,0,0,0,0,0,0,0,0.0129713205997434,0,0,0.0712683431236475,0,0,0.0557453500243922,0,0,0,0.0648672920684147,0.0374535166252988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.107723918785823,0.156730325077117,0.0134460291909705,0,0,0,0,0,0,0.326414482575209,0,0.058117743727038,0.138064118556381,0.036377869015198,0,0.0863696547814661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0661349490032345,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0989138392138769,0.385940734774446,0.0193170355717495,0.0306353669774908,0.357881751429298,0,0,0,0,0,0.0345363472222994,0,0,0,0,0,0,0,0,0,0,0.0532890761374644,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0
