,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.15979289839092,0,0,0,0,0.225842148213301,0,0.0885332563638193,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.271742066714733,0,0,0,0.163556104815039,0,0,-0.0456297738189878,0,0,0,0,0,-0.102075546713043,0,-0.109983232462232,0,0,0.153797963406001,0,0.0845363145514091,0,0,0,0,0,0,0,-0.250559993423002,0,-0.108550858332653
X002142.CH.EQUITY,0.237923522891849,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107429442223548,0,-0.168230188326409,0,-0.0323616368136787,0,0.0846227609116755,0,0,0,0,0,0,0,0,0.229422445961266,0,0.118181330791777,0,-0.034695496211163,3.46944695195361e-18,0,-0.259404718314813,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0114876109979648
X600000.CH.EQUITY,0.0614109103485563,0,0,0,0,0.0803232464490462,0,0,0,0,0.46817993822716,0,0,0,0.00997035966324432,0,0,0,0,0,0.221338220371053,0,0,0,0.0191661739456587,0,0,0,0,0,0,0,-0.0234404627759773,0,0,0.000185504879994997,0,0,0,0.100631168099668,0,0,0,0,0,0,0,0,0,0,0.14219474538817
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.354271011745856,0.00460038306137931,0,0,0,0.25461212060842,0.0285698936087922,0,0,0,0,0,0.0355155368153606,0,0,0,0.0413674079480536,0,0,0,0,0,0,0,0.181023340072134,0,0,0,0.0642356359901926,0,0,0,0,0,0,0,0,0,-0.0614428166212733,0,0,0,0,0.0146976985416526
X600016.CH.EQUITY,0,0.061674565415745,0.14750657633744,0.137423441984698,0,0,0,0.0500766503337273,0.0402617585581946,0,0.257121518946069,0,0,0,0,0,0,0,0,0,0,0.0926188588532731,0,0,0.166372039730147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.16157560758931,0.0933593015712583,0.183991379948337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389517992326894,0,0.0138902648802175,0,0,0.35977079165202,0,0,0.050785618648973,0,0,0,0.0934151491327253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0113573402370732,0,0,0,0,0.432564877292668,0,0,0,0,0,0.232958592038375,0.0363465752655399,0,0.106727387901133,0,0,0,0,0,0,0,0,0,0,0.0375239647828767,0,0,0,0,-8.67361737988404e-19,0,0.391120962937568,0,0,0,0,0,0,0,-0.131881569648949,0,0,0,0,0.0483800662526288,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.220270491007929,0.607661250763603,0,0,0,0,0,0,0.00849829225276557,0,0,0,0.135784389055929,0,-0.0580670486686048,0,0,0,0,0,0,0,0,0,0,0,0,0.134877122755825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148214069642526,0,0,0,0
X601229.CH.EQUITY,0,0.00581639309321407,-0.180600883299317,0.319449086731207,0,0,0,0,0,0.317829205108463,0,0,0,0.17365640386203,0,0,0,0,0,0.219906189245062,-0.0429605359229344,0,0,0,0,0.228547503026207,0.118017015052699,0,0,0,0,0,0.129785779877276,0,0,0,0,0,0,0.0655538124070301,0,0,0,0,0.0966327232886116,-0.334926154005133,0,0,0,-0.0953776531480036,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0.202656457038509,0,0,0.435047132027597,0,0.161093809933302,0.11682683800163,0,0,0,0,0.113562086797633,0,0,0,0.0693882870252776,0,0,0,0,0,0,0,0,0,0.0394139317261908,0,0,0,0,0,0,0,0,0,0.0167234554406179,0.0176992529840396,0.073693120891051,-0.00227770922407412,0,0,0,0.0540855857857805
X601328.CH.EQUITY,0,0,0.236772937814766,0,0.119748916658213,0,0.0225738696767262,0.185355285971635,0,0,0,0,0,0,0.0067402373856373,0.228786812511616,0,0,0,0.094833921181944,0,0.0846756208074272,0,0,0,0,0,0,0,0.0596595007891739,0,0.0239547067876834,0,0,0,0,-0.033192662390111,0,0,0,0,0,0,0,0,0,-0.118589891808635,0.0651615543903158,0,0,0
X601398.CH.EQUITY,0,0.0545321887964338,0.123290036726908,0,0,0,0,0,0,0.0837052552299289,0.27709751533761,0,0.0487190105684452,0.0138971916038078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167398619046687,0,0,0.0425616438308272,0,0,0,0,0,0,0,0,0.257393628100716,0,0.0843645421013342,0,0.0367249737709566,0,0
X601818.CH.EQUITY,0.280769041962078,0,0.0839336603333607,0,0,0,0,0,0,0,0,0,0,0,0,0.320365355134191,-0.00527298768039742,0,0,0,-0.0264669305163133,0,0,0,0,0,0,0,-0.190175686514214,0,0,0.0852432089274733,0,-0.130660624362842,0,0.0203481888757853,-0.076540688335108,0,0,0.23180931105969,0,0,0,0,0,0,0,0,0,0,0.0828208814531377
X601939.CH.EQUITY,0.0493331952467551,0,0,0,0,0,0,0.0512479632176479,0.372473487507636,0,0,0.46876854358107,0,0,0.18965026780119,0.00908497099917254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.039393361409113,-0.125526107201732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.137856154395624,0,0.0968460347803488,0,0,0.203678455590207,0.174211781474538,0.0858386176231845,0,0.143220559287833,0,0,0,0,0,0,0,0.0338572530200223,0,0,0,0,0,0,0,0.0227299410821539,0,0,0,0.144212217941316,-0.0223504715314682,0,0,-0.350606433846929,0,0,0,0,0,0,0,0.0676063789114684,0,0,0,0.0426724206925402,0
X601998.CH.EQUITY,0,0,0,0.156491159703551,0.100407649696755,0,0,0,0,0,0.126655201288672,0,0.212126156480663,0.0246441889402939,0,0,0,0,0,0,-0.00767669175640947,0,0,0,0,0,0,0,-0.0593584642893156,0,0,0,0,0,0,0,0.0302947250369126,0,0,0.188965138927444,0,0,0.157983244889276,0,0,0,0,0,0,-0.110625825929268,0
