,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0.115287240931193,0,0,0,0.134818357421408,0,0.394269025403297,0,0.0307331701287289,0,0,0.132463402896781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029405300757891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538865019636416,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.70154365843063,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0545767691097475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685481260918119,0,0,0.0482384334361049,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314654240308214,0.016422691957308
X600000.CH.EQUITY,0.0834295299640551,0,0,0.267027084083624,0,0,0.00352417697605826,0,0.0672905485063565,0,0.435113595529339,0,0,0,0,0,0,0.00463565678113221,0.0969141730354807,0,0.0442316545487317,0,0,0,0,0,0,0,0,0.0141883060573803,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.159935186091612,0,0,0,0,0.366747213906106,0,0,0,0,0.0595412986934878,0,0.0654495186713193,0.229788250253938,0,0.0526296987422827,0,0,0,0,0,0,0,0,0.116873439144647,0,0,0,0,0,0,0,0,0.00505254919329375,0,0,0,0,0.0286394362876144,0,0,0,0,0,0,-0.102823130070972,0,0,0,0
X600016.CH.EQUITY,0,0,0.0332963936552704,0.194085481079516,0,0,0,0.122710386654509,0,0,0.159283559606162,0,0,0.130715273030027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0799735094961001,0,0,0.133774676517051,0,0,0,0,0,0,0,0,0,0,0,0,0.0304451348015553,0,0.131365042561079,0,0.0182841500621269,0,0,0
X600036.CH.EQUITY,0.0502167250764452,0,0,0,0,0,0.156468297772797,0,0,0,0,0.0937124102848482,0.107841038500517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304329697784772,0.0729461760051275,0,0,0,0,0.0213287280949164,0,0,0,0,0,0.239498652039825,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.141181575949051,0,0,0.253579554737908,0,0.0485720330701923,0,0.176879505022814,1.38777878078145e-17,0,0.281883464847632,0,0,0,0,0,0,0,0,0,0,0,-0.0235041635890889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139125856646314,0,0
X601169.CH.EQUITY,0,0,0,0.396523687896426,0,0,0,0,0,0,0.170054416159738,0,0.0478897842424338,0,0,0,0,0,0,0.0336966872104817,0,0.089633497560595,0,0,0,0.00390352657102842,0,0,0,0,0,0,0,0.211731470600975,0.0595911043728088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000919360215637328,0,0
X601229.CH.EQUITY,0,0.158431594725077,0.216970177732854,0,0,0,0,0,0,0,0,0,0,0.316613146974818,0,0,0.0353331079491946,0,0,0,0.0591198983585602,0,0,0,0,0,0,0,0,0.162454548187285,-0.0157117216927295,0,0,0,0,0,0,0,0,0,0.0318176398423408,0,0,0,0,0,0.0584219602599741,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.0105391800483775,0,0.000424150387260334,0,-6.93889390390723e-18,0.347942438561925,0,0.017113555738138,0.50605140188898,0,0,0,0,0,0,0,0,0,-0.0318634256454915,0,0,0,0,0,0.048829384464961,0,0,0,0,0,0,0.0857313306709132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.159557908701058,0,0.436661996831164,0,0,0,0,0.186032513753013,0,0,0,0,0.181235498052797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00945555378881353,0.0269138106403021,0.00254208019169809,0,0,0.0232659693105831,0,0,0,0,0,0,0,-0.0278797578041179
X601398.CH.EQUITY,0.081645793848532,0,0,0,0,0,0,0,0,0.484857492988729,0,0,0,0,0.0899735283608941,0,0,0,0,0,0,0.100372641989222,0.0392180764075052,0,0,0,0,0,0,0,0.0668108486324432,0,0,0,0,0,0,0.182413551659659,0,0,0.0485277438736188,0.0247381851988241,0,0,0,0,0,0,-0.143777334238555,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0.090505263683657,0.41195721529124,0,0,0,0,0,0,0,0,0.431821795873826,0,0,0,0,0,0,0,0,-0.0212209018327391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0146212937819369,0.0302314014209763,0
