,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601939.CH.EQUITY,0,0.514102306629583,0,0.0335306194756454,0,0,0,0,0.0985062677331025,0,0.224444360650392,0.210221444204099,0,0,-1.73472347597681e-18,0,0,0,0,0,0.142163760231415,0,0,0,0,0,-0.155078780388199,0,0,0,0,0,0,0,0,-0.00498766539439528,0,-0.197971673057729,0,-0.101036419674339,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.344277285539221,0,0,0,0,0,0,0,0,-0.0486602411418426,0,-0.0599823525420793,-0.00420136284769404,0,0,0,0,0,0.40517522869052,0,0.125746604071249,0,0,0,0,0,0,0.0575915895166954,0,0,0,0,0,0,0,0.0494718104489249,0,0,0,0,0,0,0.0535267069500921,0,0,0,-0.186704847672752,0,-0.394213254096723,0,0,0
X601998.CH.EQUITY,0,0,0.141841138942648,0,0,0,0.0136016619445169,0.0428742016041346,0.259531360071271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.245027808164612,0,0,0,0,0,0,0,0,0,0,0,0,0.189620907429877,0,0,0,0.100071362776246,0,0,0,0,-0.00255662786011335
X11.HK.EQUITY,0.118592132575733,0.10173557068785,0,0,0,0.0672521059930518,0,0,0,0,0,0,0,0.388008021655753,0,0,0,0,0.112441107667614,0.0589854446538014,0,0,0,0,0,0,0,0,0,0,0,0.0193269191735551,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.279219151375268,0,0,0
X2388.HK.EQUITY,0,0.0840155216906251,0,0,0,0,0,0,0,-0.233303282579245,0,0,0,0,-0.228445933127322,0,0,0,0.0851199673108557,0,0,0,0,0,-0.0827710520561078,0,0,0.687166315017094,0.158258164409624,0,0,0,0,0,0,0,0,0,0.0830788860682408,0,0,0,0,0,0,0.100486574843286,0,0,0,0,-0.138805109012828,0.447263863446627
X5.HK.EQUITY,0.182576114654316,0,0.0166926450602779,0,0,0,-8.67361737988404e-19,0,0.102876341355667,0,0,0,0,0,0.0516157115067057,0,0,0,0,0,0,0,0,0,0,0,0,0.225298849472377,0,0,0,0,0,0,0.0806617267523736,0,0.141296484512146,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,-0.00798183904956835,0,0,-0.150715781119508
X000166.CH.EQUITY,0,0,0,0.122685865250982,0,0,0,0,0,0,0,0,0.00414169378595706,-1.0842021724855e-19,0,4.33680868994202e-19,0,0,0,0,0.100326462779779,0,0.287099214715578,0.22551907352097,0,0.133211041495785,0,0,0,0.16247823150033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0632692757076857,0,0
X002736.CH.EQUITY,0,0.205222967738358,0,0,0,0,0,0,0,0,0,-0.0759881588686819,0,0.0216354325341601,0,0.041930903425269,0,0,0,0.0172861824753976,0,0,0.27514578486782,0,0,0,0.191475425771612,0,0,0,0,0,0,0,0,0.0539993885320804,0,0,0,0,0,0,0.283441515885103,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0.0374689504816543,0,0,0,0,0,0,0,0,0,0,0.0162463792567382,0,0.0332118015901514,0,0,0,0,0,0,0,0,0.437242902352584,0.342751564652871,0,0.128919517063032,0.0727716549035431,0.0391555492110167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113828206096653,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.0018256071750666,0,0,0,0,0,0,0,0.176206159647358,0.000213110885314552,0.134627629231646,0,0,0.149938758671889,0,0.169064789837654,0,0,0,0,0,0.215196495300988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131535264122165,0,0,0,0,0
