,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0.109163403791652,0.134759685837263,0,0,0.0136633068285018,0.117896804046429,0,0,0,0,0,0.0124879996504967,0,0.0202900189665422,0,0,0.0114960606978437,0,0.200638730824019,0,0,0,0,0,0,0,0.048947326414508,0,0.0142028306820261,0.0370457604769202,0,0,0,0,0,0,0,0.0415195944607307,0.144022066223872,0,0,0,0,0.0284862198345981,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.0478079469582982,0,0.030968515603459,0,0.362718972453618,0,0,0.0190288739849504,0,0,0,0.0163638324435442,0.235648777682965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504150641135526,0,0,0,0,0,0,0,0,0.162956065095839,0,0,0.0713998085300819,0,0,0.226346535621065,0,-0.0628947390665399,0,0,0
X600000.CH.EQUITY,0,0,0,0.0672433159680489,0,0,0,0,0,0,0,0.441454954635178,0,0.00242948164008163,0.219496665560196,0,0,0.0208832524622095,0,0,0,0,0,0,0,0,0,0,0,0,0.118865897077286,0,0,0,0,0,0,0,0,0,0,0,0,0.033412441650938,0,0,0.00694227784591442,0,0.0599951268593107,0,0,0,0
X600015.CH.EQUITY,0,0,0.00324502268709715,0,0,0,0.079471465834986,0,0,0,0.283813220669968,0.261898440318887,0,0,0,0,0,0,0,0.0350754536744938,0,0,0,0,0.241795058586121,0,0.179302542823864,0.00943309058064104,0,0,0,-0.0502996512249041,0,0,0,0,0,0,0,0,0.0864440922175888,0,0,0.106627722363687,0,0,0,-0.130129404816839,0,0,0,0,0
X600016.CH.EQUITY,0.0259099283375014,0,0,0,0,0.0824030623147605,0,0,0,0,0,0,0,0.0524288373927728,0,0.292253659349447,0.0282511740858644,0,0,0,-6.93889390390723e-18,-6.93889390390723e-18,0,0.257216058800239,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.101930383708295,0,0,0,0.0848142006307146,0,0.0830514697205481,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.492005083259106,0.0397135911804278,0,0,0,0,0,0,0,0,0,0,0,-0.00800087141427917,-0.083120782845503,0,0.19912126161998,0,0,0,0,0,0.287962719580233,0,0,0,0.051147150136254,0,0,0,0.160479535577073,0,0,0,0,0,0.0114453932612355,0,-0.0633696563043175,0,-0.111646778558873,0,0,0,0,0,0,0,0,0.0842286082002446,0,0,0
X600919.CH.EQUITY,0,0,0,0.0230913613376059,0,0,0,0.423613321041254,0.207430156242232,0,0,0,0,0.110376657192486,0.0163192936744776,0,0,0,0,0.148013195445186,0,0,0,0,0,0,0,0,0.124106623948828,0,0,0,-0.0524605763644124,0,0.0711222391518466,0,0,0,0,0,-0.0659431366937791,0,0,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0.309662928434893,0,0,0,0,0.430178644749756,0,0,0,0,0,0,0.0735567560806289,0,0,0,0.210885436520363,0,0,0,0,0,0,0,0,0,0,0.117250999941768,0,-0.00466271603205924,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00972079604425127,-0.0663694751937545,-0.128827420355181,0,0,0,0,0.025365221284413,0
X601009.CH.EQUITY,0,0,0,0,-0.0846255129767922,0,0.00231066484669445,0.485344614877312,0,0,0,0,0.0387101756905817,0,0,0,0,0,0.337132927129609,0,0,0,0,0,3.46944695195361e-18,0,0,0.0430821082545113,0.356772560175706,0,0,0,-0.09675969998359,0,0,0,0,0,0,0,0.340471047496696,0,0,0,0,0,0,0,0,0,-0.248034056421792,0.0122466588668278,0
X601166.CH.EQUITY,0.0014737408553891,0.288159034906068,0.20758022430433,0.0588618417814795,0,0,0,0,0.0307068858406668,0,0,0,0,0,0,0,0,0,0,0,0.128845139689125,0,0,0,0,0,0,0,0,0.0668085000981938,0,0,0,0,0.183337285116006,0,0,0,0,0,0,0.0303695026702459,0,0.0766307237016935,0,0,0,0.0569161128709597,0,0,0,0,0
