,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601939.CH.EQUITY,0,0,0.358418133310365,0.157744020985575,0,0,0,0,0,0.0169196596368032,0.0783458646459812,0.206886734281655,0,0,0,0.205940105805906,0.00223800633047679,0,0,0,0,0,0,0,0,0,-0.035209020066863,0,0,0,0,0,0,0,0,0,0,0,0,-0.03658256946958,-0.0734027614639955,0,0,0,0,0,0,0,0,0,-0.0758316620751873,0,0.0438106167996501
X601988.CH.EQUITY,0.0661554668012494,0,0,0,0,0,0,0,0,0.484590576681076,0,0,0,0,0,0,0.240956721077781,0,0,0,0,0,0.0970870545972812,0,0.112151067712625,0,0,0.0359306043275512,0,0,0,0.0166876865924479,0,0,0,0,0,0,0,0,-0.604040663766818,0,0.121990932978376,0,0,0,0,0,0,0,0,-0.0750543459675246,0
X601998.CH.EQUITY,0,0.0162974862354185,0.110845475146198,0,0,0,0,0.419059337758625,0.0298895340048735,0,0.139701351134257,0,0.142648518357768,0.151572768856239,0.0943975936355248,0,0,0,0,0.0182286534931971,0,0,0,-0.0414585732006312,0,0,0,0,0,0,0,0,0,0,0,0.0646132003281886,0,0,0.0181758563788584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0.0714681440216225,0.377728513281925,0,0,0,0,0,0.162243643207145,0,0,0,0,0.138690649813379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185835450462636,0,0,0,0,0,0,0,0.234422055379896,0,0,0,0,-0.168208439486342,0.0570970182746132
X11.HK.EQUITY,0.0305948986541,0.00967051092505791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333269108159243,0,0.503782392118498,0.336108435093995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521928394833482,0,0,0,0,0,0,-0.0947846064040595,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.16073991229144
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349553772103468,0,0,0,0,0.0716820998518645,0,0,0,0,0,0,0,0.0708642300068111,0,0,0,0,0,0.314782341097335,0,0,0,0,0,0,0,0.12656275377314,0,0,0,0,0.0472623063701716,0.00643196476619576,0,0
X5.HK.EQUITY,-0.247587132897182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331475309417559,0,0,0,0,0,0,0,0,-0.244742490081694,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.38902412582528,-0.407619618957159,0,0.25816874478199,-0.0364767580569508,0,0,0,0,0.771866423985254,0,0,0,-0.00094192758390185,0
X2886.TT.EQUITY,0,0.127850316993089,0,0,0,0,0.108630708153716,0.143253343835292,0,0,0,0,0,0,0,0,0.0305380527695848,0,0,0.00176562449692229,0,0.0940115156735951,0,-0.040117615531117,-0.0512955718155587,0,0,0,0,0,0,0,0,0,0,0,0,0.4338371109064,0,0,0,0,0,0,0,0,0.0652291060347753,0,0,0,0.175819533245117,0,0.144252097752984
X2891.TT.EQUITY,0,0,0,0.112481600967182,0,0,0,0,0,0,0.0283675211100577,0.0437584013394387,0,0,0,0,-0.0373832074175749,0,0,0,0.528510645346481,0,0,-0.00413358749027874,0,0,0,0,0,0,0.0508522985963952,0,0,0,0,0,0,0,0,0,0,0,0.0864313753305364,0.033570793153679,0.07836138481353,0,0,0,0,0,0.239065587947075,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.228061001530336,0,0,0,0,0,0.207555294308314,0,0,0,0,0,0.626870321996688,0,0.133048646263052,0,0,0.0455267735335317,0,0,0,0,0,0,0,0,0,0,0,-0.0277337370881063,0,0,0,0,0,0,0,0,0,0.0600875700727286,0
X300059.CH.EQUITY,0,0,0,0,-0.0513982255639871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.043170852847,0,0,-0.262550246576693,-0.101287545158575,0,0,0,0,0.212154335633481,0,0,0,0,0,-0.264601567823914,0,0,0,-0.0561301153654189,0,0,0.147797355233629,0,0,0,0.0138140655225323,0.140495506772103,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161461948241582,0,0,0,0.125770791420211,0.152121411520244,0,0,0,0.261167557764433,0.198039312508732,0.205933994752683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775580556129609,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0541640872346718,0,0,0,0,0,-0.0122256745516215,0,0,0,0,0,0,-0.125371378236879,0.00664291223033263,0,0,0,0,0.269045578323654,0.071542369898139,0.329673998300421,-0.0964801708036782,0,0.198528484304507,0.205717415410023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912816785752587,-0.0350147182889871,-0.0266788248840343,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0672416204441825,0.141769373016075,0,0,0,0,0,0,0,0.133684492141913,0,0,0,0,0,0.06726774873538,0.507260270114995,0,0,0,0,0,0,0,0,0,0.0804951579861047,0,0.0355002663142059,0,0.058124695087282,0.0194353721947479,0.19545157171212,0,0,0.0165399217951311,0,-0.0708492227571973,0.016364316841561,0
X601066.CH.EQUITY,0,0,0.0775292577207172,0,0,0,0,0,0.000205093750935131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.760840768351735,0,0,0,-1.38777878078145e-17,0.159941447834572,0,0,0,0,0,0,0,0,0,0,-0.0855858539597331,0,0,0,0,0,0,0,0,0,0.141307915581422,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0.122324443594173,0,0,0.134544651576547,0,0,0,0,0.0329305995130857,0,0,0,0,0,0,0,0,0.198323730133629,0,0,0.0253707093785322,0,0.395448291751336,0,0,0.0718973580584821,0,0,0,0,0,0.00750718598199634,0.108025488725015,0,0,0,0,0,0,0,0.0974181496091317,0,0,0,0,-0.0168753708349385
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0.0838696058441018,0,0,0,0,0.0307155365821856,0,0,0,0,0,0,0,0,0,0.0587411740685418,0.240350229149149,0.393312121427576,0,0,0.0116135171186533,0,0,0,0.194168512878421,0,0,0,0.0139456498060352,0,0,0,0,0,0,0,0.0359906529751036,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.035045272213858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274528610068591,0,0.0231617606241964,0,0,0,0,0,0.0617741694490509,0,0,0,0,0.276576485604625,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0491217321990587,0,0,0.173807021270623,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0910833762851233,0,0,0.1052234340155,-8.67361737988404e-19,0,0,0,0,0.296518956332311,0,0,0,0,0,0,0,0,0,0,0,0.123793350124623,0,0,0,0,0,0,0,0.188651564187955,0,-4.33680868994202e-19,0,0,0.00420568989982934,0,0,0,0,0,0,0,0,0,0.0822736163837994,0,0,0
X601319.CH.EQUITY,0,0,0,0.0533117440885734,0,0,0,0,0.132841779539598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257519312945129,0,0,0.166276966261549,0.2128479481671,0,0,0,0,0,0,0,0,0.177351129251566,0.023797789241624,0.0188536811747288,0,0.0722072353348758,0,0,0,0,0.089230562924636,0,0,0,-0.0837532151756919,0
X601336.CH.EQUITY,0.192270260340429,0,0,0,0,0.310282880136545,0,0,0,0,0,0,0,0,0,0,0.0474336873626329,0.0318954365575977,0,0,0,0,0,0,0.0324133295014872,0.0705355580317463,0,0,0,0,0,0,0,0,0.208738446756314,0,0,0,0.014832793785055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0686277994437514,0,0,0,0,-0.0817685806116882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.624596689098825,0,0.0664531831869897,0,0,0,0,0,0,0,0,0.011483046348237,0,0,0.102861169730928,0,0,0,0,0,0.0103879326512909,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294474204703645,0,0,-0.0381471558694122,0,0,0,0,0,0,0,0,0,0,-0.160100918498422,0,0,0.301636776178688,0.287637685314544,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.118084012496495,0.0942134269875769,0,0.0364663073796547,0.0503310575475423,0.122403485916034,0,0
X1299.HK.EQUITY,0,0,0.240067952555734,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0767680328399743,0.0271431449126059,0,0,0,0,0,0,0,0.0325087659354165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480603103460644,0,0,0,0.111903824852306,0,0,0
X2881.TT.EQUITY,0,-0.0684780535551143,0.0875412760857605,0,0,0,0,0,-0.0216720933547879,0,0,0,0.0642687199065683,0,0,0,0,0,0,0,0.28549184402137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109078658569904,0,0,0,0.507668542205143,0,0,0,0,0,0,0,0,0,0.0202677693885482,0,0.136900803991361,0,0.0300556263760501
X2882.TT.EQUITY,-0.000798064800053983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773880938465345,0,0,0,0.20330420610448,0,0.0400797350792238,0,0,0,-0.070505335232268,0,0,0,0,0,0.0163146797747375,0,0,0,0,0.576967412785036,0,0.0461654450893781,0,0,-0.108488900274272,0,0,0,0,0,0,0.0927779612650106,0,0,-0.0670333896218483
X000002.CH.EQUITY,0,0.0258270722260338,0,0,0,0,0,0,0,0,0.00382361164659568,0,0.0175209880279645,0,0,0,0,0,0,0,0,0,0.0566050089256446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40612698505125,0.146007102613618,0.156123392063606,0.173548123323438,0,0,0,3.46944695195361e-18,0,-0.0524444259599356,0,0
X001979.CH.EQUITY,0,0,-0.049341679886011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514587672203404,0,0.233206520973535,0,0,0,0,-0.0372812388349996,0,-0.00243113812689723,0,0,0,0,0,0,0,0.0707857174511981,0,0,0,0,-0.0262974111995713,0.336700940526218,0,0,0,0,0,0,0.0841770463774059,0,0,0,0,0,0
X600048.CH.EQUITY,0.115073268822907,0,0,0,-3.46944695195361e-18,0.0856130035298972,0,0,0,0,0.359587979061953,0,0,0,0,0,0,0.00784450316112204,0,0,0,0,0,0,0,0,0.0995867539540341,0,0,0,0,0,0,0,0,0,0,0,-0.0608976703900579,0.0559720123781415,0.22925597352586,0,0,0,0,0,0,0,0,0,0,0.0799009128610967,-0.0123842082592231
X1109.HK.EQUITY,0,0,0,0,0.0708562065822732,0,0,-0.10679872443477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0904961749802024,0,0,0,0,0.283953980609577,0,0,0,0,0,0,0.226409346214588,0.227042882649937,0,0,0,0.152605422517102,0,0,0.218819157179947,0.109388075705192,0,0,-0.0118597039863322,0
