,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601988.CH.EQUITY,0.129728791669961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248116584840565,0,0,0,0,0,0,0,0,0,0.143969627986111,0,0,0,0,0.0869719824675807,0.0150585371313438,0,0.188005200902251,0,0,0,0,0,0,0,0,0,0,0,-0.165369969399132,0.131028039638633,0,0
X601998.CH.EQUITY,0,0,0,0.0115908517430246,0,0,0.213247221730926,0.0196286477449726,0,0.0788230835691642,0,0,0,0.100816840614114,0,0,0,0,0,0,0,0,0,0,0,0,0.00101715492902046,0,0,0,0.00911901366639947,0,0,0.122475462275374,0,0.0579927716749788,0,0,0.124753661570939,0.0943148440161304,0,0,0,0,0,0,0.198899616217442,0,0,-0.0296576883601854,-0.144199900365505,0
X11.HK.EQUITY,0.00344810333520804,0.0589690893715256,0,0,0,0,0,0,0.0918733244938021,0,0,0,-0.0419067031976846,0,0.119965596073454,0,0,0.319855171974827,0.0808203131985607,0.365617360354196,0,0,0,0,0,-0.211952060137052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143165564013485,0,0,0,0,0.586990402244264,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.176431347925746,0,0,0,0,-0.278369339110041,0,0,0,0.336545616640096,0,0,0,0,0,0,0,0,0,0.502294691915373,0.25025638971991,-0.0629616383991887,0,0,0,0,0,0,0,0,0.112759573052669,0,0,0,0,-0.0172628006809999,0.0944376327598379,0,0.210397424820866,-0.123672716914563,0,0,0.654373091844051
X5.HK.EQUITY,0.0683559002925644,0,0,0,0,0,0.0732723954908905,0,0.135745369162186,0,0,0,0,0,0.055356740813177,0,0.0353240734677324,0.0892582477725442,0,0,-0.121883785162473,0,0,0,0,0,0,0,0.0197760008107348,0,0,0,0,0,0.252896590581841,0,0,0,0,0,-0.153141819987452,0,0,0,0,0,0,0,0,0,0,-0.346146023651681
X000166.CH.EQUITY,0,0,0,0,0,-0.0110916949150876,0,0,0,0.0513548772689429,0,0,0,0.0199160940907071,0,0,0.141954905660596,0,0,0,0.151845399410096,0.417827473884508,0,0,0.048981451810813,0,0.310927534626533,0,0,-0.0930724310003665,0.123144847027706,0,0,0,-0.0558711167879701,0,0,0,0,-0.0121965147191798,0,0,0,0.0688836615239933,0,0,0,0,0,0,-0.0253727623532896,-0.0413490420048639
X002736.CH.EQUITY,0,0.161391517924292,0.0197086465526257,0,0,0,0,0,0,0,0,0,0,0.00327045942059748,0,0,0,0,0,0.0157043803877079,0,0.379368017685673,0.381553737821458,0,0,0,0,0,0.0209805737998269,0,0,0,0,0,0.0419147289161908,0.0774136045253242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00215351394556425,0
X300059.CH.EQUITY,0,-0.0181089029574827,-0.142470404942265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466168295088501,0.314689876500219,0,0.0955819941147952,0,0,0.0315939822917447,0,0.0650221366476251,0,0,0.152122187770464,0,0,0,0,0.0443965660614577,0,0,0,0,0,0,0,-0.0221278174147961,0,0,0,0,0,0,-0.0178637029195624,0
X600030.CH.EQUITY,0,0,0,0.03663935059038,0,0,0,0,0.0200498997012853,0,0,0,0,0,0,0,0,0,0,0.0197419958619769,0,0,0,0.288241546657044,0,0,0.248393470655885,0.310489757143073,0,0,0,0,0,0.106382497573478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376580734161372,0,0,0,0,0.0661269410148035,0,0,0.193187369073523,0,0.0144410829342635,0,0,0.456545674698046,0,0,0,0,0,0.125352099269801,0,0,0.0286662838906339,0,0.0395279470054249,0,0,0,0,0,0,0,0,0,0,0,0,0
