,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.229967135527933,0,0,0.133760517585419,0,0,0,0,0,0,0,0,0,0.0272014091738584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641412027440628,0,0.104460676368896,0.177797779862277,0,0,0,0.0177127127405905,0,0,0,0,0,0,0,0.190098811000895,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0.685487326235656,0,0,0.198615936677731,0,-0.290096300290926,0.0571235251690685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259785804004068,0,0,0.120044717923347,0,0,0,-0.00616527802130938,0,0,0,0,0,0,-0.0479811827262107,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0.0278039045223383,0.164680928916687,0.0771277876754862,0.0412119021524319,0,0.261910523642871,0.099948727864186,0,0.135930018843304,0,0.0528156640909209,0,0,0,0,0.0657940736250334,0,0,0,0,0,0,0,0,0,-0.00691373028589629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169931781547551
X600016.CH.EQUITY,0,0,0.0308156930741243,0,0,0,0,0,0.151393369702413,0.169610334892652,0,0,0,0.170679156505733,0.110038375742398,0,0,0,0.00128048878852138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00946468225591372,0,0,0,0.351494992941896,0,0,0,0,0,0,0,0.0383225713203556
X600036.CH.EQUITY,0.020466628076374,0.0601267290631384,0,0,0,0,0,0,0.070604948774236,0,0,0,0.0415718971723891,0,0,0,0,0.0634626878783033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175411119521166,0.0505347473320556,0.0070213707164043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138251333029403,0,0,0
X601166.CH.EQUITY,0.105290900150614,0.0375604510801585,0.425761026550036,0,0,0,0,0,0.093103744349451,0,0,0,0.10248215109763,0.0234992055968027,0,0.020800503243344,-0.00278106092380871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733729981838091,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0
X601169.CH.EQUITY,0,0.0366963486401962,0.243633742469181,0,0,0,0,0,0,0,0,0,0.246817679929337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335871584066565,0,0,0,0,0,0,0,0,-0.0460670530479007,0,0,0,0,0,0,0.0626140669584152,0,0,0,0,0.158132878462386,0,0,-0.165628391378739,0
X601229.CH.EQUITY,0,0.103871069265208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0877601748994795,0,0,0,3.46944695195361e-18,0,0,0.0814849100260807,0,0,0.155772670151278,0,0,0,0,0,0,-0.0410982239259392,0,0,0,0,0,-0.222574303936129,0,0.465268759566249,0.0413970391604153,-0.0353862776464468,0
X601288.CH.EQUITY,0,0,0,0.140864879679271,0,0.249229190589065,0,-0.0718026715271455,0,0.0452657120242179,0,0,0.410582504577513,0.123841072649958,0,0,0,0,0,-0.0780475895688088,0,0,0,0,0,0,0,0.165968306854741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101573191302773,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0870992782344945,0,0,0,0.00499914547510833,0,0.105013270698576,0,0.0615465871352782,0,0.146559864210048,0,0.234088439538302,0,0,0.015123090378514,0,0,0,0,0,0,0,0,0.0378096934504649,0,0,0,0,0,0,0,0,0,0,0,0.171698888303927,0,0.0927602316573609,0,0,0,0,0,0,0,0,0,0,0,0
