,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.143687514808345,0,0,0,0.383622284080652,0,0,0,0,0,0,0.118985951163082,0,0,-0.0105194137606176,1.73472347597681e-18,0,0.0119612746333831,0,0,0,0,0,0,-0.0178939508037629,0,0,-0.127477169778139,0,0,0,0.144090256406781,0,0,0,0,0,0,0,0,-0.180819099493903,0,0,0,0,-0.124185299080296,0,0
X002142.CH.EQUITY,0.155318665625824,0,0,0,0,-6.93889390390723e-18,0,0.533979520918409,0.126082592601932,0,-0.0432594235320104,0,0,0,0,0,0.0899657597562617,-0.106635207692596,0,0,0,0.135867335371577,0,-0.103370599847369,0,0,0,0,0,0,0,0,0,0,0.229719838159086,0.0632567135895315,0,0,0,0,0,0,0,0,0,0,0,0,-0.0580707107741539,-0.106160384118464,0,0,0
X600000.CH.EQUITY,0.132424414212048,0,0,0,0.127016398497573,0,0.0678633360330524,0,0,0,0.0867316717192484,0.0318989500906069,0,0,0,0.0477182329720657,0,0,0,0,0,0,0.0502542046261214,0,0,0,0.0246644434321337,0,0,0,0,0,0,0,0,0,0,0.191924096856397,0,0,0,0,0,0,0,-0.0265312756422524,0,0,0,0,-0.171210794111165,0,0
X600015.CH.EQUITY,0.0325734452524309,0.0045216349710022,0.118851032518271,0,0,0,0.443674827711259,0,0.0577692963665703,0,0,0,0,0,0,0.0503799612659957,0,0,0,0,0,0.205757455673888,0,0,0.0641099388115507,0,-0.00886201611323559,0,0,0,0,0,0,0,0,0,0.0210207403406057,0,0,0,0,0,0,0,0,0,0,-0.112691487553785,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0.0461876299110587,-1.73472347597681e-18,0,0,0.0723488742907228,0.412496253766197,0,0,0.20492952524943,0,0.0998648682899193,0,0,0.0859196860469109,0,0,0,0,0.0876760116640225,0,0,0.0171151128507287,0.0188182462973484,-0.0523109013500924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104513379034992,0,0,0,0,0.0114305140766604
X600036.CH.EQUITY,0.229411354058517,0,0,0,0.399247888187498,0,0,0,0,0.0947969545448969,0.0400332680844545,0,0,0,0,0,0.0605870777458498,0,0,0,0,0.0600880200385788,0,0,0,0,0,0,0,0,0,0.0474433220279117,0,0,0,0,0,0,0,0,0,0.00228426726362118,0,0,0.103381421858209,0,0,-0.118057405963677,0,0,-0.0121452576549208,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0.0144317719180608,0,0,0,0.259554427356142,0,0,0,0,0,0,0,0.407456310562603,0,0.360845114561296,0,0,0,0,0,0,0,0.111871772312176,0,0.113818904796618,0.108201671383518,0,0,0,0,0,0,0,-0.0665805605109496,0,0,0,0,0,-0.12407944646516,0,0,0,0.111043396372819,0
X600926.CH.EQUITY,0,0.04015871579548,0,-0.0300816668399973,0,0.0237022722018444,0,0,0,0.656283471991441,0,0,0,-0.106353963860671,0,0,0,0.0802276562952109,0,0,0,0,0,0,0,-0.0294882761362717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0583235240907787,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.201834119235031,0,0,0.293246807637465,0,0,0,0,0,0,0,0,0,0,0,0,0.0783281305721805,0,0.167490243577575,0,0.082022496699029,0.0120956886121339,0,0,0,0,0,0.0547086524489364,0,0,0,0,0,0,0,0,0,0.0593002706625372,0,0,0,0,0,0.00647351513126826,0.0313155336052951,0,-0.0649664789182696,0,0,0,0.054311099702399,0,0.0141574677282794
X601166.CH.EQUITY,0.470865300287592,0,0,0,0,0.230993994076205,0,0.141168866407841,0,0,0,0,0,0,0,0,0,0.044259353813576,0,0,0,0,0.00155886041459104,0,0,0,-0.0895965854192233,0.165749411458526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015082626067288,0,0.150793514386603,0,0,-0.0664097017698632,0
