,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601988.CH.EQUITY,0,0.185654960593748,0,0,0.235265152201557,0,0,0,0.621556024854246,0,0,0,-1.38777878078145e-17,0,0,-0.0280688070950102,0,0,0,0,0,0,0,0,0.0110635454873372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0264583570274648,0,0,0,0.0736867150856347,0,0,0.100830651383409,0,0,-0.0675703889762205,0
X601998.CH.EQUITY,0,0,0,0.180262818105838,0,0,0,0,0.375194582140123,0,0,0.367567175644538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141972773251205,0.0144406746206003,0,0.151935554351667,0,0,0,0,0,0,0,0,0,0,0,0.0690479866037643,0.00880012870949151
X601658.CH.Equity,0,0,0,0,0,0.315497772051523,0,0,0.0879398858031958,0,0,0.290252072908512,0,0,0,0,0,0,0,0,-0.0151237622731559,0,0,0,0,0,0,0,0,0,-0.0292902576470123,0.110034162469996,0,0,0,0,0,0,0,0,-0.170677592441849,0.279782338747865,0,0,0,-0.0655899835395726,0,0,0,0,0.0325235536564105,0,-0.0126799174771623
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00170699166765324,0,0,0,0.244233415651722,0.555359256680388,0,0,0,0,0,0,0,0,0,0.085856329286387,0,0.0572629678200081,0.0501512736219966,0,0,0,0,0,0,0,0,0,0,0.00830514625364421,0,-6.93889390390723e-18,0,0,0.0478258959818499,0.154311525548395,0,0,-0.0822024853416432,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,-0.0282427448005838,0,0,0,0,0,0,0,0.226771232053693,0.38532124121718,0,0.0247764933307935,0,0,0,0,0,0,0,0,0,0,-0.0744175124200784,0,0,0,-0.163563125491865,0,0,0,0,0,0,0.310128144302045,0,0,0,0,0.0760839834559246,0,0.0211782741292554,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.317404677276299,0.0896831914668641,0,0,0,-0.0259441566312158,0,0,0,0,0,0,0,0,0,0.100261563844577,0.0114861429260493,0,0,0.0741625621350988,0,0,0.0318067961467648,0,0,0,0,0.232438580654568,0,0,0,0.0267084136251361,0,0.19497748712507,0,-0.106077932431048,0
X000166.CH.EQUITY,0,0,0,0,0,0,0.0404423636020079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175479133690391,0.247256984294093,0,0.162802444276283,0,0,0.286478856221046,0,0.224561100972576,0,0,0,0,0,0,0,-0.051563978120094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49855018368409,0,0,0,0.146772943519658,0.186634736357517,0,0,0.010220753554776,0,0,0,0,0,0,0,0,0,-0.0639357050479642,0,0,0,0,0,0,0,-0.0600946424972406,0,0.012120146120261,0,0.0361743757312826
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0938209674048329,0.293673982461662,0,0,0,0.028312279175722,0,0.0464361943478129,0.0639280185093839,0,0,0.242956676364549,0,0,0,0,0,0,0,0,0,0.202909634747569,0,0,0,-0.0662235208816048,0,0,0,0,0,-0.284399631883431,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.125159965128636,0,0,0,0,0,0,0,0,0,0.0632738365509685,0.206453166170498,0,0,0.294550152260746,0,0,0,0,0,0.378876859258501,0.0988781624467044,0.0787555475195071,0,0,0,0.0484990489831338,0,0,-0.0296690923060328,0,0,0,0,0,0,0,0,0,0,-0.00156337506295562,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212239523103759,0.0396498021186651,0,0,0,0.100277949632533,0.0185673171412782,0.410696635480292,0.160997112052076,0,0.0889627519324312,0,0,0.01461110526817,0,0,0,0,0,0,0,0.0595709292453786,0,0,0,0,0,0,0,0,0,0,0,-0.0304299328584633
X600837.CH.EQUITY,0,0,0,0,0,0,0.0891760697254755,0.0621451487907165,0,0,0,0,-0.0292781783951009,0,0,0,0,0,0,0,0.00394683426507976,0,0,0.0798809491501271,0,0,0,0,0.00390834841304176,0.312635046063228,0,0.240695870295617,0,0,0,0,0,0,0.0360155227485139,0,0,0,-0.0282692794624952,0,0,0,0,0,0,4.33680868994202e-19,0,0,0
X600999.CH.EQUITY,0.0120116514564088,0,0,0,0,0,0,0.0722341899062046,0,0,0,0,0,0,0,0,0,0,0,0,0.107805762555297,0,0.432138863104434,0.306045348528587,0,0,0,-0.0624164819927095,0,0,0,0,0,0.0858213368730711,0,0,0.12911631510165,0,0,0,-0.0457730451420735,0,-0.0143671153805757,0,-0.0245559125932404,0,0,-0.0565163545377793,0,0,0,0.153857042919215,0
X601066.CH.EQUITY,0,0.00397366175245539,0,0,0,0,0,0.00632117431283398,0,0,0,0,0,0,0.0545484856884858,0.0277026730790301,-0.105828182773574,0,0,0,0,0.143669888534548,0,0.617278503500807,0,0,0,0,0,0,0,0,0,0,0,0.16646242717448,-0.0284146749280262,0,-0.0321667029311874,0,-0.0753108441590568,0,0,0,0,0,0,0,0,0,0,0.138388691362845,0
