,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.36452282250262,0,0,0.0331539938686457,0.396290128913267,-0.0235281115923702,0,0,0,0,0,0,0,-0.0885453394511247,0,0,0,-0.10694063187369,0,0,0,0.206155990181215,0,0,0,0,0,0,-0.0578763424251813,0,0.115201849091474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.073352268944425,0,0,-0.0962121445889897,0
X002142.CH.EQUITY,0.606126149801353,0,0,0,0.0111715215883295,0.0943279554654416,0,0,0,-0.00490022779485128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0670424150244007,0,0,0,0,0,0,0.0416222089827166,0,-0.0355281528590581,0,0,-0.0707495803816818,0,0,-0.0142869764846286,0,0,0,-0.0571514055430234
X600000.CH.EQUITY,0,0,0,0.0126880063044462,0,0,0.114056177532926,0,0,0.214080183873523,0,0,0,0.0899661368153058,0,0,0.00429783614949511,0,0,0,0,0.0398058431564502,0,0,0,0,0,0,0,0.0559045776353667,0,0,0,0,0,0,0,0,0,0,0.104079169222226,0,0.114020180121456,0,0,0,0,0,0,0,-0.026435909781806,0
X600016.CH.EQUITY,0,0,0.0143477673015627,0,0.00705168105664037,0.182870751198572,0.438461682911559,0,0,0.247983755603722,0,0,0,0,0,0,0,0.111574640746074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.0944750024709223,0,0,0.34989874398388,0,0,0.069158554146078,0,0,0,0,0.134488680973515,0,0,0.0470666447507789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121717281231486,0,0,0,0,0,0,-0.108207123020178,0,0,0,0,0,-0.0500894692969695,-0.0874282208901836,0
X601166.CH.EQUITY,0.598724500840221,0,0,0,0,0,0,0,0,0,0,0.0445774977774288,0.142128573275092,0,0,0,0,0,0,0,0,0,0,0,0,-0.00325559068643686,0,0,0,0,-0.180463807155431,0,0,0,0,0,0,0.0774199814900821,0,0,0.0867720239920279,0,0,0,-0.0557728948020235,0,0.0859704703299796,0,0,0,-0.0364558902330405,0
X601169.CH.EQUITY,0,0,0.14881182199041,0.62499635016592,0.0948125769370405,0,0,0,0,0,0,0,0.127146283649179,0,-0.0659573010349161,0,0,0.143077377222979,0,0,0,0,0,0,0,0,-0.0668846806737653,0,0,0,0,0,0.162551098974448,0,0,0,0,-0.172016270041935,0,0,0,0,0,0,0,0,0,-0.0581775108441059,0,0,0,-0.00730191490677909
X601229.CH.EQUITY,0,0,0,0.155968750830669,0.0312612787001409,0,0,0,0,0,0,0.182719527310208,0,0,0,0.093443474154611,0,0,0,0.0431626346554412,0,0,0,0,0,0,0,0,0,0.21193625538568,0,0,1.73472347597681e-18,0,0.0106920784392194,0,0,0,0,0.0668781967780418,0.111720772115444,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.011414428702202,0.0194575305975551,0.108421787324584,0,0,0.0792928826878415,0,0,0,0,0,0.0214819394692763,0.0751598323453686,0.391335348553302,0.178494591599976,-4.33680868994202e-19,0,0,0,0,0,0,0,0,-0.0137906673582456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177516803988602,0,0,0
X601328.CH.EQUITY,0,0,0.0358447462349994,0.170715842535911,0,0,0,0.141128573680854,0,0,0.349059621118269,0,0.0257927057490574,0.202240332956854,0,0,0.0176017903488941,0,0,0,0,0,0,0,0,0,0,0.0695476183498505,0,0,0,0,0,0,0.0330150102309992,0.00586756971701495,0,0,0,0,0,0,0,0,0,0.0444771722827112,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0.0134066355158222,0,0,0.102823579648738,0,0,0,0.182346432245989,0.340551362111344,0.228353017214334,0,0,0,0,0,0,0,0,0,0,0.0925041285249077,0,0,0,0.0042054287587243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0392741332769155,0,0.0518226984146169,0.11006292579269,0,0,0
X601818.CH.EQUITY,0,0.348099088343188,0,0,0,0.0616563965141089,0,0,4.33680868994202e-19,0,0,0,0,0,0.154492025402043,0.119660585614672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707032576232361,0,0,0.0851633368564118,0,0,0,0.0594685145404206,0,0,0,0,0,0,0.0604739846334533,0,0,0.163192309533405,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.117452533445439,0,0,0.0884618872988361,0.565848697525068,0.125388042673969,0,0,0,0,0,0,0.17122574184012,0,0,0,0,0,0.115139229793322,0,0,0,0,0,0,0.071601180115166,0,0,0,0,0,0,0,0,0,0,0,0.0512317302558552,0,0,0,0,0,0,0.0459922348611284,0
X601988.CH.EQUITY,-0.121655960437955,0,0,0.0661996274780937,0,0,0,0,0.379260482004297,0.145553797445958,0.176465703855771,0,0,0,0.0706812205282842,0.0704135734067973,0,0,-0.0653207451934509,0,0,0,0,0,0,0,0.0989002595566206,0,0,0.0948950130969676,-0.0274472003104605,0,0,0,0,0,0,0,0.0847750736503355,0,0,0,0,0,0,0,0,0,-0.130866095573256,0,0,0
X601998.CH.EQUITY,0,0,0.0069766974563031,0.0188502423065889,0.0103324365952229,0,0,0,0.322405381976981,0,0.305448787582905,0.115787278740761,0,0.132011412041667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265657706553763,0,0,0,0.0442868982575215,0,0,0.0266057688385905,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0.0189550189342109,0,0,0,0,0,0,0,0,0,0,0,0,0.495727075452791,0,0,0,0,0.0378866868548885,0,0,0,0,0,0,-0.18240953492953,-0.0781484382280935,0,0,0,0,0,0,0,0.243545492400152,0,-3.46944695195361e-18,0,0.18458446067599,0,0.0374672963024354,0,0,0,0,0,0,0,0,0,0.187837137292434,0.10751905867857
X11.HK.EQUITY,0,0,1.73472347597681e-18,0,-0.0330775480102982,0,0,0,0,0,0,0,-0.0505175406299141,0,0,0,0,0.0537275370802164,0.554628857531473,0,0,0,0,0,0,-0.0828602011234404,0,0,0,0,0,0,0,0,0,0.130636677262709,0,0,0.100797361797863,0,0,0,0,0,0,0,6.93889390390723e-18,0.213774262123416,0.147507327949495,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0.150647103147907,0.082248812471804,0,0,0,0,0,0,0,0.00219513952989774,0.476705919991714,0,0.0645262555079124,0,0,0,0,0,0,0,-0.0466057313184016,0,0,-0.153705283197536,0,0,0,0,0,0,0,0,0,0,0,0,0.0107608062734479,0.265589951081898,0.069188076818436,0,0,0,0,0.0246301536990343,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0387629048311287,0,0,0,0,0,0,0.0956691115375669,0,0,0.0326264838098408,0.281258855242175,0.117709854081273,0,0,0,0,0,0,0,0,0,0,0,0,-0.144940179159062,0.223785929589778,0,0,0,0,0,0.0462031343169701,0,0,0,0,0,0.235476709477196,0,0,0,0.0448492953950925,0.00881239909072451,0,0,0
X000166.CH.EQUITY,0,0.0175209472579249,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.301761571256998,0.102202396191362,0.608270157937182,-0.151606854417035,0,0,0,0,0,0.0215180078712738,-0.0105253795883597,0,0,0.0115137302009041,0,0.0165525950559221,0.0842352502235263,0,0,0,0,0,0,0.0990121938220274,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177315349609403,0,0,0.218210984640874,0,0,0,0.144312896039951,0.212916405724194,0,0,0.105263821415376,0,0,0,0,0,0,-0.057972427830763,0,0,0,0,0,0,-0.0731415216141491,0.132526095277325,0,0,0,0,0,0
X002736.CH.EQUITY,-0.22135221859875,0,-0.197140516152406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190310138956188,-0.0512944151496882,0,0,0,0,0.31856014874569,0,0,0,0.0617862120140345,0,0,0.580522025865614,0,0,0,0,-0.0374582022951614,0,0,0,0,0,0,0,-0.097051480610972,0,0,-0.199864368134524,-0.0763427349142346,0,0.315689230153119
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.107941689144891,0,0,0,-0.0909494783231277,0,0,0,0,0,0,0.334121204522403,0,0.199202125714548,0.131762636161317,0.301002831385887,0,0,0,0.0976380055874722,0.0770164688627692,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135343334288589,-0.014502720216745,0,0,0.0469095013458805,0,0.00195853171797013
X600030.CH.EQUITY,0.00562616030499521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0386399116331721,0,0,0,0.0130470709748224,0.200612441000719,0.227471141184465,0.43704097195852,0.0989906562276878,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0.0308355960470955,0,0.0786136811893278,0,0,0,0,0,0,0,0,0,0,0.0217778997945592,0,0,0.440607247958359,0,-0.0961578420769039,0,0,0,0.0612002972629133,0,0,0,0,0,0,0,0,0,0,-0.00504439083222051,0,0,0,0,0,0,0,0,0.135634633700296,0,0.0500138700968089
X600999.CH.EQUITY,0,0,-0.00379014859080679,0,0,0,0,0,-0.0463270127630765,0,0,0,0.110726310945857,0,0,-0.237269550499403,0,0,0,0,0,0.21798769856517,0.328078441500377,0.191031138917292,0,0,0.200293983649358,0,0,0,0,0,0,0,0,0,0.00849237848855348,0,-0.0917342079491716,-0.171829931561136,0,0,0,0,0,0,0,0.176723559459579,0,0,0,0
