,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X601988.CH.EQUITY,0.252852236639217,0.05473999437812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327966529902463,0,0,0,0,0,0,0,0,0.11114800598142,0,0,0,0,0.00631442972917536,0,-0.0132999368970954,0,0.107311730695109,0,0,0,0,0,0,0,0,0,-0.0683608186459604,-0.0628982268962016,-0.249354431029772,0.127335093640318,0
X601998.CH.EQUITY,0.301662495961246,0,0,0,0,0,0,0,0.0760901109458394,0,0,0.297788049605153,0,0,0,0,0,0,0.00196493486912774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0950496073106675,0,0,0,0,0,0,0,0,0,0,-0.00471294612327318,-0.0259917928134501
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133763616341619,0.215576516299876,0,0,0.0878905244312547,0.0462170844661967,0.243888172851774,0,0,0,0,-0.159857964671554,0,0,0,0,0.13666654201913,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465520485053355,0,0,0,0.00835091242454598,0.599892729700216,0,0
X2388.HK.EQUITY,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.333915148642009,0,0,0,0.364063283832762,0,0,0,0,0,0,0,0,0.448380145849364,0.18601127099436,0,0,0,0,0,0,0,0,-0.132628426952284,0,0.165527341670755,-0.14517296104753,0,0,0,-0.104526423426304,0.197587617139775,0,0,-0.0937669308922566,0,0.279251191641471
X5.HK.EQUITY,0.118449911950362,0,0,0,0,0,0,0,0.171137568754958,0,0,0,0,0,0.0732928739220687,0,0,0.138309163348313,0,0,-0.0967166103125186,0,0,0,0,0,0,0,0,0,0,0,0,0.161772383285865,0.033442552181372,0,0,0,0,0,-0.0788289146188208,0,0,0,0,0,0,0,0,0,-0.364265328769116
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0099059882782119,0,0,0,0,0,0,0.146084958678486,0,0,0,0.234925742413479,0,0.213090112345531,0.0145443557474793,0,0.535234970306881,0.0600766898780592,0,-0.121447706785792,0.160566409014187,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.185923126473133,0,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0,1.73472347597681e-18,0.0841174162015244,0,0,0,0,0,0,0,0,0,0,0.0499257623860178,0,0,0,0,0.410156668917627,0,0.36420602836283,0,0,0,0,0,0.0173752447830955,0,0,0,0,0,0.00518918851489296,0.0935645502464197,0.00887948151618326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25287324006061,0.00253540213860049,0,0.278893986443629,0.295669286256671,0,0,0.0392098325120053,0,0,0,0,0.0458220255163223,0,0.0984030047130409,0,0.0740623228595281,0,0,0,0,0,0,0,0,0,0,0,0.0156214849444971
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551211127033327,0,0,0,6.93889390390723e-18,0.182611653983512,0,0,0,0,0,0.0184768366711408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282733545550854,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108085468497859,0,0.44707894563619,0,0,0.091281947546886,0,0.0521961532909516,0.441969436135031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284714555225661,0,0,0,0,0,0,0,0,-0.00825135329484154,0
