,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.345555914825213,0,0,0,0,0,0.0774639811369013,0,0,0,0,0,0,0,0,-0.0438381690838976,0,0,0,0,0,0,0,0,0.0663665660141463,0,1.38777878078145e-17,0,0,0.134726433003484,0,0,0,0,0,0,0.127082760282317,0,0,0.135404118050474,0.0900206681891006,0,0,0,0.209262036908106,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0.444924119708888,0,0,0.269980575787373,0,-0.120176694582086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114902122387352,0,0.156989462837862,0,0,0.108752891683247,0,0,0,0,-0.0766678807474332,0.211296087185276,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.296898003252527,0,-0.00727082640626309,0.166448302316952,0,0,0,0,0.0660115807581055,0.0567423004709765,0,0,0,0,0.0699853564594287,0,0,0,0,0,0,0,0,0,0,0.0524715793420311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154533482345216,0,0,0,0,0
X600016.CH.EQUITY,2.77555756156289e-17,0,0,0,0,0.258974495122749,0.00332881309706981,0.0281201832928112,0,0.3227427621311,0,0,0.00835954389545648,0.00981022950352339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105579975155341,0,0,0,0,0,0,0,0,0,0,0.0837890961505436,0,0,0,0.130552526519858,0,0,0,0,0,0,0.0134252745747439
X600036.CH.EQUITY,0.188113148990038,0.338951602115292,0,0,0,0.251899819319241,0,0,0,0,0,0,0.115079335160451,0,0,0,0,0,0,0,0,0,0,0.0408545526426165,0,0,0,0,0,-0.00308756421079954,0,0,0,0.124344909716559,0.117291468214394,0,0.0117965031717979,0,-0.0622783043649298,0,0,0,0,0,0,0,0,0,0,0,0,-0.0427068069123748
X601166.CH.EQUITY,0.0218578868592812,0,0.0270594691419585,0.117024248636795,0.236243938067177,0,0,0,0,0.0548844698580929,0.0398469599341708,0.263313767656968,0,0,0,0.0137799786489577,0,0,0,0.105032975080829,0,0,0,0,0,0,0,0,0,0,0.125283863971817,0,0,0,0,0,0,0,0.0390555750272457,0,0,0,0,0,0,0,0,0,0,0,0.00823911378053216,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.260514685470786,0,0.0630888665123312,0.181835586030154,0,0,0,0,0,0,0,0.0340692558272372,0,0,0.30159754052267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119291808582261,0,0,0
X601229.CH.EQUITY,0,0.210028809616692,0,0.166350519475283,0,0.0355401381887587,0,0,0,-0.137013472532479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359929579187471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134091891487481,0,0,0,0.0356869082432064,0.0200962466952464,0
X601288.CH.EQUITY,0,0,0.0272334562974274,0,0,0.273405933829674,0,-0.0785399324098977,0,0.29456426300289,0,0,0.135076801068524,0.304996562604203,0,0,0,0,0,-0.0497189529287285,0,0,0,0,0,0,0.0354821425373448,0,-0.0454097419056897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0.195927474231053,0,0.409782353381125,0.230089210906145,0,0,0.0420609869699517,0,0,0,-0.0566240561454218,0,0.0242160383054144,0,0.163014437053222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111657708595361,0,0,0,0.00661161270713306,0,0,0,0,0,0,0,0,0
