,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0,0.0264028710569774,0,0,0,0.650697181700824,0,0,0,0,0,0,0,0,0.0839292183279143,0,0,0,0,0,0,0.0567111495434178,0,0,0,0,0,0,0,0,0,0,0,0,0.142283780413971,0,0,0,0,0,0,0,0,0,0,-0.0140005389196895,0
X002142.CH.EQUITY,0,0,0,0.14162008685699,0.15198312522023,0,0.0722517677556026,0,0.0746627735989205,0.0406160644315761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119473383375475,-0.0848840264984195,0,0,-0.0780141996530948,0,-3.46944695195361e-18,-0.0590688939427506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702694915368249,0.105756710949895,0,0,0,-0.0414238288439638,0
X002958.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.109169696920632,0,0,0,0,0,0.266499510850966,0,0,0,0,0.303609498372666,0,0,0.136784723130659,0.196879119496971,0,0,-0.146147629519873,0,0,0,0,0,0,-0.00128386563746899,0,0,0,0,0,0,0,0.0639274150609097,0,0,0,0,0,0,0,0.0172680185397875
X600000.CH.EQUITY,0,0,0,0,0,0,0.158369972206582,-0.00299417927330928,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681974255708522,0,0,0,0,0.0148549606113787,0,0,0,0,0,0,0,0,0,0,-0.0618189369134382,0,0.112742926611953,0,0,0,0,0,0,0.00976571066290539,0,0.0301877416942266,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0.0350105792175292,0,0,0,0,0,0.0810672685435973,0.227284314305318,0.0151744659544863,0,0,0,0.0881591813384923,0,0,0.133967235866569,0.0597810450725162,0,0,0.0692436051407572,0,0.122343031295648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181751053711925,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0.242540449953468,0,0,0,0,0,0,0.0213770601291397,0.25513724605774,0.297055060352358,0,0,0,0,0,0,0.0380408647186386,0,0.140290805579847,0,0,0,0,0,0,0,0,0,0.0382379337672261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.14377997348387,0,0.185032038039908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134528332042528,0,0,0,0,0,0,0.32777353222799,0,0,0,0,0,0.113900819555554,0,0,0,0,0,0,0.173566092168387,0,0,0.0965762293777321,0.0603200750777733,0.103483496536078,0,0,0
X600919.CH.EQUITY,0,0.0271394266881436,0,0,0,0,0,0,0,0.545106155794153,0,0,0,0,0,0.00331043466687472,0,0,0.17282931107025,0,0.249529024914816,0,0,0.34168810621444,0,0,0,0,0.116839863577506,0,0,0.00864581818140128,0,0,0,0,0.170144479110858,0,0,0,0,0,-0.026663418983228,-8.67361737988404e-19,-0.397544561046852,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0109589585626764,0,0,0.136255224319595,0.171038285246724,0.102732982481987,0,0,0,0.466187521057966,0,0,0,0,0,0,0,-0.0113593707055242,0,0,-0.0275231337865576,0,0,0,0,0,0,0,0,0,0.0930632574912307,0,0,0,-0.342747541406392,0,-0.0150099267166064,0,0,0.0994270204935385,0,0,0
X601009.CH.EQUITY,0.197036336139803,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.192215166692982,-6.93889390390723e-18,0,0,0,0,0,0.262393612665456,0,0,0,0,0,0,0,0,0,0.0232347109126392,-0.0134147344398154,0,-0.167319347614758,0.0983957594570473,0,0,0,0,0,-0.0160483210077428,0,0,0,0,0.231972187811855,0,0,0,0.0268887672525154,0,0,0,-0.107487605830666,0.0566172712412015
X601166.CH.EQUITY,0.0757085077107326,0,0,0,0,0,0,0,0,0.273202839217182,0,0,0,0,0,0.0297642168452995,0,0.0566989896116827,0,0,0,0.146154050767732,0,0,0,0,0,0,0,0,0.112247342917307,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0576851096908738,0,0,0,0.0888537408473536,0,0
X601169.CH.EQUITY,0.0433161057645943,0,0,0,0,0,0,0.0931570425963307,0,0,0,0,0,0.266547740513089,0.0182895094749985,0,0,0.0801670646990119,0,0,0,0.206910146949252,0.156475618989506,0.0276897617386182,0,0.0917265043774428,0,0,0,0,0,0.0117736619005352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
