,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.182819279149556,0,0,0,0,0,0,0.025319878672879,0,0,0.0824956707064567,0,0,0,0,0,0.123160676950324,0,0,0,0,0,0,0,0.105616530161212,0,0,0,0,0,0,0,0,0.0330095692615506,0,0.221485767980365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.0719641541604605,0,0,0,0,0.0567662519918523,0,0,0.332821172135221,0.0224382444549479,0.333195877132057,0.108988771619495,-0.0468450879164907,0,0,0,0,0,0,0,0,0,0,0,-0.136579975929589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0524222971453493,0,0,-0.0048411185275946,0,0,0,0,0,0,0.132256606129761
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.170576204864809,0,-0.110719425220363,0,0,0.215360765194281,0,0,0,0.467758046849676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378729626736377,0,0,0,0,0,0,0,0,0,0,0,-0.0862534953589707,-0.163410873293243,0.0540564578264875
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.0743779247197285,0.0764703399665674,0,0.458670699098321,0.0894342794011503,0,0.220869083882154,0,0,0,0,0,0,0,0,0,0,0.0617686336819373,-0.167613228306748,-0.0617368338379867,0,0,0,0,0,0,0,0,0.0981901356590354,0.086832674591998,0,0,0,0,0,0,0,0.0532730702448698,0,0,0,0,0.073553977029407,0,0
X600016.CH.EQUITY,0,0,0,0.209980141326117,0,0,0,-0.552710344868184,0.176118294128293,0,0,0,0,0,-0.906467369634682,0.533049784451207,0.0777544025860325,0,-0.0284857637598228,0,0,0,0,0.473916378093956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110844009111747,-0.347639227523445,0,0,0,0,-0.0849282606447306,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.143580127095635,0,0,0,0,0,0,0,0,0.115590869511536,0,0,0,-0.0306438637508857,0,0,0,0.0975586179643731,0.0851133098937624,0,0,0,0,0.0623555971474643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328221543493664,0.176205975404788,0,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0.167862369418806,0,0,0.145294873288844,0,0,0,0,-0.0522022956760306,0.30622757013963,0.156135966629338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128986466437951,0,0.15626904075556,0,0,0,0,0,0,0,0,0,-0.147373337201387,-0.181402565318899
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0373979915235804,0,0,0,0,0.011977821426462,0,0,0,0.582027273996217,0,-0.0610635873816409,0,0,0,0,-4.33680868994202e-19,0,-0.0170932362898971,0,0,0,0,0,0,0,0,0,0,-0.106965335380764,0,0,0,0,0,0,0,0,0,-0.134768332137875,0,0,-0.10421608163559,0.266951979916203
X601009.CH.EQUITY,0.0764860102905694,0.0777891771419768,0,0,0,0,0,0.0103307994485115,0,0,0,0.207828495426754,0,0,0,0,0,0,0,0,0.436643057146032,0,0,0,0.00111992484560747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0316833104740774,-0.00503245576789494,0,0.165509378929808,0
X601166.CH.EQUITY,0.173476360321225,0,0.105227030011488,0,0,0.25040435509475,0,0,0,0,0.168764105659597,0.174430507233535,0,0,0,0,0.176928832557412,0,0,0,0,0.190421270358972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00279012052907049,0,0,0.0642003944304056,0,0,-0.071593475440138,0,0,0,0,0,-0.0466730533021836
