,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.273748241032061,0,0,0,0,0,0,0,0,0,0,0.19350954867449,0.0506965314953361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112405992496419,0,0,0.183493779619882,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.0676671618503879,0.088988749703454,0
X002142.CH.EQUITY,0,0,0,0,0.327068039152266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109018771069394,0,0,0.191290159203521,0.0954124604030901,0.0901319107800273,0,0,0,0,0,0.026066535390838,0,0,0,0,0,0,0,-0.176479500160869,0
X600000.CH.EQUITY,0,0,0,0.0802246209512432,0.0516994774197329,0.610440459542428,0,0,0,0,0,0,0,0,0,0,0,0.0423274071324357,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00711283829897818,0,0,0,0,0,0.00737917101777454,0,0,0,0,0,0,0,0,0.0109023922793995,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.0525520662998205,0,0,0,0,0.0977625941213529,0.267752469145121,0,0,0,0.105808873587041,0.0161041930755232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065127097892996,0,0,0,0,0,0,0,0,0,-0.0109778106027109,0,0,0.00341871516736491,0,0,0,0.206981638555356,0,0,0,0,0,-8.67361737988404e-19
X600036.CH.EQUITY,0,0.246473627727565,0.109086852076751,0,0,0,0,0.164947226214821,0,0,0,0.280575713160368,0,0,0,0,0.0189663447774914,0.0608863707841613,0,0,0,-0.00620789389093832,0,0,0,0,0,-0.0136167798051083,0,0,-0.0997878281438822,-0.0712894485025279,0,0,0,0.0303618564455821,0,0.0805381256812412,0,0,0,0,0,0.0551843475552711,0,0,0,0,0,0.0552234878142147,0.0864557765294844,0
X601166.CH.EQUITY,0.111032328488663,0,0.467507764057583,0,0,0,0,0.0668144789133827,0,0,0,0,0.0504739403890711,0.0386201604926381,0.00981910581131904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0114423237676922,0,0.12504670404358,0,0,0,0,0,0,0.0111224504415718,0,0,0,0,0,0,0.0117167097105121,0,0,0,-0.00279665148725171,0
X601229.CH.EQUITY,0,0.134796015346241,0,0,0,0,0,0,0,0,0,0.419332127463497,0,0,0,0,0,0.13949365351868,0,0,0,0,-0.00857688585012656,0,0,0,0,0,-0.116524153337471,0,0,-0.126544682246454,0,0,0,0,-0.523125228903142,0,0,0.199055777180158,0.021437710966782,0,0,0,0,0.0469938558549796,0,-0.0377190967157829,0,0,0,-0.00131571371169419
X601288.CH.EQUITY,-0.00451647537383628,-0.00666718989608302,0,0,0,0,0,0,0.274535505062327,0,0,0.7509404544398,0,0,0,0,0.043798718589914,0,0,0,0,0,-0.0483482990348312,0,-0.0505770568483496,0,0,0,0,0,-0.0287731177239138,0,0,0.133220663063016,0,0,-0.0247318587377455,0,0,0.0170881878294912,-0.107060026156584,0,-0.0942332061691966,0,0,0,0,0,0,0,-0.0151484316617832,-0.00989692362133926
X601328.CH.EQUITY,0,0,0.0364497489507952,0.330698899310745,0,0,0.035639348684478,0.181771987889197,0,0.264606487770263,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0663859100630609,0,0.00987640681575052,0,0,0,-0.0156873205935278,0.0462029334059412,0,-0.00324410941651708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0.190903195552582,0,0,0,0,0,0,0,0,0,0.152697359099696,0,0.358704196649276,0,0,0,0,0,0,0,-0.111934338277892,0,0,-0.206002037062013,0,0,0,-0.170018372365017,0,0,0,0,0,0,0,0.00386900254259997,0,0,0,0,0,0.089230884434561,0,0,0,0,0,0.0994315251574377,0,0,0
