,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.325202172443061,-0.14311809431133,0,0.0378849108860904,0.521538458572453,0,0,0,0,0.107347008795869,0,0,0,0,0,0,0,0,0,0,0.172963327609445,0,0,0,0,0,0,-0.0129151625447401,-0.0136626207171903,0.0714130067417813,0,0,0,0,0,0,0,0,-0.246227699542209,0,0,0,0,0,0,0,0,-0.0255257456431356,0,-0.0343040731424412,0.0478287487544792
X002142.CH.EQUITY,0.217061382661323,0,0,0,0.0315511585861767,0.109481947716918,0.0245440482901454,0,0,0,0,0,0,0,0,0,0,0,0.0565674018173991,0,0,0,0,0,0.144610897452342,0,0,0,0,0,0,0,0.197205176577346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0201716428586893,0
X600000.CH.EQUITY,0,0,0,0.106005792069624,0,0,0,0.0432587166985389,0.291580426437369,0,0,0,0.157262051129192,0,0,0.0788942705794123,0,0,0.0842077673403049,0,0.0905771055783379,0.0660518028006455,0,0,0,0,0,0,0,0,0,0,-0.00641976940862367,0,0,0,0,0,0,-0.0655283514184341,0.100400888097398,0,0,0,0,0,0,0,0,0,0,-0.00700695127779666
X600016.CH.EQUITY,0,0,0,0,0.0337246916454521,0,0,0,0.470108587890145,0,0,0,0,0,-0.079140185202185,0,0.0618935333341055,0,-0.185630482391225,0,0,-0.0190090443237837,0,0,0,0,0,0.404709056103255,0,0,0,0.187222121428855,0.0964765575216393,0,0,0,-0.0940787889566843,0,0,0.21624113785013,0,0,0,0,0,0,0,-0.0775976267729158,0,0,0,0
X600036.CH.EQUITY,0.0353749784070773,0,0.0486618303168467,0.474694863833609,0,0,0,0,0,0,0.0385784816147088,0,0,0,0,0,0,0.0199512336942001,0,0,0,0,0,0,0,0,0,0,0,-0.125537546647566,0,0,0,0,0,0.203345424968086,0,0,0.118911369371934,0,0,0,0,-0.0496269359670864,0,0,0,0,0,0,-0.0204615946874299,0
X601166.CH.EQUITY,0.41663867644768,0,0,0,0.0268305369773318,0,0,0,0,0,0.277102761521688,0,0,0,0,-0.0246424795243115,0,0,0,-0.0654160426240282,0,0,0,0,-0.0166298300170957,0,0,0,0,-0.0742257846711632,0,0,0.101572306950109,-0.0738484311508642,0,0,0.0353545831247704,0,0,0,0.131222023751833,0,0,0,-0.139486142841696,0,0.0203093891529222,0,0.096886085960762,0,0,0
X601229.CH.EQUITY,0,0.0832808514078989,0,0,0,0,0,0,0,0,0.553014816326227,0,0,-4.33680868994202e-19,0,0,0.0159541681337159,0,0,0,0,0,0,0,0.00918589009186007,0,0,0,0,-0.00774918479662292,0,0.285657423356501,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.117161321788732,0,0
X601288.CH.EQUITY,0,0,0.0501372797764762,0,0,0,0,0,0,0.00392884245417565,0.103121713623102,0,0.515283515283461,0.164298917095767,0.0324946280570743,0.0616097160202771,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0763663102370991,0,0,0,0,0,0,0.0311975155610248,0,0,0,0,0,0,0,-0.000539070023107098,0,0,0,0.0885235491693146,0,0.0523970714406278,0
X601328.CH.EQUITY,0,0,0.367779934726963,0.0951483562151677,0,0,0,0,0,0,0,0.0165972780207269,0.0655341831331166,0.023857464192182,0.209170054359553,0.0496266159635099,0,0,0,0,0,0,0,0,0,0,0.0679603385028429,0,0,0,0,0,0,0,0.0652467362448861,0,0,0.0369969668961007,0,0,0,0,0,0,0,0,0,0.0631387422001848,0,0,0.0798338462271321,0
X601398.CH.EQUITY,0,0,0,0,0,0.0132604519562868,0,0,0,0,-1.38777878078145e-17,0.213681431522694,0.405088837973361,0.246761024638779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023979168589132,0,0.0118609702204948,0,0,0,0,0,0,0,0,0,-0.0911979328068517,0,0.0640847441774421,0.0671538422513609,0,0,0
