,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.61073376187272,0,0.0367495416854823,0,0,0,0,0.00717873805721066,0,0.0762156041897045,0,0,0,0,0,0,0.0906012344522858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0200438767569264,0,0,0,0.0847047840511226,0,0.0294922741022468,0,0,0,0,0,0.0431115273538222,-0.0151574232295755,0.0292597456558142
X601318.CH.EQUITY,0,0,0,0.118779230631565,0,0,0,0,0.0589417516306569,0,0,0,0,0,0,0,0,0,0.231198674186568,0,0,0,0,0,0,0.0383219200029773,0,0,0.0410755488968616,0,0,0,0.114086045599073,0,0,0,0,0,0,0.194654411885665,0.0755979968753783,0,0,0,0,0,0.0784581305715875,0,0,0
X601939.CH.EQUITY,0.115752617594529,0,0,0.364776430507298,0,0.209500937211691,0,0,0,0,0,0,0,0,0,0,0,0.0208880323302709,0,0.0139455327576906,0,0,0,0,0,0,0,0,0.0828429546958409,0,0,0,0.111029891104383,0,0,0,0,0.00648998668629233,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0.0466868878427929
X601288.CH.EQUITY,0.0134955769004022,0,0.290111735403131,0,0,0,0,0,0,0.2138197946909,0,0,0,0,0,0,0,0,0.050639237889208,0,0,0,0,0,0.0126972775975889,0.223367495841314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0730896795387451,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0440293219660706,0,0.565079071028211,0,0,0,0,0,0,0.111498931094598,-0.279770983123923,0.233705831145879,0.229277497097441,0,0,0,0,0,0,0,0,-0.129041693039111,0,0,0.11729507224246,0,0,0.111847170649887,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,-0.715607549325011,0,0,-0.0735610890774869,0
X601988.CH.EQUITY,0.0726572882179553,0,0.197664242616858,0,0.0376082947478809,0,0,0,0.0503276682248373,3.46944695195361e-18,0,0.0731035946927327,0,0.129016001226624,0,0,0,0,0.122452619784329,0,0,0,0.422380324236856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409893908781478,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0246896203552042,0,0,0,-0.0230269204322459,0,0,0,0,0,0.0753475223225,0,0,0,0,0,-0.0077909301602462,0.70055893913629,0,0,0.0287380803816776,0.0975498301594219,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0667842044663806,0,0,0.049755463326068,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264124199015797,0,0,0.186336322198361,0,0,0,0,0.0846062059119432,0,0,0.0714193601640491,0,0,0,0,0,0,0,0.0161256246985673,0,0,0,0,0,0,-0.034749484700107,0,0,0,0,0,0.0259836722864988,0.0280964948684928
X601628.CH.EQUITY,0,0.162573905683963,0,0,0.0108859113984418,0,0,0,0,0,0,0,0,0,0,0,0,-0.0457941963417997,0,0,0,0,0,0,0,0.152230624371125,0,0,0,0,0,0,0,0,0,0,0.369345304813606,0,0,0,0.215498902015958,0.064680575629408,0,0,0.0187902699470134,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.067608640798276,0,0,0,0.140839299519683,0,0,0,0,0,0,0.20691314607815,0,0,0,0,0,0,0,0.240683188620159,0,0,0,0,0,0,0.0772789768209175,0,0,0.00353185982715332,0.0355564371704984,-0.00736992547950224,0,0,0.0116178123789281,0,0,0.237371431935175,0,0,0,0,0.0335470329167049,0,0,0.0140396023304686,0,0
