,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.0273865510533761,0,0.0366857653747969,0,0,0,0,0,0,0,0.406182115251531,0,0,0,-0.0568782579262493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563564556093615,0,0,0,0.135795923480533,0,0,0,0.151448246331383,0,0,0,0,0.0312118041767404,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0835723486555286,0,0.22045957591211,0,0,0.139779500648637,0,0.154806520270773,0,0,-0.0702343130982529,0.0321576090972147,0.115771372085338,0,0,-0.00548040810828371,0,0,0,-0.0954256073906528,0,0,0,0,0,0,0,0,0,0,0,0.145038940095381,0,0,0,0,0.363783350316856,-0.204906663730652,0,0.30740800751613,0,0.127894922716995,0,0,0,0,0,0
X601939.CH.EQUITY,0.32807095493348,0,0,0.257895421725499,0,0.134009258447132,0,0,0,0,0,-3.46944695195361e-18,0,0,0.122400173132526,0,0,0,0,0,0,0,0.0772777532523561,0,0,-0.0653045636677884,0,0,0,0,0,-0.0251931738453773,0,0,0,0,0,0,-0.100002725883237,0,0.36977496328648,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.26347233207647,0,0.22632155520582,0,0.126794357899676,0.284147762373712,0,0,0,-0.164136907898352,0,0,0,0,0,0,0,0,0,0.089475216569059,0,0,0,-0.172261094268471,0,0,0,-0.0222389999263812,0,0,0,0,0,0,0,0,0,0,0,0,0.15120023276472,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0.0624626433455003,0,0.0356884560066115,0.223027047655166,0,0.108897066863833,0,-0.38883196576141,0,0,0,0,0.0814642183018659,0,0,0,0,0,0,0,0,0.396937023544082,0,0,0,0.46836292827896,0,0,0,-0.000114952168805261,0,0,0.110548002477183,0,0,0,0,0,0,0,0,0,0,-0.0764664215300472,0,0,0,0.156443786408545,-0.0569598181754058,0,0
X601988.CH.EQUITY,0.224972188688217,0.0840956184737774,0.325995218251049,0,0,0,0,0,0.114291262653557,0,-3.46944695195361e-18,0.144843124437908,0,-0.222109081735356,0,0,0,0,-0.109401805158631,0,0,0,0,0.140941437524126,0.0800177920975084,0,0.134653620316566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320609382927802,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0193296408698942,-0.011635625713731,0,0.0960601800222597,0,-0.0252878877341158,0.0284186738119874,0,0.318234599719104,0,0.26541904779289,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,-0.0531368534096797,0.0697929856934888,0,0,0.0757444324620895,0,0,0.091033181666289,0,0,0,0.114090246904571,0,0,0,0,0,0,0.0634405417642839,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0434186969895303,0,0,-0.0134326192628369,0,0.017797422647437,0,0,0,0.336614578724999,0,0.10973704799401,0,0,0,0,0.152235020175149,0,0,0,0,0,0,0,0,0,0,0,0.0204859621299686,0,0,0,0.125224435758,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0301252128727799,0.284499452334842,0,0,0.13766074444499,0.115895983240714,0,0,0,0,0,0,0,0,0,0.021904505858376,0,0,0.127681533002702,0,0,-0.146427164128188,0,0,0,0,0.147486436822941,0,0,0,-0.146995616717197,0,0,0,0,0,0,0,-0.153216102238519,0,0,0,0.0933501729574436,0,0,0,0,0.0662096078325053,0,0,0.127046965305612
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190731980414237,0,-0.138069022540222,-0.0575160880165417,0,0,0,0,0,0,0,0.244403346588785,0,0,0,0,0,0.0943736734884894,0,0,0,-1.73472347597681e-18,0,0.384727836453113,0,0,-0.158373465289387,0,0,0,0,0,0,0,-0.0556301227317908,0,-0.247021090654525,0
