,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,macro_return_add
X601398.CH.EQUITY,0,0,0.115400792586356,0,0,0,0,0,0,-0.00485664115495605,0,0,0,0,0,0,0,0,0,0,-0.169715284660503,0,0.0494004248172985,0.692158705334255,0,-0.247308569149619,0.499515576235155,0,0,-0.152856535412822,0,0,0,0,-0.0376808628193729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012001020822323
X601318.CH.EQUITY,0,0,0,0,0,0.245736452890481,0,0,0,-0.0818405527842859,0,0,0.0999740705748182,-1.0842021724855e-19,0,0,0.0295623296117687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141909263549,0,0,0,0,0.266868877812654,0,0.0629176461220963,0,0,0,0,0,0,0,0,0,0,0,0,0.0295158316971519
X601939.CH.EQUITY,0,0.0233944563414363,0,0.791240986644799,0,0,0,0.00956982455977288,0,0.0499991033492705,0.063662753767238,0,0.0115703167146713,-0.0623859921861936,0,0,0.0766246028025327,0,0,0,0,0.0040382212463151,0,0,0.0337552222998132,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.109038095599318,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.881740958197053,0,-0.0561921083391938,0,0,-0.0823309803962549,0,0.0125684020633962,0,0,0,0,0,0.0145650756844822,0,0,0.0412454316619412,0,0,0,0,0.151973336814176,0.0673055418720037,0,0,0,0.0232775282530619,0,-0.0487065601272482,0.0403821749512304,0,0,0,0,0,0,0,-0.0175359102432766,-0.13412481289992,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.003423276725418,0,0,3.46944695195361e-18,0,0,0,0,0,0.305151357972753,0,0.0624187281573991,0,0,0,0,0,0,0,0.169141905290285,0,0,0,0,-0.0350151724505097,0,0,0,0,0,0,0,0,0,0,0,0,0.319819885071879,0,0,0,0,0,0,0,0.158966892144199,0,0,0,0.286678107371548,0.0821760361426539
X600036.CH.EQUITY,0,0,0.113839310245306,0.264059788372343,0,0,0,0,0.00597565544558438,0,0,0,0,0,0,0,0,0.122732319034875,0,0,0,0,0,0,0.144053125138059,0,0,0,0.0925836856771599,0,0.036406797326852,0,0,0,0,0,0,0.0344185902392161,0,0,0,0,0,0,0,0,0,0,0.0345196413708361,0,0
X601988.CH.EQUITY,0,0,0,0.087148851136691,-0.0455302497165053,0,0,0,-0.0202242675370662,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.0175291221489743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125870735396307,1.00171229754262,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.236753677980946,0,0,0,0.00127260051822905,0,0,0,0,0,0,0,0,0.276652910530617,-0.0110623338600255,0,0,0,0.0728821463073945,0,0,0,0,0.179201041655225,0,0,0,0.0509515487329436,0,0.0881545091671269,0,0,0,0.0331025388405656,0.0508373042182649,0,0,0,0,0,0.162290152672154,0.043480114044458
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0564283214957454,-0.0755920031500113,0,0,0,0,0,0,0.0588109830885228,0.371605785039674,0,0,0,0,0,0,0,-0.165662978859377,0,0,0,0,0,0,0,0.0965724141387469,0.10979021898673,0,0,0,0.097740500842018,-0.156516263299099,0
X388.HK.EQUITY,0,0,0,0,0.196609075749604,0,0,0,0,0,0,0,0,0,0,0,0,-0.00701946396871419,0,0,0.127578768050487,0,0.243868079606713,0,-0.0160705413803557,0.147741856050341,0,0,0,0,0,0,0.156813817754615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.181247774295359,0,0.285294212454012
