,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601166.CH.EQUITY,0,0,0,0,0,0.100738487220103,0.221423853853512,0.0355452608061303,0,0,0,0.0441253993880097,0,0,0,0,0.0400519990904885,0,0,0,0,0.0716559501162798,0,0,0,0,0,0,0,0,0,0.126185498847863,0,0,0.00878466645355684,0,0,0.042818377909982,0.00772708794395882,0,0,0,0,0,0,0,0,-0.0295765785984938,0.401596173814447,0,0
X601328.CH.EQUITY,0.161826936818599,0,0,0.0878471756958729,0,0,0,0,0,0,0.0570417992655379,0,0,0,0,0,0.0972582346645951,0,0,0,0,0.368380805396878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170380140504463,0,0,0,0,0.0824996484029268,0,0,0,0.00679231215032142,0,0
X000002.CH.EQUITY,0,0,0,0.255847287599356,-0.109570421324982,0,0,0,0,0,0,0,0.154119141131935,0.0527210893058824,0,0,0,0,0,0,0.0228224445041912,0,0.104571911823232,0,0,0,-0.00298855528338205,0,-0.110307948026018,0,0,0,0,0,-0.0702042467747257,0.187446044250973,0,0,0,0,0,0,0,0.0828490685901824,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0.382428820591981,0.0502184539838873,0,0,0,0,0,-0.107718357443229,0,0,0,0,0,0,0,0,0,0,0.108071798561129,0,8.67361737988404e-19,0.094518121053314,0,0,0,0.0221512716528352,0,0,-0.178861637542172,0.0266542466868145,0,0,0.343283498369479,0,0,0,0,0,0,0.623122234433794,0,0,0,0,0,0,0,0.100048137986585,0.151323364627339
X000001.CH.EQUITY,0,0,0,0,0,0.367480986287113,0,0,0,0,0,0,0,0.00537276579699959,0,0,0.0306800947373,0,0,0,0,0,0,0,0,0,0,0,0,0.0927407647858196,0,0,0,0,0,0,0,0,0,0.211359220122582,0,0,0,0.0890701070585674,0.0310238031090875,0,0,0,0,0.045409646605277,0
X601319.CH.EQUITY,0,0,0,0.168982539656991,0,0,0,-0.0797088485243044,0,0,0,0,0,0,0,0.244913741612954,0,0,0,0.125115411020853,0,0,-0.0360693135553682,0,0,0,-0.025399131054812,0,0,0,0,0,0.110737861266641,0,0,0,0,0,0,0,0.0431895373496126,0,0,0,0.00656229799519152,0.245929994125269,0,0,0,0,-0.0786504599438734
X601601.CH.EQUITY,0,0,0,0,0.279779696033491,0.022401361547181,0,0,0,0,0,0,0,0,0,0,0,0.022314513432246,0.546215501037736,0,0,0,0,0,0.0383179880729814,0.0413724012698203,0.111033858535568,0,0.16127652206488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28137110933764,0,0,0,-0.166350573895083,0,0,0
X16.HK.EQUITY,0,0,0,0,-0.000821318373345038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0181094635714353,0,0,0,0.43695363352301,0,0.223477690013668,0,0,0,0,0,0,0,0,0,-0.116133604800472,0.0933580470852307,0,0,0.0225471322033662,0.229902402927585,-0.107586856916944,0,0,0.109722317796806,-0.00560128614064052,0,0,0.133981128459257
X600016.CH.EQUITY,0,0,-1.0842021724855e-19,0.0371685440590669,0,0,0,0,0,0,0,0,0,0.0636608620031004,0.107043799843135,0,0,0,0,0,0,0,0,0,0,0,0.127379115700083,0.049978913381565,0,0,0.0225776172141505,0.198676863989546,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785414983928823,0.0562162573990898,0,0,-0.031565280324527,0
X1109.HK.EQUITY,0,0,0,0,0,0.272150197907149,0,0,0.000910954512636872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0640353820899459,0.411557218589043,0,0,0,0,0,0,0,0.046425587613494,0,0,0,0,0,0,0,0,0.232063457923559,0,0,0,0.0416293440455696,0,0,-0.0353148968969326,0
