,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.109693236929209,0,0,0,0,0,0,0,0.273603161504578,0,0,0,0,0,0,0.0681274708105993,0,0.209646258507057,0,0,0,3.46944695195361e-18,0.159750704675085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375955166944162,0,0,0,0,-0.0248020263976889,0,0,0,0.057657157567524
X601318.CH.EQUITY,0,0,0,0,0,0,0.15047530193267,0,0.271692203297333,0,0,0,0,0,0,0,0,0.28040720019488,0.0779167913498683,0,0.0412393674176746,0,0,0,0,0.102570064840212,0,0,0,0,-0.0116230188636493,0,0,0,-1.73472347597681e-18,0.0601104401020364,0,0,0,0,0.0208350714490123,0,0,0,0.00121286381829555,0,0,0.0270234932324027,0.0186189399488289,0
X601939.CH.EQUITY,0,0,0,0.667819926499456,0.0438743775716234,0.0420747320214555,0,0,0,0.244419022765384,0,0,0,0,0,0,0,0,0,0,0.0938191510409279,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,-0.00201392336350521,0,0.0152835611709129,0,0,0,0,0,0,0,0,0,0.0789885678351287
X601288.CH.EQUITY,0,0,0,0,0,0,-0.412177505094408,0,0.0300862871504106,0,0.942799353711892,0,0,0,0,0,0,0,0,-0.14375142843046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151934943938154,0,0,0,0,0,0,0,0,0,0,0.0491686412261566,0,0
X5.HK.EQUITY,0,0.0438892099213246,0,0,0,0.137094288484888,0.349967812122668,0,0,0,0,0,0,0,0.0591958411740932,0,0,0,0,-0.0104993081638394,0,0,0,0,0,0.00101660079530105,0,-0.216578009676516,0,0,0,0,0,0,0,0,0.114922393671884,0.00839184562698737,0,0,0.31854848503683,0,0,0,0,0,-0.119946450186564,0,0.0407583492339651,0
X601988.CH.EQUITY,0,0,0.0841563307377215,0,0.217094001581919,0,0.104459633708815,0,0.0556117420738158,0.0672409837136282,0.167319411178957,0,0,0,0,0.162556596847401,0,0,0,0,-0.0845023542186179,0,0,0,0.066450662363375,0,0,0,0,0,-0.181460565790014,0,0,0,0,0,0,0,0,0.0615253422281483,0,0,0,0,0,0,0,0,-0.0113875560568789,0
X1299.HK.EQUITY,0,0,0,0,0.232724220114205,-0.00258672461691512,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.194690903323828,0,0,0,0,0,0,0,0,0.0347560217713946,0,0.039768930485645,-0.116316271199003,0.0914476159717331,0.0458011253534024,0,0,0,0,0,0.52731656545398,0,0,0,0,0,0,0,0,0,0,0,0,-0.00867586668123366
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.418434495713253,0,0,0,0,0,0,0,0.261130048409579,-0.0417820790091481,0,0,0,0,0,0,0,0,0,0.00732492728999801,0,0,0,0,0,0,0,0,-1.35525271560688e-20,0,0,-0.00467168658140669,0,0.210989706283238,0,0,0,0,-0.108275506469101,0,0
X601628.CH.EQUITY,0,0.0276591786727843,0,0.00384877663323602,-0.0406394784896981,0,0,0,0,0,0,0.0908548309004236,0,0,0,0,0,0.165657582711103,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.407105230026257,0,0,0,0,0,0.208206303639073,0.106726786984575,0,0.0862049846050545,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.133770134440314,0,-0.0838503902303582,0,0,0.464882295380847,0,0,0,0,0,0.444598203095966,0,0,0,0,0,0,0.111791449690264,0,0.14999331092277,0,-0.135478549123119,0,0,0,0,0,0,0,-0.0712185387544395,0,0,0,-0.0565491185776472,-0.200766196331627,0,0,0,0,0,0,-0.0438850991022282,0,0,0,0,0
