,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,macro_return_add
X388.HK.EQUITY,0,0,0.187406962777181,0.0493788963666807,0,0,0,0,0,-0.0366843012235237,0,0,0,0,0,0,3.46944695195361e-18,0,0.478418317476431,0,3.46944695195361e-18,0,0,0.0351281506947381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00921741858845027,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.290047676884654,0.000168973172783226,0,0.0559705047327641,0,0,0,0,0,0,0.0508179435022213,0,0,0,0,0.0153662639248117,0,0,0,0,0,0.102769229604692,-0.00804726599133767,0,0,0,0,0,0,0.282900625936503,0.129350375321685,0,0.0528159857975917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.059706029500175,0,0,0,0.167502688301966,0,0,0,0.0163593141396744,0,0,0,0.033576081414118,0,0,0,0,0,0,0.019622105146123,0.213703195216727,0,0,0,0,0,0,0,0.312037412185323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144698183686771,0,0
X600000.CH.EQUITY,0,0,0.0720162504271369,0.156997322074529,0,0,0,0,0.0164652796387071,0,0,0,0.221220190867995,0,0,0,0,0,0,0,0.0123469134119798,0.0527776574439063,0,0,0,0.193865869865527,0,0,0.090763645914991,0,0,-0.0598008712697643,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809630352329419,0,0,0.0212522470685066
X000002.CH.EQUITY,0,0,0.0918441732009967,0,0,0,0,0,0,0,0.0150219879093581,0,0,0,0,0,0,0,0,0,0.115805653209105,6.93889390390723e-18,0,0,-0.0298030198786669,0,0,0,0,0,0.333481576692323,0.258176388169041,0.228089204447601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0187318113554623,0,0,0,0,0,0,0.432581691143342,0,0,0.105644355932189,0,0,0.0600621130787243,0,0,0,0,0,0,0,0.144932168007623,0,0.0730455726558631,0.0243900448835713,0,0,0,0,0,0.0359978593536321,0,0,0.0511874783944552,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0.252372472663246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181783069031713,0,0.0175628654636393,0,0,0,0,0,0,0,0,0.0124721580118818,0,0,0,0.396974276842134,0,0,0,0.157932737551763,-0.0950359329361055,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,-0.0213332959518385,-0.0886485824108958,0.116526888840778,-0.0624327509855001,0,0,0,0,0,0,0.208693160070023,0,0,0,0,0,-0.0483918631191998,-0.0268029741288512,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.208388939151687,0,0,0.528789003433673,0,0.0918034787161535,-0.0990453276191686,0,0,0,0.0383896337308742,-0.069689890624748,-0.0132184328071154,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0.0701273103688883,0,0,0,0,0,0,0.0729043361939546,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.0552677233007921,0.30651290667958,-1.38777878078145e-17,0,0,0,0,0,0,0,0.0657250175521112,0,0.138931302262352,0,0,0,0,0,0,0,0,0,0.214235012170625,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,-1.73472347597681e-18,0,0,0.204171623797807,0,0,0.0777281721336383,0,0,0.321927522999847,0,0,0,0,0,0,0,0,0
