,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.105623088231991,0.479481027596689,0,0,0,0,0,0,0,0.135518202188447,0,0.170741845817804,0,-0.0114558533358224,0,0.0658834780792656,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332252002632313,0,0,0,0,0,-0.015435973604735,0.0350483279670172
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.074415540554349,0.257721103501685,0,0,0,0,0,0,0.0360219831644353,0.342690788350472,0,0.090030129452451,0.0765375551133696,0,0,0,0,0.0324910668417891,0.0253653637048189,0,0,0,-0.0290891237566285,0,0,0,0,0,0,0,0,0.0789725894042679,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0
X601939.CH.EQUITY,0.0766170101973906,0,0,0.499195095360619,0,0.0851692544959798,0,0,0,0.0776393639359851,0.0839365439021452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0939059648802642,0,-0.0106351802106301,0,0,0.0131643275239749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292082021790395,0,0,0.0480836070345258
X601288.CH.EQUITY,0,0,0.178235907376687,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225871541586387,0,0,0.234957364059358,0,-0.00723669742960233,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.206897355881083,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.24102994529444,0,0.188164035591783,0,0,0,0.315632575409218,0,0,0,0,0,0,0.183924710238165,-0.192605821829931,0,0,0,0,0,0.0816885037956021,0,0,-0.059136914531975,0,0,0,0,0.190474117452729,0,0,0,0,0,0,0,0,0,0,0,0,0.184050263269095,-0.0241290512232783,0,0
X601988.CH.EQUITY,0,0,1.38777878078145e-17,0,0.204710981728878,0,0,0.0803816896504173,0.191915448708095,0.198186027737759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539392204443174,0,0,0,0,0,0,0,0,0,0,0.0211995114565796,0,0,0,0,0,0.19807985431203,0,0,0,0,-0.0474111445989208,0,0,0.0865640483972156
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0224678252162394,0,0,0,0,0.0373488725546522,-0.0283330359254907,0,0,0,0,0,0.789408134637027,0,0,0,0,0,0.154846826310102,0,0,0,0,0,0,0,0,0,0,0,0.0911074344901935,0.0855472765821953,-0.0732447221703685,0,0.0212510536822018,0,0,0.0460682301693322
X1299.HK.EQUITY,0,0,0,0,0.289207920619381,0,0,0,0,0,0,0,0.0406168855593841,0,0,0,0,0.0844614694216285,0,0,0,0,0,0,0,0,0.0650544817921593,0,0.1520397512282,0,0.0106608646230767,0.270496395615803,0.0387405801769513,0.0764373679359256,0,0,0,0,0,0,0,0,-0.0936615229357549,-0.0755614997797201,0,0.0493377665008366,0,0,0,0
X601628.CH.EQUITY,0,0.132005871297065,0,0.0610437574303449,0,0,0,0,0,0,0,0,0,0,0,0,0.114798958490012,0,0,0,0,0,0,0,0.140403931436201,0,0,0,0,0,0,0,0,0,0,0,0.332008999052387,0.046523996556908,0,0,0.0884694027455358,0,0.0550123745498644,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.243226221533812,0,0,0,0,0,0.0356802788710853,0,0,0,0,0.342215923509621,0,0,0,0,0,0,0,0,0,0,0.33809636724447,0,0,0,0,0,0,0,-0.00713288715890955,0,0.0259775365898456,0,-0.0117133054258619,0,0,0,0,0,3.46944695195361e-18,-0.00207163895778669,0.103170154993338,0,0,0,0.112244757975541,0,0,0
