,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.12985711888995,0,0.0559282594943998,0,0,0,0,0,0,0,0.36426639178821,0,0,0,-0.034316778544996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465652684179951,0,0,0,0,0,0,0.249670780795113,0,0,0,0,0,0.0725921940671105,0,0,0,0.0128319403152025,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.112384657048505,0,0,0,0.00140128761979491,-0.176399245516877,0,0.0931261730853916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230403605174746,0,0,0,0,0,0,-0.254203247682005,0,0.448081286209129,0.0493989003328802,0.130399206241509,0,0,0,0,0.187094491479391,0,0
X601939.CH.EQUITY,0.221139595352214,0,0,0.255972262645724,0,0.148197967294294,0,-0.0489873668836854,-0.0289552362773713,0,0,0,0,0,0.0320291004838325,0,0,0,0,0,-0.00975794125378418,0.0635243113576707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487388042872498,-0.0956217623138183,0,0,0.0178333741920847,0,-0.0385457110798388,0,0,0.034496431382483,0,0
X601288.CH.EQUITY,0.413231765175473,0,0.194856424948636,0,0,0.154088359643816,0,0,0.0263640328531713,0,0,0,0,0.0413699945085183,0,-0.118187534166655,0.0482509705305303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0202991836477739,0,0,0.0386660638018118,0,0,0,0.15628981756797,0,0,0,0,0,0,0,0,0,0.178649890252785,0
X5.HK.EQUITY,0,-0.0538808191689597,1.73472347597681e-18,0.222497760460599,0,0.0452333037873633,0,-0.214148712096441,0,0,0,0.0675834880441421,0.0413157644325332,0,0,0,0,0,0,0.679324005792311,0,0,0,0,0.169362335600443,0,0,-0.0604185488859109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217530052730082,0,0,-0.0832837437246555,0
X601988.CH.EQUITY,0.140631372344621,0,0.125672708191485,0.149428550897733,0,0,0,0,0.100394598467089,0,0.102026870717945,0,0,-0.241959380036272,0,0,0,0,0,0,0,0,0.0697198561815453,0.25065402255193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113205815128732,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.00305291237064768,0,0,0.103940550367484,0,0,0,0,0.0504487507071959,0,0.29388402652591,0.23698915885551,0,0,0,0.109457160713387,0,0,0,0,0,0,0.0122590443046748,0,0,0,0.077674955197236,0,0,0,0,0,0,0,0,0,0,0,0.0273490987641831,0,0,0,0,0.0938860989552044,0,0,-0.034367032917719
X1299.HK.EQUITY,0,0,0,0,0,-0.00308170311603304,0.0103232373286621,0,0,0,0.209827314011858,0,0,0,-0.14152468155935,0,0,0,0.3355973617994,0.23901193565671,0,0,0.0201873464068144,0,0,0,0,0.153073048581896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0607777117357471,0,0.121164617422527,0,0,0,0
X601628.CH.EQUITY,0.285258695925449,0.281034973566411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00823424350373413,0,0,0,0,0,0,0,0,0,0.0477032966930778,3.73072197921483e-05,0,0,0,0,0,0,0.0999975785694635,-0.0408080523755885,0,0,0,0,0,0,0,0,0,0.0514771094531481,0,-0.187626249057278,0,0.222198226269687
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
