,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.134511988085756,0,0,0,0,0,0,-0.00463460487415271,0,0,0,0,0,0,0,0,0,0,-0.0301795635734638,0.0176139939420431,0,0.365329537186303,-0.175437270545748,0.4539374552019,0.248700839236756,0,0,-0.10183746669406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0251695647912734
X601318.CH.EQUITY,0,0,0,0,0,0.226010393337705,0,0,0,-0.0864519170652077,0,0,0,0.000632382456636368,0,0,0,0.0603238623420938,0,0,0,0,0,0,0,0,0,0,0,0.0747363172204083,0.19723798335342,0,0,0.0342436289711992,0,0.228614036631124,0,0.110040270816429,0,0,0,0,0,0,0,0,0,0,0,0,0.0297684898116922
X601939.CH.EQUITY,0,0.0463533406247675,0,0.799018015042203,0,0,0.0142417779869764,0,0,0.0437358169379867,0,0.0227677725596012,-0.0292725005986186,0,0,0,0,0.0908996521957741,0,0,0,0,0.00162338306391703,0,0,0,0,0.0220318781185356,0,0,0.0309508196326482,0,0,0,0,0,0,0.0766145728681572,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.965316329865372,0,-0.101438935329873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00503273111262749,-0.0370485884174621,0,0,0.0305014625102663,0,0,0.096870570737518,0,0,0,0,0,0,0,0.0490473317409834,0,0,0,-0.00778072616452291,0,-0.0574495394063519,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.00553043628964076,0,0,0,0,0,0,0,0,0.284220002501361,0.123871936005924,0,0,0,0,0,0,0,0,0.445673315875242,0,0,0,0,0,0,0,-0.0312656296885019,0,0,0,0,0,0,0,0,0,0.0665621752095186,0,0,0,0,0,0,0,0.0137826551755707,0,0.278299937865598,0,0,0.0195834012082781
X600036.CH.EQUITY,0,0,0,0.35324359007776,0,0,0,0,0.0519619858988724,0,0,0,0,0,0,0,0.137578894257436,0.0527447317086011,0,0,0,0,0,0,0,0,0.129377505151067,0.0921392163133705,0,0,0,0,0,0.0444066918226807,0,0,0,0.0160590618763241,0,0,0,0,0,0.00650036861620383,0.0115635446989797,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0725618740468303,-0.0529123337829001,0,0,0.00679982850568282,0,0,-0.0515544754731005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00685814817658555,0,0,0,0,0,0,0,0,0.0121300520704514,0,0,-0.119754516974442,0,0.974749518442515,0.108126484226496,0
X1299.HK.EQUITY,0,0,0,0,0.119142156805823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294942556836248,0,0,0,0,0,0,0,0,0,0,0.104407819990287,0.324581481924132,0,0,0,0,0,0,0,0,0.0282518186016489,0.0559587410909186,0,0,0,0.053996601996381,0,0,0.138016745234348
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0720543905408814,0,0,0,0,0,0,0,0,0.167886142079148,0.525685158205935,-0.0062225582759347,0,0,0,0,0,-0.00522842567158774,0,-0.237268425692808,0.122230191564181,0,0,0,0,0,0.154234409608217,0,0,-0.186993486863359,0,0,0
X388.HK.EQUITY,0,0,0,0,0.278236327527597,0,0,0.101169940816411,0,0,0,0,0,0,0.0633617751031996,0,0,-0.104019344357884,0,0,0.162145883400344,0.33115778525656,0,0,0.04313845127412,0,0,0,-0.0420938934995679,0,0,0,0,0.0296535199985808,0,0,0,0,0,0,0,0,0,-0.157322114970218,0,0,0,0,0,0,0.246969212160835
