,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X000001.CH.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X688.HK.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.207621525417572,0,0.0339651495928804,0,0,0.389563684172841,0,0,0,0,0,0,0.0101281794121138,0,0,0,0,0,0,0,0,0,0,0.251637382253887,0,0.0409077756804535,0,0.00256661833382312,0,0,0,0.0869953851915129,0,0,0,0.0533037010692147,0,0,0,0,0,0,0,0,0,0,-0.0903855201432888,0,0
X601318.CH.EQUITY,0,0,0.0956434611517343,0,0,0,0,0,0.19014469342661,0,0,0.127071112677694,0,0.140783476857803,0.112164584885645,0.0153969792864256,0,0,0,0.188472785383375,0,0.0766994629963455,0,0,0,0,0,0,0.189556062606398,0,0,0,0,0,0.0181861797958519,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0676641363216559,0,-0.163730612380678,0.03264553467889,0,0,0
X601939.CH.EQUITY,0.277173644036563,0.0462261917307653,0,0,0,0,0.0352371683252694,0.319585626749352,0.292781626847902,0,0,0,0,0,0,0.19202175981423,0,0,0.0463807353597751,0,0,0,0,0,0,0,0.124247633879561,0,0.150770236300023,-0.0176730394162094,0,0,0,0.077211183588021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.175024026799607,0,0,0.0590446825111244,-0.10662154847936,0,0.134984493867841,-0.0824785773418244,0,0,0.123599826626154,0,0,0,0.174258039937503,0,0,0,0,0,0,0.398718709204455,0,0.0398347567259925,0,0,0,0,0,0,0,0,0,0,0,-0.0622036839875605,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.0342744908346296,0,0,0,0,0.484122330345766,0,-0.0448108368825071,0,0,0.0371142092892802,0,0,0,0,0,0,0.109843972232585,0,0,0,0.0870582836159583,0,0.0781527590160391,0,0,0.0834841694711684,0,0,0,0,0.0256531599826176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392552196628089,0.0193841660200625,0.0838757445363396,0
X1299.HK.EQUITY,0,0,-0.0583620725996103,0,0,0,0,0,0,0.155757110406365,0,-0.0737725230530802,-0.0926763977275316,0,0,0,0,0,0,0,0,0,0,0.156237715620186,0,0,0,0,0,0,0,0,0,0.121746809948258,0,0,-1.73472347597681e-18,0.0515955247392985,0,0.223542921042568,0,0,0,0.244914112314348,0,0.0868452599952255,0,0,0.178417965853547,0,0
X601628.CH.EQUITY,0.0640883735883127,0,0,0,0,0,0,0,0,0,0,-0.0249998168940409,0,0,0,-0.0910572404836766,0.164852380415424,0,0,0,-0.00380440181658583,0,-0.12729360635426,0,0,0,0,0,0,0,0,0,0,0,0,-0.0216134818406199,0.469265313673029,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0
X601988.CH.EQUITY,0.134174512577031,0,0,0,0.38021629318579,0,0,0,0,0,0,0,0,0,0,0,0,0.154434932811202,0.389272917751601,0,0,0,0,0,0,0,0,0,0,0,-0.00268336178598705,0,0,-0.0658483910211207,0,0,0,0,0,0,0,0,0,0,0.0138292534036124,0,-0.0438529978267204,0,0,0,0
X5.HK.EQUITY,0,0.04190887969547,0.0766152658044105,0,0,0,0,0,0,0,0.14494800410077,0,0,0,0,0,0,0,0,0,0,0,0,0.0970550740863235,0.0569655371976395,0,0,0,0,0,0,0,0,0.131937485171601,0,0,0,0.0503284759304662,0,0,0.374272541945305,0,0,0.0178239289891727,0,0,0,0,0,0,-0.0203350388654722
X388.HK.EQUITY,0,0,0,-0.280287778824574,0,0.302764344035031,-0.0852592954987942,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,-0.0883110930536732,0.0448503539587156,0,0,0,0,0,0,0,0,0,0,0,-0.23701782514561,0,0,0.0534622562031916,0,0.333125935663088,0,0,0,0,0,0,0.0879653407966836,0,0,0.1817467813177,0,-0.172428216904583
