,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.00106854205056384,0,0,0,0,0,-0.0404173095756888,0,0,0,0,0,0,0,0,0,0,0,0,0.515393669635352,-0.114113448152485,0.660615761733875,0.00755503166160078,0,0,0,-0.196295661103989,0,0,0,0.24302513876862,-0.309772572934844,0,0,0,0,0,-0.0546980453281486,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0,0.211227535813535,0,0,0,0,0,0,0.110905852335683,0,0,0,0,0,0.173334105383844,0,0,0,0,0,0,0,0,0.141975060632492,0,0.0076272397331673,0,0,0,0,0,0,8.67361737988404e-19,0.172572966707097,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.813146844958164,0.011611267509454,0.00228394098717043,0,0,0,0,0,0,0.00860115322684941,0,0,0,0,0,0.052092409827632,0,0,0.00254833657131064,0,0,0,0,0,2.16840434497101e-19,0,0,0,0.0884790157713988,0,0.0438756637769018,0,0,0,0,0,0,0,0.0337697494368556,0,0,0,0,4.33680868994202e-19,0,0.0386658997814244,0,0.0207364424918445
X601288.CH.EQUITY,0,0,0.831409326503577,0,-0.107689369019614,0.0599546435519108,0,0,0,0,0,0,0,0,0.0262225192394338,0.0745682269833088,0.020454214513901,0.141930984469139,0,0,0,0,0,0,0,-0.0506280971251479,0,0,0,0.0151722794247122,0,0,0,0,-0.0159145815094467,0,0.00877696771417251,0,0,0,-0.18427267646132,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0.00174852286534811,0,-0.0415966517851127,0,0,0.81323422097867,0,0,0,0,0,0,0,0,0,0.136596594334877,-0.0331560742626817,0,0,0,0,0,0,-0.0425814131625638,0,0,0,0.0171270877316578,-0.0567124605076468,0,0,0,0,0,-0.0336655902536655,0.117948808889459,0,0,0,0.0857857876644411,0,0,0.0403407459544207,0,0.138744656381991
X601988.CH.EQUITY,0,0,0,0,-0.0142275331827254,0,0,0,0,0,0,0,0.893411701259149,0,0,0,0,-0.33721032726026,0,0,0,0,0,0,0.350441220147073,0,0,0,0,0,0,0,0,0,-0.0456114828594453,0,-0.093581251359061,0,0,0,0.0316469308032377,-0.0310620287265587,0,0.127075970225215,0,0,0,0,0,0,0.0999950612495956
X600036.CH.EQUITY,0,0,0.352504487004855,0,0,0,0,0,0.0104210645901885,4.33680868994202e-19,0,0,0,0,0,0,0.165737917115747,0,0,0.0143211571880363,0,0,0,0,0,0,0,0.143598142722838,0.00551611762327721,0,0,0,0,0.276253460043938,0,0,0,0,0,0,0,-0.0174039892202039,0,0,0.0765189866177668,0.0539528777528506,0,0,0,0,0
X1299.HK.EQUITY,0,0.151550733310979,0,0,0,0,0,0,0,0.124589763009379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179255056308841,0,0,0.196790036134698,0.221253046021917,0.202505010945831,0.018815866219691,0,0,0,0,0.149159059128631,0,0,0,0,0,0,0.212163707906042,0.124095972164733,-0.215978270290095,0.148350777343436,0,0,-1.73472347597681e-18,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247571001379273,0,0,-0.278773013717824,0,0,0,0.0790275955882314,0,0,0,0.407442890179742,0.226173004485513,0,0,0,0,0,0,0,0,0.0850235182941082,-0.139508291725163,0,0,0,-0.147045696235694,0,0.0740958274881193,0.00422963735222239,0,0,0,0,0,-0.121708071626855
X388.HK.EQUITY,0,0,0,0,0.21595681600264,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.214918983733906,0,0,0,0,0.146526760196848,0,0.417446713518191,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0.038404964113756,0,-0.258217287721544,0,0.188783753188587,0,0,0,0,0.0366332227848988
X601658.CH.Equity,0,0,0,0.226326056425648,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26658920561771,0.0229370483251935,0.0262937660801208,-0.1198382748957,0,0,0,0,-0.11481573094951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367596666133453,0,0,0,0,0,0,0.0421787778134115,0
X600030.CH.EQUITY,0,0,0,0,0.156876847348529,0,0,0,0,0.0486557573596385,0,0,0,0.152949280997754,0.00321986754993501,0,0,0,0,0,0,0,0,0.0155550642990128,0,0,0,0,0.0123567664785791,0,0,0,0.413824047026193,0,-0.0519851474682399,0,0,0,0,0,-0.0283509926543929,0.0205305459731621,0,0,0.152278905617699,-0.0121154711284704,0.0466385139817452,0,0,0.114117888478853,0.0218635308556388
X601166.CH.EQUITY,0,0,0.0192039509342927,0,0,0.563854957139655,0,0,0,0.0170465967777169,0.0721193532361294,0,0,0,0,0.0171224308319691,0.086631193721767,0,0.0676204292647476,0,0,0.0516973543133425,0,0,0.0067471851713949,0.0868009167115721,0,0,0,0,0,0,0,0,0.000697032879723682,0,0,0,0,0,0,-0.0285942681057536,0,0,0,0,0,0,0,0.0430084036567561,0
X601066.CH.EQUITY,0,0.0227417448274663,0,0,0,0,0,0,0,-0.00556971661885553,0,0.441120019596015,0,0,0,0,0,0,0,0,0.0164602127845566,0,0,0.323760770539081,0,0,0,0,0,0,0,0,0.0566844276986642,0,0.109731581730565,0,0,0,0,0.0818429924835748,0,0.0279211698189558,0,0.0262120232965812,0,0,0.0172666923655859,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.072343035822292,0,0.0218100015023935,0.0324764805165877,0,0,0,0,0,0,0,0,0,0.0480290197807946,0,0,0,0,0.410141303470386,0,0,0,0,0,0,0,0.009724506701365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252886075772132,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.128108577027441,0.0754236572085322,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0.123495579716944,0,0,0,0,0.0382218315419943,0.0377842110588429,0,0,-0.0292006421393129,0,0,0.0438594424754142,0.0519580546191117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175052155159638,0,0,-1.73472347597681e-18,-0.0118664810595872
