,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.141415033357891,0,0.126685015574322,0,0,0.026247684540101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486962709159593,0,0.418348091446725,0,0.215955093434593,0,0,0,-0.111984122303562,0,0,0,0,-0.186379962107249,0,0,-0.0357468060783734,-0.0852803477697644,0,-0.687485058646992,-0.0580416588172882,0,0.0917891403853091,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.360466356239551,0,0,0,0,0.0293958837176202,0,0,0,0,0.24514790601013,-0.132127457471801,0,-0.0151398824001898,0,0.0179756722919856,0,0,0,0,0,0,0.0617552485341992,0,0,-0.183521950435092,0,0,0,0,0,0,0,0,0,0,0,0.0757737075442493,0,0,0,0,0,0.308851306678533,0,0.138768679501867,0,0.123476724059623
X601318.CH.EQUITY,0,0,0,0,0.119152426682393,0.248616498450174,0,0,0,0,0,0,0,0,0,0,0,0.121810150922925,0,0,0,0.126345111530014,0,0,0,0,0.00460372462340809,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.297193442343072,0,0,0.121650315249654,0,0,0
X601288.CH.EQUITY,0,0.461323075824936,0,0,0.0600893358310397,0,0,0,0,0,0,0.124644254624977,0.26848253416319,-6.93889390390723e-18,0,0,0,0,0.036512290812246,0,0.091082136584192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147886793745689,0,0,0,0,0,0,0,-0.0780688332158041,0,0,-1.35525271560688e-20,-0.132167191032318,-0.113372927163611,0,0
X601988.CH.EQUITY,0,0,0,0.490588848002449,0,0,0,0,0,0.172922125978444,0,0,0,0,0,0.289621400569334,0,0,0.215388055649125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.496824023052868,0,0,0,0,0.166372903158477,0,0,0,0,0,0,0.332117570787942
X600036.CH.EQUITY,0,0.0415622706516635,0,0.0706271779756498,0,0,0.00698570738005788,0.0504842923600576,0,0,0,0,0,0,0,0,0,0,0.0204644540467712,0,0,0.175401604137782,0.0636064470712294,0,0,0,0,0,0,0,0,0,0.060057216131765,0,0,0,0,0,0,0,0,0.138189044973014,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0764890853821465,0,0,0.0566991333556285,0,0,0.21973016888772,0.0347710089523903,0,0,0,0.0473528023974906,0,0,0,0,0,0,0.0692982810237311,0,0,0,0,0.0833512332411045,0,0,0,0,0,0.144269236592331,0.242532656263061,0,0,0,0,0,0,0.134797607292808,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.35023074437622,0.0566638936311347,0,0,0,-0.114268504032648,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761603524731046,-0.0259530999571172,0,0,0,0,0,0,0,0,0.0879008844819577,0,0,0,0,0,0.150283928108693,0.0794502213483799,0,0,0.0619063863788014,0,0,0,0,0,0.0193120278449883
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111061984397224,-0.152675140407452,0,0,0,0,-0.380341223136981,0,0.749515273685209,0.0557582618618991,0.519690807080837,0,0,0,0.0305549216917534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146565984571187,0.100772467427496,0,0
X601658.CH.Equity,0,0.0971449177068841,0,0.144221988147374,0,0,0,0,0,0,-0.0497294859537902,0,0,0,0,0,0,-0.124093754519343,0.129558903247599,0.288516534779999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085227368379726,0.289020069815525,0,-0.0224875236106146,0,-0.0230577243108735,0,0,0,0.0419197323128086,0,0,0
