,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.0251296634979518,0,0.113421962602396,0.143274277925469,0,0.327382082380959,0,-3.46944695195361e-18,0,0,0,0.128779491788387,0,0,0,0,0.0658848146497797,0,-0.00738716315073654,0,0,0,0,0,0,0,0.174567897258915,0,0,0,0,0,0,0,0.00189224173937635,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.0949326539449791,0,0,0,0,0.0792399141315537,0,0,0.206071136495206,0,0,0,0,0,0,0,0.114699108943262,0.124797345895247,0,0.0900361474358361,0,0,0,0,0,0,0,0,0,0.0961861122780431,-0.0858051939693741,0,0,0.0708030899510281,0,0,0.154488489496122,0,0.0667792666810694,0,0,0,0,0,0,0,0,0,0,0,-0.0183183636145163
X601939.CH.EQUITY,0.0775795197599198,0,0,0.0961200967064468,0,0,0,0,0,0,0.304257515482968,2.77555756156289e-17,0,0,0,0,0,0,0,0,0.0116020916756054,0,0,0,0,0,-0.111087872013465,-0.0218819349915496,0,0,0,0,0,0,0,0,0.208491675527266,0.0362981290144502,0,0,0.100478294058607,0,0,0.256424765428314,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.34381336422135,0,0.0266021360478728,0,0,0.48962740222178,0,0,0,0,0.00720345549457817,0,0,0,0.0353846697908416,0,0,0.00914641419989641,-0.0256220300396083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100449972741163,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.551950179052995,0,0.46710115005676,0,0,0,0,0,1.73472347597681e-18,0.428394039228904,0,0,0,0,0,-0.44143066860667,0,0,0,0.228516817354337,0,0,0,0,0,0,0.124852709433053,0.0117028313193669,-0.041733808306545,0,2.77555756156289e-17,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0565099592487839,0,0,0,0,0.280604922069751,0.0733999966358818,0,0,0,0,0,0.372190689925657,0,0,0,0,6.93889390390723e-18,0,0,0.057570309219295,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060002373767092,0,0,0,0.010757499646765,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.158439509901476,0,0,0.256754621159119,0,0,0,0,0,0.138334776525814,0,0,0.0182991700414004,0,0,0,0,0,0,0.0176988177741805,0,6.93889390390723e-18,0.138416277639904,0,0.149510717197881,0.137918650396408,0,0,0,0,0.0443159433333492,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-1.38777878078145e-17,0,0,0,0.103677671554676,0,0,0,0,0,0,1.38777878078145e-17,0.406765447884431,0,0,0.18630090202253,0,0,0,0.167872278166078,0,0,0,0,-6.93889390390723e-18,0,0.293908491100646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.371672797882212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0458796123854834,0,0,0,0.0932022789100459,0,0,0,0.214522104692266,-0.0478414323837469,0,0,0.0147908181943254,0,0.260497686511826,0,0,0,0,0.116952525415018,0,-0.132597105045844,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0.0940498463065894,-0.170546935994406,0,0,0,0,0,0.210848281296092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969900997266571,0,-0.13999175333338,0,0,0,0,0,0,0,0.789597990597094,0,0,0,0,0,0.280165270735496,0,-0.292666026741939,0,0
