,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.114102899485332,0,0,0,0,0,-0.00170844098972323,0,0,0,0,0,0,0,0,0,0,0,0.134506191984407,0,0.376273833624969,-0.121030342822935,0,0.06688629025118,0,0,0,0,0.232327623241295,0,0,0,0,0,0,-0.231394028756756,-0.0317553540060598,0,0,0,0,0,0,0,0,-0.132397757343867,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0907762432031885,0,0,0,0,0,0,0,0.0510446863725939,0,0,0,0,0.267752359384146,0,0,0,0,0,0,0,0,0.00977634554040037,0.164648848751776,0,0,0,0,0,0,0.257974931897473,0,0,0,0,0,0,0,0,0.0706890178813534,0,0,0,0,0.110232781386063
X601939.CH.EQUITY,0,0,0,0.802617541353323,0,0.0376066392722696,0.0468578014661671,0,0,0,0,0,0.0347174268618136,0,0,0,0,0,0,0,0,0,0.0141989387692675,0,0,0,0,0,0.00569730129019947,0,0,0,0.0725574855372546,0,0,0,0,0,0,0,0,0,-0.00174385739415691,0,0,0,0,0,0.0111063230662454,0.04595882371942,0.0103488570765631
X601288.CH.EQUITY,0,0,0.899470307772797,0,0,-0.0640974824626505,0,0,0,0,0,0,0,0,0,0.0282046669182797,0,0.14477678585933,0,0,0,0,0,0,0,0,-0.0921383097378236,0.0120267202233638,0,0,0.013319288354401,0,0,0,0,0,0,0,0,-0.126924104332761,0,0,0,0,0,0,0,0,-0.0240366196569282,-4.33680868994202e-19,0
X601988.CH.EQUITY,0,0,0,0,0,-0.0580092307479367,0,0,0,0,0,0,1.08566776630189,0,0,0,0,0,0,-0.260846283760659,-0.221606562344346,0,0,0.124102994589047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0847962345900087
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0642648509198986,0,0,0.762032132653363,0,0,0.0720810490147719,0,0,0,0,0,0,0,0.125696927036055,0,0,0,0,0,0,0,-0.0864159005368941,0.0644490293752356,0,0,0,0,0,0,-0.0122744442919864,-0.0285570742212981,0,0,0,0.0918687764006762,0,0,0.0230315960958792,0,0,0.0198822834090344,0.172283913694549
X600036.CH.EQUITY,0,0,0.340643525772132,0,0,-2.71050543121376e-20,0,0,0.0262933932930996,0,0,0,0,0,0,0.168591015546204,0,0,0,0.00106930097566326,0,0,0,0,0,0,0,0.13429990445159,-8.67361737988404e-19,0,0,0.289179293934469,0,0,0,0,0,0,0,0,0,0,0,0,0.0661721995963605,0,0.0329419560646211,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0828969704368363,0,0.120438709108634,0,0,0,0,0,0,0,0,0.153765030806963,0.0619560918866622,0,-0.24153540763596,0,0,0,0,0.0778263115764846,0,0.322488461565738,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0797238484994175,0.0798997076610141,0,0,0,0.473141630598806,0,0,0,0.0961614576172174
X5.HK.EQUITY,0,0,0,0,0,-0.00142948380302318,0,0,0,0,0,0,0,0,0,0,0.308268521978543,0,0,0,0,0.0148670559502792,0,-0.123224673187061,0,0.383996619971864,0,0.183941163173206,0.0858817170899577,0.081046010412353,0,0,0,0,0,0,0,-0.0912414276547261,0,0,0,0,0.0380106361806315,-0.139375582994622,0.0734689384357192,0,0,0,0,0,-0.245180111744596
X388.HK.EQUITY,0,0,0,0,0,0.422240673168416,0,0,0,0,0,0,0,0,0,0,0.0305231830088246,0,-0.415867978165953,0,0,0.130195131727403,0,0,0,0,0.270137829278704,0,0,0,0,0,0,0,0,0.259014317849445,0,0,-0.0531330933764395,0,0,0,-0.263947833886641,0,0,0,0,0,0,0,3.46944695195361e-18
X601658.CH.Equity,0,0,0,0.221459059177414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242976957537725,0.104111428842262,0,-0.211748308394715,0,0,0,0,0,-0.107524964571007,0,0,0,0.0480664395871284,0,0,0,0,0,0,0,0,0,0,0.431132950614997,0,0,0,0,-0.0116335452308214,0,0,0,0
