,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.31888020504377,0.238976306638194,0,0.0948028672019969,0,-0.109596778344736,0,0,0.062384001774254,0,0,0,0,0,0,0.0171547054471299,0,0,0,0,0,0,0,0.109569765415669,0,0,-0.0241300720313305,0,0.0592032878472837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0403237193988869,0,-0.101173225745665,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.203634949695051,0,0,0.27990006874305,-0.00209847173181348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605669943170403,0,0,-0.00967293323620455,0,0,0,0,-0.263447849187536,0.275683191267303,0,0.203774678108658,0,0,0,0,0,0.0635277503242438,0,0
X601939.CH.EQUITY,0.426486768088285,0,0,0.0925847132568084,0.10580048890772,0,0,0,0,0,0,0,0.137175091878057,6.93889390390723e-18,0,0,0,0,0,0.123972141483891,0.0237708957176811,0,0.0242318416295449,0,0,0,0,0,0,0,0,0,0,0.00838225707976185,0,0,0,0,0.316471290251489,0,0,0,0,0,0,-0.16730503194857,0,0,0,0
X601288.CH.EQUITY,0.385510188578114,0.0376528724943295,0.113555068632648,0,0.0427879896930765,0,0,0,0,0,0,0,0,0,0,0,0.0300281113119443,0,0,0.0158303826211104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0953017127371761,0,-0.053171730066814,0,0.113299688091438,0.0877753187911413,0,0,0.228986445985701,0,0,0,0,0,0,0.0653252570769008,-0.03614841984039
X5.HK.EQUITY,0,-0.194517109506038,0,0.235862184157581,0,0,0,0,-0.199031622004406,0,0.126544277783204,0,0,0,0,0.193996111672126,0,0.264065808723973,0,0,0,0,0.34719377341112,-0.0190380450748804,0,0,0,0,0,0,0,0,0,0,0,-0.155031576250847,0.149441809560385,0,0,0,0.163856407688044,0,0.0713529139632875,0,0,0,0,0,-0.213391591940009,0
X601988.CH.EQUITY,0,0,0.160519164176945,0.281270103771103,0,0,0,0,0,0.195032144270302,0.223061676513493,0,0,0,0,-0.0847821606701676,0,0,0,0,0,0.101875715002788,0,0,0,-0.0612221021730019,0,0,0,0,0,0,-0.00769754535470091,0,0,0,0,0,0,0,0.103025059322131,0,0,0,0.0336779465887801,0,0.0267832293896025,0,0,0.187536391224114
X600036.CH.EQUITY,-0.0212947808429064,0.306167460813263,0,0,0,0,0,-0.015006552679198,0,0,0,0,0.12819491728594,0,-1.73472347597681e-18,0,0,0,0.0083494441361241,0.0166128171246788,0,0,0.267517935674184,0,0,0,0.0892677774141932,-0.0466642989401776,0,0,0.315209719916964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607456454657688,1.73472347597681e-18,0,0
X601628.CH.EQUITY,0,0,0,0.367463179808927,0,0,0,0,-3.46944695195361e-18,-6.93889390390723e-18,0,0,0,0.286617381288471,0,0,0,0,0,0,0,0,0,0.0406485559832285,0,0,0,0.0952963460278188,0,0,0,0,0,0,0,0,0,0,0,0,0.132154759135982,0,0,0,0,0,0,0,0,0.0548889999438733
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0545423114773357,0,0,0,0,0,0.205979252297116,0.130660568035646,-0.0204144523139048,0,0,0.200835731038824,0,0,0.00613666259704856,0.0126619178486097,0.368329825145193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677635838738274,0,0,0,-0.000442682598076828
X601166.CH.EQUITY,0,0,0.0287738369750195,0,0,0.156057459522757,0.0486128234195373,0.0724850262050048,0,0,0,0,0,0,0.160549112379866,0,0,0,0,0,0,0,0,0,0,0,0,0.0328083007933655,0,0,0.406993721597631,0,0,0.185682079509218,0,0,0,0,0,0.0491473897797695,0,0,0,0,0,0,0,0,0,-0.119811235163059
