,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.134383766627407,0.0260419969769042,0,0,0,0,0,0,0.0713260906566786,0,0,0,0,0,0,0,0,-0.0641626098751732,-0.185979092260158,0,0.0215816189202892,0,-0.197341056281141,0,0,0,0,0,0.627982247489438,0,0.178568465112376,0,0,0,0,-0.00977881069642582,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.119002488286391,0,0.168297561401482,0.0154177070482341,0,0,0,0,0.0505904980356215,0,0,0,0,0,0.00779105211439745,0.0872525012293766,0,0,0,0,0,0.0682859398661637,0,0.0424003319776079,0,0,0,0,0,0.293909086892603,0,0,0,0,0,0,0.0405525638175995,0,0,0.0158442928535789,0,0,0,0
X601939.CH.EQUITY,0.198413839233089,0,0,0,0,0,0,0,0,0.119304047738692,0,0,0,0,0,0,0,0.0941073250044973,0,0,0,0,0,0,0,0,0,0,0,0.086025970847623,0,0,0,-0.130310449433029,0,0,0,0,0.468056527466158,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.0479364542898459,0,0,-0.325141442064375,0.347934030639068,0,0.683117936120746,0,0,0,0.0960225885188657,0.215158483016719,-0.222653226863377,0,0,0,0,0,0,0,-0.195339008466839,0,0,0,0,0,0,-0.762503994702027,0,0,0,0,0,0,-0.302074656968813,0,0,0.226832975506713,0,0,0,0,0,0.303703291658942,0,0
X5.HK.EQUITY,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.449331049306558,0,0,0,0.502021294984276,0,0,6.93889390390723e-18,0,0.0596266320520203,0.000848374003879306,0,0,-0.066665488386364,0,0,-0.221107182223702,0,0,0,0,0,0,0,0,0,-0.165690909654106,0,0.108229855458234,0,0,0,0,0,-0.110615832044522,0
X601988.CH.EQUITY,-0.239307894112702,0,0,0,0.415241814505957,0,0,0,0,0,0,0,0,0,0,0,0,0.0488509262533909,0,0,0,0.644500654347795,0,0,-0.0792373401359026,0,0.0335167437862216,0,0,-0.488759294943549,0,0,0,0,0,0,0,0,0,0,0.109592187470161,0,0,0.0962517916088887,0,0,0,0,0,0
X600036.CH.EQUITY,-0.0324952193110419,0.656768777520405,-0.03844551035392,0,0,0,0,0,-0.102977095594158,0.3800561701818,0,0.223003419674704,0,0,0,0,0.0666087671223222,0.0255263126591717,0,0,-0.198000941842802,-0.190581075004863,0,0,0.157164460142318,0,0,0,0.0991864978402885,0,0.17418707759307,0,0,-0.239443849211206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0601978801537106,0,0,0.175193323424803,0.00440800926506608,0,0,0,0,0,-0.0235739674955335,0,0,0.00620729849478866,0.0944876364683646,0,0,0,0,0,0,0,0,0,0.220199644746323,0,0,0,0.00849447743113122,0,0,0.156103127322632,0,0,0,0,0,0,-0.00437910063018066,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0368665786118605,0,0,0,0,0,0,0,0.064792105162904,0,0,0.362331976277027,0,0,0,0,0,0,0.0198478982078238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18894075636881,0,0.120742423284813,0,0,0,0,0,0.0209218267763454,0,0,0,0,0,-0.14623158156173
X601328.CH.EQUITY,0,0,0.0227645752187263,0,0,0,0.0799856305236703,0,0,0,0,0.333568429620802,0,0,0,0,0,0,0,0,0,0,0,0,0.253717478949001,0.100012200190255,0,0,0.0531010830491697,0,0,0,0,0,0,0,-0.222287442867226,0,0,0,0,0,-0.0810044556979847,0,0.150356490444727,0,0,0,0,-0.371630620774549
