,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.473196523298419,0.117332544615847,0.122247217553563,0,0,0,0,0,-0.091280009893832,0,0,0,-0.0308407734840224,0,0,0,0,0,0,0,6.93889390390723e-18,0,-0.0357511374003963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952386037355192,0.121632836422804,0
X601939.CH.EQUITY,0.211216510969606,0,0,0.273645254666315,0,0,0,0,-0.032435896520438,0,0.010976612942572,0,0,0.263325049098408,-0.158100851132513,0,0,0,0,0,0,0,0.223688995919654,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294231127779911,0,0,0,0,0,0,0,0,-0.0554059292215059,0,0,0,0.167735647873911,0,0
X601318.CH.EQUITY,0,0,0,-8.67361737988404e-19,0.289110181247179,0.0484112315083218,0,0,0,0,0,0.0412515632722478,0,0,0,0,0,0,0,0,0,0.17520713407149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964311897802177,0,0,0.0731367870784822,0,0.153922647322588,0,0,0,0,0,0
X601288.CH.EQUITY,0.360915767955929,0,0,0,0.332857749068151,0,0,0,0,0,0.0231073744349555,0,0,0,0,0,0,0,0,0.0744412173863066,0.0308599144616068,0,0,0,0,0,0,0,0,0,0,0,0.04389388965974,0,0.0879961152740977,0,0,0,0,0.0418726834556887,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.510648261507271,0,0,0,0,0,0.199609420144652,0,0,0,0,-3.46944695195361e-18,0.0950722454920225,0.126579247505954,0,0,0,0,0,0,0,0,0,0.0446898799493998,0,0,0,0,0,0,0,0,-0.510356548993193,0,0,0,0,0,0,0,0,0,0,0.146859513832818,0,0,0,0.270139565509172
X600036.CH.EQUITY,0,0,0,0,-0.0439495570160398,0,0,0,0,0,0,0.231188401833787,-0.0232755148077041,0,0,0,0.115279357818492,0,0,0.0506605987010001,0,0.152029852311815,0,-1.73472347597681e-18,0,1.0842021724855e-19,0,0,0,0,0,0.263233334285137,0,0,0,-0.00711145226300616,0,0,0,0,0.113143941106928,0,0.103212033046341,0.0893532965797202,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0349798570661408,0,0,0,0,0,0,0,0,0.157355850377606,0,0,0.0502686676001557,0.502673008706739,0,0,0,0,0,0.13550795371898,0,0,0,0,0,0,0.0884259544833664,-0.0257274841896057,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0777330838077062,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,-0.0319674375662908,0,0,0,0,0,0,0,0,0,-0.139855916778729,0,-0.121962217022816,0,0,0,0,0,0,0.389221804190096,-0.15274801566278,0,0,0.734656967374733,0,0,0,0,0,0,0,0,0,0.367315900152775,0,0,0,0,0,0,-0.242174954353401,0,0,-8.67361737988404e-19,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0307992226596855,0,0,0,0,0,0,-0.172473002288166,0,0,0,0,0,0,0,0,0.24827320825471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32625980160672,0,0,0,0,0,0,0.219016208438274,0.11148988844699,0,0
X601658.CH.Equity,0,0,0,0.163998398962315,0.158016113698832,0,0,0,0,0,0,0,0,0.108817346273108,0,0,0,0,0,0,0,-0.078589951806184,0,0,0,0,0.0334873432523218,0,0.101098435024594,0,0,0,0,0,0,0,0,0.27206948311755,0,0,0,0,0,0,0,0,0,0,0.425783840930975,0,0
X601328.CH.EQUITY,0.0616566917762599,0,0,0.600348900613259,0,0,0,0,0,-0.0702648250340076,0,0,0.00417602704953019,0,0.0581734811816341,0.0172104878154162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151597381674707,0,0,0,0,0.116000109713458,0,0,0,0,0,0,0,0,0,0,0,0,0.0226648162261074,0,0.112752814548208,0
X601166.CH.EQUITY,0,0,0,0,0,0.438633196397888,0,0,0,0,0.00901141443849674,0,0,0.0292978100095912,0,0,0.0328244846244191,0,0,0,0,0,0,0,0,0,0,0,0,0.241774672619009,0.0248549631609801,0,0,0,0,0,0,0,0,0.00461502585236328,0,0,0,0.0324534067546921,0,0,0,0.0516286430982697,0.108056053016415,0,0
X388.HK.EQUITY,0,0,0.218704687423992,0,0,0,6.93889390390723e-18,0,0,0,0,0.0482791500813541,0,0.0165395714898975,0,0,0,0.0689929329459429,0.128457856312024,0,0,0,0,0,0.00886542901452203,0,0,0,0,0,0,0,0,0.0834778816709625,0,0,0,0,0,0,0,0,0,0,0.0623691074805717,0,0,0.0213838054713137,0,0,-0.0982102765253884
X600000.CH.EQUITY,0.296039051687703,0.050331579293472,0,0,0.124908741326903,0,0,0,0.108120720365697,0,0,0,0,0,0,0,0.0299828614699503,0,0,0.0523830973465725,0.0784094406834943,0,0,0,0,0,0,0,0.0275486068670093,0,0,0,0.0257545324760348,0,0,0,0,0,0,0.0546516191660445,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.0212616164983958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114200132469231,-3.46944695195361e-18,0,0,0.426833340592639,0.0771026899349816,0,0.11950644657235,0,0,0.223332712955408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.041008565518376,0,0,0,0,0.024545580033869,0,0,0,0,0,0,0,0,0,0,0,0.031011141511701,0.277744912622284,0,0,0,0,0,0,0.170639608140649,0,0.0879886872294557,0,0,0,0.0839521823098161,0,0,0,0.0109672974649544,0,0.0758707481791434,0,0.217595977815051,0,0,0,0
X000001.CH.EQUITY,0,0,0.180000821233184,0,0,0,0,0,0,0,0,0.276704324369308,0,0,0.099530121012571,0,0,0,0,0,0,0,0,0,0,0.138674872212687,0,0,0,0,6.93889390390723e-18,0.0653675037563768,0,0,0,0,0,0.00954334639767082,0,0,0,0,0,0,0,0,0,0,0,0.162505405384957,0
X16.HK.EQUITY,0,0,-0.0358090786217981,0,0,0,0.171239959212749,0,0,0,0,0,0.117297931295016,0,0,0,0,0,0,0.141812975897932,0,0,0,0,0,0,0,0,0,0,-0.0256319147004263,0,0,0.139841820038327,0,0,0.14050540320304,0,0,0.0905882224369963,-0.143000835794751,0.0267541023584653,0.329161378892829,0,0.0147121800981594,0,0,0,0,0,0
X688.HK.EQUITY,0,0.260313784916067,0,0.0139126679153355,0,0,0,0,0,0.0487752882959557,0,0,0,0,0.0544853304993646,0,0,0,0,0,0,0,0,0,0,0,0.0500332251972944,0.180788477832757,0,0,0.126758764577539,0,0,0,0,0,0.304679508165857,0,0,0,-0.0818203477365092,0,0,0,0,4.33680868994202e-19,0,0,0,0,0
X600016.CH.EQUITY,0,0.0365918043071173,0,0.111921280560556,0.13362169816362,0,0,0,0,0.0695266605080789,0.122940536175907,0.172624084784717,0,0.139271733379121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535919565351458,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.0909895263247524,0,0,0.0138866319597838,0,0
X601319.CH.EQUITY,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0703602026609329,0,0.203356664218566,0,0,0,0,0,0,0,0,0,0,0.0840157580002764,0,0,0,0,0,0.123739874468547,0,0,0,0,-1.38777878078145e-17,0,0.228037017801073,0,0,0.0733521496634973,0,0.120287828075634,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0
X601601.CH.EQUITY,0,0,0.767615958663481,-1.38777878078145e-17,0,0,0,0,8.67361737988404e-19,-0.124261584058075,0,-6.93889390390723e-18,0,0,0,0,0,0.142637719593753,0,0,0,0,0,0,0,0,0,0,0,0,-0.000169510183139508,0,0,0,0,0,-0.0205444324547119,0,0,0,0.0137825852628016,0,0,0,0,0,-0.027172889588236,0,0,0,-0.0615005186566037
X601998.CH.EQUITY,0,0.134764603822519,0,0,0.107608892424352,0,0,0.0153770861623632,0.0587166899164668,0,0.0925133738553649,0,0,0.109649885974622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178986451886619,0,0,0,0,0,0,0,0,-0.0408870639983497,0.0551753843664172,0,0,-0.041111232343688,0,0,0.424492376763168,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,-0.00712670586383983,0,0,0.320974862862999,0.0330052643286018,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525785009277521,0,0,0,0,0,0,0,0,0,0,-0.119827316626648,0,0,0,0,0.117902958081574,0,0,0,0,0,0,0,0,0,0
