,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.202403234097248,0,0.102257611368064,0,0.0307265863733121,0,-0.0647493700572271,0,0,0,0.412661868843947,0,0,0,-0.115447136237389,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0975439595838763,0.0226984752299804,0,0,-3.46944695195361e-18,0,0,-0.0848058646706236,0,0.166466746662215,0,0,0,0,0,0.0842951761987652,0,0,0.0790377562711501,0,0,0,0.0189714755136689
X601318.CH.EQUITY,0,0,0,0,0,0,0.00255091284019427,0,0.103702075595264,0,0.0152227318226145,0,0,-0.155903891648827,0,0.0794144948410486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218927086980223,0,0,0,0,-0.251825054344469,0,0.433661412180735,0.109207742401945,0.0340028445327985,0,0,0,0,0,0.180761825438723,0
X601939.CH.EQUITY,0.138264665008822,0,0,0.363784729764518,0,0.071852301490218,0,-0.0783914989563635,0,0,0,0,0,0,0.08897811727836,0,0,0,0,-0.0197939878040329,0,0.102220625891341,0,0,0,-0.0883280907274948,0,0,0,0,0,0,0,0,0,0,0,0,-0.015427713232954,0.491692381878629,0,0,0,0,0,0,0,0,0,0.00175139053757032,0
X601288.CH.EQUITY,0.406595135706417,0,0.155583292196965,0,0,0.15941149596413,0,0,0.0445524658236411,0,0,0,0,0.0313591529470821,-0.00300558976331306,-0.143447424069964,0.0517426060669438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121885615688387,0,0,0,0,0,0,0,0,0.181746798328514,0,0,0,0,0,0,0,0,0.191334442828726,0,-0.0152138415032368
X5.HK.EQUITY,0,-0.127681020848528,0.0274384844589245,0.286150425503312,0,0,0,-0.250265795575961,0,0,0,0,0.14458135862285,0,0,0,0,0,0,0,0.540075308434202,0,0,0,0,0.303898818825693,0,-0.0108708046712209,0,0,0,0,0,0.0221806066811428,0,0,0,0,0,0,0,0,0,0,0,0,0.201554394250939,0,-0.0718378494860891,0,0
X601988.CH.EQUITY,0.177728851075076,0,0.122301047177636,0.120966807332142,0,0,0,0,0.0953188885950813,0,0.0971469425312542,0,0,-0.271843469449442,0,0,0,0,0,0,0,0,0.0767336322403396,0.270240610912563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132133828163612,0,0,0,0,0,0,0,0.0249376234929556
X600036.CH.EQUITY,0,0.0335277351363936,0,0,0,0,0,0.0967843197620864,0,0,0,0,0.0465998908901722,0,0.306643128668479,0.234773781033102,0,0,0,0,0.106456128989035,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0.0460999831353767,0,0,0,0,0.0099198179187408,0,0,0,0,0,0,0.0307091001034047,0,0,0,0.073749454460118,0,0,-0.0433938469923139
X1299.HK.EQUITY,0,0,0,0,0,-0.0335374546950511,0.0695973632926538,0,0,0,0.138505308460819,0,0,0,-0.1451052821296,0,-6.93889390390723e-18,0,0.370197001577553,0,0.251918281919221,0,0.0424706355306429,0,0,0,0,0.10311863100072,0,0,-0.00418240397968299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.124292428699417,0.32059641801302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301287705956137,0,0.0266899293326404,0,0,0,0,0,0,0,0,0,0.118706082604164,0.0152265699633768,0,0.0475566202599142,0,0,0,0,0,0,-0.365682952881568,0,0,0.0689825712156152,0,0,0.195711404737339,0,0,0.205317718767128,0,0,0,0.0956594160300622
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127271218549208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
