,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.374146248038704,0,0.164225482146318,0,0.136760549134102,0,0,0.19484277564605,-0.0547076538931294,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0923353648334867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554262985731623,0,0,0,0,0,0,0,0,0,0,0.060432450263895,0,0
X601939.CH.EQUITY,0.398068683457718,0,0,0.235904264535236,0,0,-0.135554024967298,0,0,0.0206012033408554,0.0356765881952909,0,0.183044294399825,0,-0.0879413938465642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036303578943636,3.46944695195361e-18,0,0,0,0,0,0,0,0.208973288703446,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.216560219164112,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0260379833465732,0,0,0,0,0,0,0.181026728844359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258984482202177,0,0,0,0,0.218496813950043,-1.73472347597681e-18,0,0,0,0,0,0.111099338710473,0
X601288.CH.EQUITY,0.500252338023843,0,0,0,0.198598360203237,0,0,0,0,0,0,0,0.074754704305632,0,0,0,0,0,0,0.0129609252377084,0.118427239538475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050773942984965,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.381095537068608,0,0,0,0,0,0.264983837740216,0,0,0,0,0,0.356557039247481,0.0873572883610441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.368417707467224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.278494604681567,0,0,0,0,0.0920710277727375,0,0,0,0,0,0,0.010191827754605,0,0,0,0,0,0.043362424825382,0.185151313125279,0,0,0.0916187640837307,0,0,0,0.0159817134354425,0,0,0,0.172707131539466,0,0,0,0,0,0.105441957379379,0.0157016292457397,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0848623390724758,0,0,0.0588455391841578,0.122707489400297,0,0,0,0,0,0,0,0,0,0.0246761997564403,0,0,0,0.147117147228293,0,0,0,0,0,0,0,0,0.219903857333897,0,0,0,0,0,0,0.0922899129025461,0,0,0,1.38777878078145e-17,0.117246417418425,0,0,0
X5.HK.EQUITY,0,-0.100277678027647,0,0,0,0,0,0,0,0,0,0,0.225805435328475,0.264691263759133,-0.118988685629729,0,-0.333197116735752,0,0,0,0.140339515617992,0,-0.432675868619712,0.510156610428698,0,0,-1.38777878078145e-17,0,0.665825186600565,0,0,0,0,0,0,0,0,0,0.287672110460287,0,0,0,0,-0.27269060080296,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.00511962057732115,0,0.0722076906137997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0684381981106048,0,0,0,0.0512883533958289,0.0316916334945199,0,0,0.118819225051502,0,0.229605598440207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786961998887349,0,0,0,0.246236947520724,0,0.0912882874854492,0,0
X601658.CH.Equity,0,0,0,0.0418682653646076,0.197308171306607,0,0,0,0,0,0,0,0.262610882556594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876452365977035,0.173443692414616,0,0,0,0,0,0,0,0,0,0,0.0447278252683546,0,0,0,0,0,0,0,0.35215493651585,0,0,0,0
