,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.354089186951749,-1.38777878078145e-17,0,0,0,0,0.157037958991113,0,0,0,0.230608494589897,0,0,0,0.117979611273424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302132942658147,0,0,0,0,-0.048407609645126,0,0,0,0.0599109444422914
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.141797095469033,0,0,1.73472347597681e-18,0,0,0,0,0.0376204646942179,0,0.0692632539382029,0.0507983259922513,0,0,0,0,0,0.118627184021461,0,0.049854357185327,0,0,0,0,0,0,0,0.246632205824767,0,0,0,0,0.229008868953793,0.00646425687730033,0,0.033268066068298,0,0,0,0,0,-0.0127368281318184
X601939.CH.EQUITY,0.255566581778168,0,0,0,0,0,0,0,0,0.0354954533893972,-3.46944695195361e-18,0,0,0,0,-0.0129082728893661,0,0,0,0,0,0,0,0.0564184587220843,0,0,-0.142377802935716,0,0,0,0,0,-0.000301060651242289,0,0,0,0,0.0474174022723238,0,0.513796211664238,0.0485556217843827,0,0,0,0,0,0,0,0,0.118007741189606
X601288.CH.EQUITY,0,0,0,0,-0.0998393818246294,0,0,0,0.133429896429153,0,0.264847140523545,0.362212175539412,0,0,0,-0.0788047826572982,0,0,0,0,-0.0906860504633621,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0.0127907819601372,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.125104498844567,0.380323562852753,0,0,0,0,0.179660019658414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380007787710319,0.00132306115856153,-0.138131221145026,0,0,0,0,0,0,0,0,0,0.0920186875650686,0,0,0.21906699998597,0,0,0,0,0,-0.140369109544972,0,0.0963325008252278,0
X601988.CH.EQUITY,0,0,0,0,0.179751995891019,0,0,0,0.0274295029275528,0,0.000400322175066433,0.163873000870957,0,0,0,0,0,-8.67361737988404e-19,0,-0.00657858471230252,0,0,0,0,0,0,0,0,0,0,-0.182609083904954,0,0.300106590610867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.286718210319066,0,0,0,0,0,0,0,0,0,0,0,0,0.126975469005201,0,0.0636977433090451,0,0,0,0,0,0.0645006722545725,0,0.121485352002187,0,0.0944508404391847,0,0,0,0,0,0,0,0.308912888779372,0,0,0,0,0,-1.73472347597681e-18,-0.206336064325417,0,0,0,0,0
X600036.CH.EQUITY,0,0.304444513667411,0,0,0,0,-0.0887142764791601,0,0,0.402693223748216,0,0,0,0,0.0213192183676349,0.0683668635245509,0,0,0,-0.0278101035008579,0.292131544988957,0,0,0,0,0,0,0,0.162944174074357,0,0,0,0,-0.218521977256156,0,0,-0.152247402781318,0,0,0,-0.0380044137339859,0,0,0,0.260419020461911,0,0,0,0,0.0144796857317437
X601628.CH.EQUITY,0,0.20157589776197,0.0310282205077511,0.0888181441371804,0,0,0,0,0,0,0,0,0,0,0,0,0.225186224385244,0,0,0,0,0,0,0,0.026227671301814,0,0,0,0,0,0,0,0,0,0.257915550718401,0.00537623550985151,0,0,0,0,0,0.0332638574604897,0,0.0835578019083802,0.0810405898990199,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,-0.0140851238931707,0,0,0.770465802151362,0,0,0,0.066470595885472,0,0.0300912935749759,0,0,0,0,0,0,0.106484480773538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013871105216938,0,-0.249565555480128,0,0,0
