,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X600918.CH.Equity,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X601901.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0.223333302694074,0.272756131368716,0,0,0.0642181779766141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089771608619448,0,0,-4.33680868994202e-19,0,0,0,0,0,0.161704605328356,0.0629794752505834,0,0,0,0.033245261500146,0.14585931714217,0,0,0.0208265619442387,0
X601318.CH.EQUITY,0,0,0,0,0,0.0126996207790551,0.0527364937572704,0.0762846526967269,0.117155976600034,0,0.0221082536739466,0,0,0.117300143899297,0,0,0.0659847690644631,0.218543050147966,0.227246799365507,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0522498438083048,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100490607789586,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.187933493340469,0,0,0,0,0,-0.052977487441708,0.0256993940569324,0,0,0,0,0,0,0,0,0.841450368014523,-0.28301282475791,0.0308420637212415,0,0.0862623683704324,-0.214977820764403,0,0,0,0,0,0,0,0,0,-0.113857123185512,-0.0856694390546693,0,0,0,0,0,0,0,0,0,0,0.057069263773494,0,0,0
X601288.CH.EQUITY,0.358303160097691,0,0.0628914266469967,0,0,0,0,0,0,0,0,0,0,0,0.167097243589103,0,0.211549970991615,0,0,0,0,0,0,0,0,0.0269362536452008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16762991066662,0,0,0,0,0,-0.0698564509671866,0.0602351517037025,0
X600036.CH.EQUITY,0,0.0667965730582299,0.223352718856559,0,0,0,0.0953881805279279,0.205622692791834,0,0,0,0.0545309831408427,0,0.16308315819343,0,0,0,0,0,0,0,0,0.232304636383518,0,0,0,0,0,0,0,0,0.00851979162816187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134109560045138,0,0,0,0
X601628.CH.EQUITY,0.124283428765917,0,0,0.0207052666635238,0,0,0,0,0,0.00703226375409338,0,0,0,0,-0.101965726349138,0,0.310346904549999,0,0,0,0.0208907467124155,0,-0.0855691405930701,0,-0.0700607441392788,0,0.164419803863227,0,0,0,0.60115827234816,0,0,0,0.0980919966851541,0,0,0,0,0,0,0,0,0,0,0,0,0.0531509048927163,0,0
X601988.CH.EQUITY,0.380093568423818,0,0,0.0323856532926508,0.340301313718122,0,0,0,0,0,0,-0.0925481547400983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124123379446861,0,0,0,0,0.15588401053442,0,0,-0.122134464722052,0,0,0,0,0.167979981553157,0,0,0,0,0.150947723581661,0,0,0.0233744254450991,0,0
X1299.HK.EQUITY,0,0,0,-0.105957395409935,0,0,0,0,0,0.313399101813949,0,0,0,-0.0276209880295464,0,0,0,0,-0.0124962385813889,0,0,0,0,0.415816344957896,0,0,-0.0822781436229549,0,0,0,0,0,0,0,0,0,0,0,0.121347560285668,0.109523398578653,0,0,0,0,0,0.076872826386773,0,-0.0132098462403535,0,0.0202179699249008
X5.HK.EQUITY,0,0.209164038777044,0,0,0,0,0,0,0,0.0141044570672126,0,0,-0.0190183097824019,0,0,0,-0.0178851310547951,0,0,0,0.00870283659720517,0,0,0,0.435991288112382,0,0,0,0,0,0,0.208546761148631,-0.010763160124774,0,0.289672951325437,0,0,0,0.0970055467464888,0,0,0,0,0,0.0240131052911025,0,0,-0.178863042532168,0,-8.67361737988404e-19
X388.HK.EQUITY,0,0,0,0,-0.298898672449275,0,0,0.0517742694251878,0,0,0,0,0,0.0292627030604838,0,-0.085835098325611,0,0,0,0,0.314107849294418,0,0,3.46944695195361e-18,0.208542955440924,0,0.244850211583969,0,0,0,0,0.244914710736976,0.0815550671901524,0,0,-0.43986471502679,0,0,-0.0660030538110404,0,0,0.385495112102089,0,0.157715245673492,0,0,0,0.0484636428447827,0,-0.102846278878418
