,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601077.CH.Equity,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0.0419473988479607,0,0.131789387934052,0,0,0,0,0,0,0,0,0.404501240057142,0,-0.142237694041689,0,0,0,0,0,0.13461281310879,0,0,0,0,0,0.0682849184109251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163102141608236,0.0395108558666811,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.119370553787928,0,0,0.0651128842418552,0,0,0,0,0.0743428285725262,0,0,0,0,-0.0648586039990255,0,0,0,0,0,0,0,0.223316001404007,0,0,-0.195108247190153,0.410475296776358,0,0.0411074833454528,0,0,0,0,0,0,0.236280940634329,-0.122988886459241,0,-0.0574903309142918,0.0896407880002465,0,0.147064213820909,0,0,0,0
X601939.CH.EQUITY,0.202794176213893,0,0,0.280367213545448,0,0.0920939780186809,0,-0.0626841674154573,0,0,0,0,0,0.117921090538869,0,-0.0232017022201468,0,0,0.0662238744554842,0,0,0,-0.0583808358220092,0,0,0,0,0,0,0.473226755916852,0,0,0.00701003443142733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.39148329000253,0,0.234798993981471,0,0,0.076720996452076,0,0,0,-0.0149233490003907,0,0,0,0,0,0,0,0,0,0,0,0,0.0235596139577761,0,0,0,-0.0234991994653046,0,0,0.106784014181474,0,0,0,0,0,0,0,0,0.179712429798247,0,0,0,0,0,0,0.0785042117056151,0,-0.0399855917462042,0,0
X5.HK.EQUITY,0,-0.0959503426108641,0,0.297314699984483,0,0,0,-0.255964019036081,0,0,0,0,0.0906507242221875,0,0,0,0,0.586339877874968,0,0,0,0,0.261121103853416,0,0,0,0,0,0,0,0,0,0,0,0,0.230713113624019,0,-0.0864550976588632,0,0,0,-0.0121869646758305,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0784807701478141,0.349868211713826,0.0323071398869658,0,0,0,0.104685366715408,0,0.12882773538725,0.069789691289441,0,0,0,0,0,0,0,0,0.140531588635527,0.211497304200261,0,0,0,0,0,-0.00901034336371007,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,-0.251369543671061,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.223824029307293,0,0,0,0,0.394424851745875,0.178724008344088,0,0,0,0.0576306921798669,0,0,0,0,0,0,0,0,0.0796593235436796,0,0.0235733607195139,0,0,0.118249124507498,0,0,0,0,0,0,0,0,0,0,0,0.0779128139230125,0,0,0,0.0328004764844947,-0.079707021847001,0
X1299.HK.EQUITY,0,0,0,0,0,-0.00591605165612643,0.134121901566296,0,0,0,0.123363455018595,0,0,-0.193370549330049,0.00625544927918545,0,0.371930881732171,0.257143948227501,0,0,0.0954430821526586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136080583226415,0,0,0,0,0,-0.031597539172357,0.0793970994058133,0,0,0,0
X601628.CH.EQUITY,0.236102889008533,0.344489562703472,0,0,0.025391464158894,0,0,0,0,0,0,0,0,-0.0293228179948661,0,0,0,-0.131095763092809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0813343463779178,0,-0.157561311888247,0,0.0745488746415314,0,0,0,-0.169651056250284,0,0,0,0,0,0.0312159685348737,0,0,-0.0309463902258175,0
X601658.CH.Equity,0,0,0,-0.0988833275953163,0,0,0,0,0.0783663513991936,0,0,0,0,0,-0.0657720714245722,0,0,0,0,0,0,0,0,0,-0.0905727829532915,0,0,0.047821739552894,0,0.0932497045317743,0,0,0,0,0,-0.0144351097651778,0,0,0,0.0327464129360569,0,0,0.236517122734803,0,0.00609450520477208,0,0,0,-0.169885532563535,0
X601166.CH.EQUITY,0.0153078783607723,0,0.037256950260429,0,0,0,0.347028874909504,0,0,0,0,0,0,0,0.280218311586709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122690236300675,0,0,0,0,0,0,0,0,0.0178518280041073,0,0,0.137654299891732,0,0,0
X601328.CH.EQUITY,0,0,0,0,3.46944695195361e-18,0.129306273014159,0.0776803890441193,0,0,0,0,0,0.301059331338982,0,0,0,0,0,0.11551749577753,0.0726045176911067,-0.131178411724799,0,0.156834558267989,0,0,0,0,0,0,0.0211181409043143,0,0,0.110339445119424,0,0.0928047396789537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.0449897038907626,0.153799281958915,-0.0594218616827411,0,0,0,0.295964363608908,0,0.0775779426843262,-0.0293227736325203,0,-0.0381439137787139,-3.46944695195361e-18,0,0,0,0.0578296902410672,0,0.229390116220563,0,0,0,0,0,0,0,0,0.0692786928302263,0,0,0,0,0,0,0.213899781737894,0,0,0,0,0,0,0,0.0896090746006659,0,0
X000001.CH.EQUITY,0,0,0.125927288576235,0,0,0,0.00527884076562382,0,0,0,0.116341179643282,0,0,0,0.211356326130834,0,0,0,0,0,0,0,0,0,0.07146450604749,-0.0820699386567439,0.167710487907184,0,0,0.0236380967387266,0,0,0,0,0,0,0.50049845793689,0,0,0,0,0,0,0,0,-0.0643029934483051,0,0.0493030543011084,0,-0.327194107278846
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.291711971869114,0,0.265601551219882,0,-0.0391618666010012,0,0,0,0,0,0,0,0.388417641806952,0,0,0,0.268217626439144,0,0,0,0,0.083689653819558,0,0,0,0,0,0,0,0,0,0,0,0.0902781953418229,-0.0297729105788277,0,0,0,0,0,0.0100226745588954,0
X601319.CH.EQUITY,0,0,0.05582247613576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0991654886101049,0,0,0,0,0,0.0549182022172163,0,0,0,0,0,0,0.059923696485999,0.151150915325191,0,0,0.226147949358889,0.189661711706884,0,0,0,0,0
X388.HK.EQUITY,0,-0.162207231452907,0.060925258793862,0.304822048707884,0,0,0,0.413222773016294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.519332617466827,0,0.20029846941765,0,0,0,0,0,0,0.0806965135387053,0,0,0.132912472876746,0.170261062453101,0,0,0,0,0,0,0,0.116325330712838
X11.HK.EQUITY,0,0,0,0,0.107351625510867,0,0.0471889173702768,0.16900985980681,0,0,0,0,0,0,0,-0.0671991587046133,0.066072048708581,0,0,0.0412338015344052,0,0,0.610811068891613,0,0,0.246623095565927,0,0,0,-0.075246433454144,0,-0.0991536726362953,0,0,0,0,0,-0.0963510173292583,0,0.0785379382205938,0,0,0,0,0,0,0,0,0.0619587921320255,0
