,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X601009.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.10743853610134,0,0,-0.0879041268828893,0,0,0,0,0,0,-0.0220486250459733,0,0,0,0,0,0,0.807098384196023,0,0.434256595443578,0,-0.0455963408122114,0,0,-0.173889617116987,0,0,0,-0.160229164161113,0,0,-0.00221535450094471,0,-0.209989616278199,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0397554100667951,0.0247233989206498,0.0311767382906982,0.022451188595029,0,-0.0176000787179812,0,0.0613341184890541,0,0,0,0,0.110765148756936,0,0,0,0,0,0,0.437677671310899,0,0,0,0,0,0.0891057345400494,0.0255028153892347,0,0,0,0,0,0,0.0339980750647671,0,0,0,0,-0.024812506174742,0.0264088848956514,0,0.153969586427736
X601939.CH.EQUITY,0.255927801126373,0,0,0,0,0,0,0,0,0,0.032153306983133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434764993495501,0.0727410593958572,0,0,0,0,0,0,-0.132008579060683,0,0,0,0,0,0,0,0.0764437716646742,0.0967431820412289,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.271547560635422,0.225099907567787,0.00242436926776082,0.707429829629914,0,0,0,-0.287204845070961,0,0,0,0,0,0,-0.0214687344429788,0,-0.520977022621132,0,0,0,0,0,0,0.198490981480699,0,0,0,0,0,0.273512437984117,0,0,0,0,-0.0227639035305521,0,0,0,0,-0.248632565375156,-0.233085167802942
X5.HK.EQUITY,0,0,0,0,0,0.0272610137780316,0,0,0,0,0,0,0,0,0,0.0775582543577767,0,0,0.0491344554225293,0,0.39953846355735,0,0,0,0,0.0458830925110812,0,0,0,0,0,0.166251485084707,0,0.0150743056801721,0,-0.177853501314807,0,0,0,0,0.0897223807402872,0,0,0,0,0,0.161315491919639,0.227952002856007
X601988.CH.EQUITY,0,0,0,0,0.286779498226108,0,0,0,0,0,0.0463584816461547,0,0,0,0,0,0,0,0.265741349630617,0,0,0,0,0,0,0,-0.0959912690342811,0,0,0,0,-0.114430847810083,0,0.179690289209757,0,0,0,0,0.00521427745322124,0,0,0,0,0,0,0,0.269345083905827,0
X600036.CH.EQUITY,0.016368375944955,0.286317904820956,0,0,0,0,0,0,0,0.0685587173391798,0,0.416703872931294,0,0.0422166556065458,0,0.252131014183852,0,0,0,0,0,0,0.204551757541221,0,0,0,0,0,0,0,0.0572019450258721,0,0,0,-0.182516841534258,0,0,0,0,0,0,-0.206095879514818,0.225225938078625,0.0529879403821217,0,0,0,0.0611873436642738
X1299.HK.EQUITY,0,0.0791274540514426,0,0,0.399438305393899,0,0,0,0.110943532972305,0,0,-0.033203991222271,0,2.16840434497101e-19,0,1.73472347597681e-18,0.110213552550919,0.0880061345033231,0,0,0,0,0,0.0107861856011143,0,0,0,0,0,-0.0638069676208022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120026277536779,0,0,-0.0616424224076719
X601628.CH.EQUITY,0,0.0580876054551452,0.0121856273702875,0.060427202833283,0,0,0,0,0,0,0.0769980949541753,0,0,0.366982751875564,0,0,0,0,0.0598234388191584,0,0,0,0,0,0,0.0236652922532974,0,0.164759905059994,0,0,0,0.0236266774177127,0,0,0,0,0,0,0,0,0,0.0825488000961934,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.612733848805507,0,0,0,0,0,0,0,0,0.00878149502414192,0,0,0,0,0,0.188661628862134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.36012725065854,0,0,0,0.0950114028976695,0.0660597568940307,0,0,0.423409174226908,0,0,0,0,0,0,0,0,0,0,0,0,0.0296581372429173,0,0,0,0,0.0324049161853502,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0036365385754295,0,0.148803341906518,0,0.136429883253628
X600000.CH.EQUITY,0,0,0,0,0,0,0.463986934584692,0,0,0,0.149689933282135,0,-0.023892033863676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208580712730709,0,0.117863666619329,0,0,0,0,0,0,0,0,0,0.242003150528236,0,0,0.124117857286906,0
X601319.CH.EQUITY,0,0,0,-0.0433181706468189,0,0,0,0,0,-0.0755093565748847,0,0,0,0.274803133619627,0,0,0,0,0,0,0,0,0,0,0,0.351025535117165,0,0,0,0,0.226596521525155,-0.0321240746685302,0,0,0,0,0,0,0,0,0,0,0,-0.0394654451258613,0,0,-0.0638830563475531,0
X601601.CH.EQUITY,0,0.0942994017591786,0,0,0,-0.169620929659342,0.160169029596589,0,0.482807566894589,0,0,0.0725167125399641,0,0,0,0,0,0,0.0624978508572444,0.00503726851907737,0,-0.0756926983372384,0,0,0,0,0,0,0,0,0,0,0,0.0810188518761269,0,0,0.0175997544987152,0,0,0,0,0,-0.186404886391948,0,0,0,0,0
X11.HK.EQUITY,0.0952215194494411,0,0,0,0.170068626802487,0.160697631492984,0.00492736340465395,0,0,0,0.17341624510927,0,0,0,0,0,0.242845742211324,0,0,0,0,0,0,0,0,0,-0.0629134504730891,0,0,0.0665394284365473,0,0,0,0,0,0,0,0,0,-0.0470900766921305,0,0,0,0.156143487901286,0,0.0572883448225923,0,-0.028900764712022
X388.HK.EQUITY,0,0,0,0,0,0,0,0.185225966320762,0,0.0205969087947485,0,0,0,0.184806237597143,0,0,0.449200677431919,0,0,0,0.0645983404454857,0,0,0,0,0,-0.205957195148062,0,0,0,0,0,0,0,0,0,0.0509842086171005,0,0,0.0723054352436621,0,0,-0.0482803370160752,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0.11017921360623,0,0.0148203369163447,0,0,0,0.518319170280871,0.147165262975068,0,0,0,0,0,0.157624211558008,0,0,0,0,0,0,0,0,0,-0.0894410266257444,0,0,0,-0.141218832583492,0,0.146900787734629,0,0.0841057485010957,0,0,0,0,0,0,0.24108162372566,0
X600030.CH.EQUITY,0.062176025369814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814154277505963,0,0,0,0,0,0,0,0,0.144464913328796,0,0,0.310056529883608,0,0,0,0,0,0,0,0,0.274580847061076,0,0,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,3.46944695195361e-18,0.0597987146941251,0,0.0383414726894904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341507355905416,0.208318019910113,0,0,0,0,0,-0.0491655524854425,0,0,0,0.27048828263426,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.10805541512644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500517159546333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0201227836607164,0.162314136169294,0,0,0.216897397551601,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22449572231194,0.180265211994549,-0.0868771495437381,0,0,0.247932728544831,0,0,0.0249365440987097,0,0,0,0,0,0,0,0,0,0.0178096035976773
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.049011881231607,0,0,0,0,0,0.257916734871974,0.0385859205085678,0,0,0,0,0,0,0,0,0,0.136035228431126,0,-0.0770652921241772,0.0162460756850206,0,0,-0.0862474789321816,0,0,-0.0824988257152253,0,0,0,0,0,0.303382216821983,0.128010673898045,0.18080278034681,0,0,0.241832983784396,0.140104710093621
X601818.CH.EQUITY,0,0,0,0.520071351870138,0,0.0653244769990879,0.329806693328498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0370333475046657,0,0,0,0,0,0,0,0,0,-0.0810843256511015,0,2.16840434497101e-19,0,0,-0.219611521937203,0,0,0,0,0.440703509396578,0,0,0,0,0,0.0252937372301729
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13075562523388,0,0,0,0,0,0,0,0.1390178974893,0,0,0,0.0628560573893046,-0.077484928327844,0,0.26299714994025,0.162887428562566,0.0134144255940061,0,0.334723694098187,0,0,0,0,0,0
