,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X601788.CH.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X601916.CH.Equity,X601696.CH.Equity,X2884.TT.EQUITY,X601236.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0.191652051546359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564348114747477,0,0.0672663187476714,-0.26881355963267,0,0.015534130713489,0,0,-0.166067709928132,0,0,0,0,0,0,0,0,0,0.170635243698006,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.203596853923183,0,0,0,-0.0641307425157233,0,0,0,0.0729795744183806,0,0,0,0,0,0,0,0,0,0,0,0.137681380873737,0.041989162049669,0,0,0.227488582569696,0,0.170145374407673,0,0,0,0,0,0,0,0.0682431186956923,0,0,0,0,0,0,0,0.023268950049777,0,0
X601939.CH.EQUITY,0,0,0,0.673377617900576,0,0,0,0,0.0447233414946196,0,0,0,-0.0124168398339547,0,0,0,0,0,0,0,0,0.0566263807423397,0.0162912407485234,0,0,0,0,0,0,0,0,0,0,0,0,0.0541794534216152,0,0,1.73472347597681e-18,0,0,0,0,0.0388558053128853,0,0,0.203276157720108,0,-0.0117355894439526,0
X601288.CH.EQUITY,0.0318109167241259,0,0.798700893921833,0,-0.0674682719891223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497959407058858,0,0.0194574180512833,0,0,0.00375078385688123,0,0,0.0644770263241141,4.33680868994202e-19,0,-0.0290816106252397,0.0541571461580689,0,0,0.00919082705163394,0,0,0,0.0302373610940695,0,0,0,0,0,0.0970356977437027,-0.143027201581985,0,0
X601628.CH.EQUITY,0.0195356265206782,0,0,0,0,0,0,0,0,0.226613059412179,-0.0223254671675291,0.244952514056967,0,0,0,0,0,0,0.0900732521168558,0,0,-0.140900960003544,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.491481383049443,0,0,0,0,0.259499727717551,0,0,0,0,0,0,0,0,0,0,0.0700911012099598,0,0
X600036.CH.EQUITY,0,0,0,0.375119603815854,0,0,0,1.73472347597681e-18,0.0903839213448516,-0.00812257962779301,0,0,0,0,0,0.121138280498198,0.101218809881195,0,0,0,0,0.0472409293568203,0.0762764057590293,0,0,0.0747062155014065,0,0,0,0,0,0,0,0,0,0,0,0,0.0079083114412305,0,0,0,0.00269092902746406,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.0658394691796438,0,0,0,0,0,0,0,0,0.067120636457703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332509363220191,0,0,0,0,0.961127833644127,0.0330130603168197,-0.0113202172025105,0,0,0,0,0,-0.0647760679776711,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.144168175393395,0,0,0.0536251407917197,0,0,0,0,0,0.0479416197352439,0,0,0,0,0,-0.206946925133031,0,0.127724056733497,0,0.194435300060094,0.268814823169848,0,0,0,0.0478982005791919,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481474957132677,-0.106844720228291,0,0,0.186393152962128,0.26809959338079,0
X5.HK.EQUITY,0,0,0,0,-0.00845446433854959,0.0572715650181766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243619031909081,0,0,0.495522894606238,0,0,0,0,1.73472347597681e-18,0,0,-0.0482023594046718,0,0,0,-0.0303237642137888,0,0.08257150665756,0,0,0,0,0,0,-0.0747586679521387,-0.149362877309913,0,0,-0.179636784703095
X388.HK.EQUITY,0,0,0,0,0.297643930278116,0,0,0.300338731232667,0.236600871235388,0,0,0,0,0,0.0878793828234752,-0.268501917574571,0,0,0,0,0,0,0.2546780798286,0.240683025190638,0,0.228085013910623,-0.282026778523397,0,0,0,0,0,0.0161993272305641,0,0,0,0,0,-0.378421907238844,0,0,0,0,0.133357614229799,0,-0.287763265623987,0,0,0,0
