,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X1299.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X601398.CH.EQUITY,0,0.181600961628353,0.296877447896248,0.334591303695978,-4.33680868994202e-19,-0.0784445306398645,0,0,0,0,0,0,0.109375338817944,0,0,0,0,0,0.165354850515532,-0.106727265997652,-0.0152797288920259,0,0,0.194635163098442,0,0,0.276790242704289,0,0,0,0,0,0,0,-0.267065141158507,0,0,-0.0237009127212096,-0.214108914281057,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,2.16840434497101e-19,0.285919057525976,0,0,0,0,5.42101086242752e-20,0,0,0,0,0.371010934461964,0,0,0,0,0.19054346308373,-0.00418431356777057,-0.0642397701053758,0.150346412179468,0,0,0,0,0,0,0,-0.0264372918868333,0,-0.00635598730900571,0,0,0,0,0,0,0,0,-0.0252783155907414,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.444760980154513,0.140983716738235,0,0,0,1.73472347597681e-18,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0170944698405563,0,0.0592458154108077,0,0,0,0.0144866362669678,0,0.0360488883364758,0,0,0,0,0.165857932591221,0,0,0.00474181281767795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.27050790986067,0.0716977902348047,0.107598248736466,0,0,0.132172480740506,0.0601302038619002,0,0,0.330440521711361,0,0,0,0,0,0,0,0,0,0.0317252678852026,0,0.156153814997899,0,0,-0.182814514233207,0,0,0.00909099183602293,0,0.09540782983281,0,0,0,0,-0.0121782541979315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.47670475646474,0,0,0,0,0,0,0,0,0.12552731567052,0.0588012778162569,0,0,0,0,0,0.00529551930717436,-0.114379400424399,0,0.380403065846295,0.0200106959378229,0,0,0.133456326748937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189554941565516,0
X601658.CH.Equity,0,0.0578244361282904,0,0.0344121600368808,0,0,0,0.0711437970680934,0.206219640941716,0.00125433276280544,0,0,0,0,0.121117695960911,0,0.0205416543110217,0,0,0.0623684834878005,0,0.095945077760862,0,0.17884524540549,0,0,0,0.0113385422656569,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,-0.00629952393068984,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.101468703295241,0.0332908233124092,0,0.131534453271995,-0.0308997865594668,-0.0185287465413618,0,0,0,0,0,0.381203901432527,0.00995436271390873,0.0656189366751818,0,0,0,0,0.20570681097002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824091326568411,0,0,0,0,0,0,0,0,0.0794250243316364,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0890680613190591,0,0,0,0,0.140362198063515,0.0733370064830644,0.307247676928409,0,0,0,0,0.0350800669984983,0,0,0.0706423658438246,0.0311559283017588,0,0,0,0.0631679557525732,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.145230572073306,0.115618796216902,0,0
X600036.CH.EQUITY,0,0.416101592152108,0,0,0,0,0,0.254517645448841,0,0,0,0,0,0,0,0.0190930529876207,0.196768477863402,0,-0.105757380985282,0,0,0,0,0,0,0.0884680458905663,0.0657602817938148,0,0,0,0.0196411671098274,0,0,0,0,0,0,0.119476086452872,0,0,0,0,0,0,0,0.156012738425162,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.13069288872304,0,0,0,0,0,0,0.325706946223039,0,0.0206601259486532,0,0,0,0.196518326579832,0,0,0,0,0,0,0,0,0,0,0.168239538633243,0,-0.0575233176413208,0,0,0,0,0,0,0,0,0,0.238559252035135,-0.159935588635362,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,-0.0395384529396019,0,0,-0.182090035403867,0,-0.240552714619509,1.13903479395579,0,0,0,0,0,0,0,0,0,0,0,-0.0344414712500319,0,-0.111495208392923,0,0,0,0,-0.0561867677485986,-0.0263819493680197,0,0,0.195408578968195,0,0,0,0,0,0,0,0,0,0,0,0.19592195601119,0,0,0,-0.351734174911402,0.117844245310658
X600000.CH.EQUITY,0,0,0.120996312504295,0,0.107592327033115,0,0.0163585956292223,0,0.0525708096207775,0.122057393576479,0,0,0.0612916616138701,0,0,0,0.107755183001197,0,0.0874499973195158,0,0,0,0,0,0,0.0373051196175376,0,0,0,0,0,0.226625100151874,0,0,0.107534055312357,0,0,0,0,0,0,0,0,-0.0311182670372371,0,0,0,0,0,0
