,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X601916.CH.Equity,X2891.TT.EQUITY,X601881.CH.EQUITY,X601236.CH.EQUITY,X600919.CH.EQUITY,X601696.CH.Equity,X2884.TT.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.484841740056286,0,0,0.058364632629496,0,0.0394025908576002,0,0,0,0,0,0,0.181784167689733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170643848574333,0,0,0,0,0.13954277495547,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.102186868735088,0,0,0.00504161008393127,0.139017563710262,0,0,0,0,0,0,0,0.270457535361782,0,0,0.373644372188524,0,0,-0.0842176054826353,0,0,0,0,-0.0653306851921131,0,0,0,0.033610370212651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102172570040506,0,0.0466843000365459,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.12949712639261,0,0.0121893367432324,0,0,0,0,-1.73472347597681e-18,0,0,0.0824037932812288,0,0,0,0,0,0,0,0,0.130407505951113,0,0,0,0,0,0,0,0,0.481226571040702,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0902782316991769,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.374005454996781,6.93889390390723e-18,0,0,0.418087692253103,0,0,0,0,0,0.0424535798519875,0,0,0,0.0869688173476096,0,0,0,0,0,0,0,0,0,0.0418308477400196,0,0,0,0,0,0,0,0.00288600868633422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.308196309315682,0,0,0,0,0,0,0,0,0.0178727298194331,0,0,0.106122889389335,0,0.275635371325671,0,0,0,0.024790230225585,0,0,0,0.0288445221780144,0.1253503565321,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0.00698558989805138,0,0,0,0.0564832513855182,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.14820748490814,0,0,0,0,0,0,0,0,0,0,0,0.372718003621154,0,0.0301260703468358,0,0.0194289787709453,0,0.125220531237054,0,0,0,0,0.59149207870707,0,0,0,0,0,0,0,-0.227589604372288,0,0,0.148751962465375,0,0,-0.230803159819685,0,0,0
X600036.CH.EQUITY,0,0,0.00746683863159392,0,0,0.0321124419197373,0,0.0732727868067023,0,0,0,0.333021696812901,0,0,0,0,0,0,0.00995283204705362,0,5.55111512312578e-17,0,0,0.121338913749339,0,0,0,0.104108531860395,0,0,0,0,0,0,0,0,0,0,0,0.128793860915699,0.148660293469329,0,0,0.0910610133968139,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.232070222906795,0,0,0,-0.0833947086884775,0,0,0,0,0,0,0,0,0.0178459344285453,0,0,0,0.507892872863091,-0.0886623281490943,0,0,0,0,0,0,0,0,0,0,0,-0.0955782320904981,0,0,0,0.38550998043807,0.0418711989939769,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.306265685568991,0,0,0,-0.0606643220369855,0,0,0,0,0,0,0,0,0,0,0,0,-0.0118544506995601,0.190060525078505,0.152400136489048,0,0,0,0,0,0.0683770754909858,0.0497086377312336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138364558209487,0,0,0,0,0,0.0474322389843536,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,-0.00836779553907296,0,0,0,0,0,-0.256169590931729,0,0,0,0,0,-0.160214362272514,0,0,0,0,0,0,0,0,0.0820525439135552,0,0,0,0.534493617698573,0,0,0,0,-0.154288309689176,0,0,0.717344045211168,-0.0857619379631342,0,0,0,0.0741446193681302,0,0.548806980857486,0
