,X601398.CH.EQUITY,X601288.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X267.HK.EQUITY,X601166.CH.EQUITY,X601998.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X600030.CH.EQUITY,X5880.TT.EQUITY,X601838.CH.EQUITY,X601577.CH.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X2887.TT.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY,X601881.CH.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0.467774658436953,0.527443355166615,0,0,0,0,0,0,0.0633362570176934,0,0.112974312333428,0,0,0.0480553702066034,0,0,0,0,0.0247971376853036,0,0,0,0,0,-0.0767479047767813,0,0,0.0619087413001728,0,0,0,0,0,0,0,0,0,0,0,0.00803873604286075,0,0,0,0,0,0,0,0,-0.103425271223735
X601288.CH.EQUITY,0,0,0.718263413460071,0.226899343740023,0,0,0.102669771057863,0,-0.10934346367243,0,0,0,0,-0.0610075696464553,0,0,0,0,-1.73472347597681e-18,0.127760519676892,0,0,-0.142682413972166,0,0,0,0,0,0,0,0,0,-0.0525729467084771,0,0,0,0,0,0,0,0,0,-0.0239957237137388,0,0.0240895410820679,0,0,0.0837475859828176,0.0341672490166155,0
X601939.CH.EQUITY,0.124075121315453,0.272007768932449,0,0.176395214017752,0,0.0466906797915531,0,0,0,0,0,0,0,0,0.189155214146238,0,0,0.0470123665748014,0,-0.0365379338186945,0,0,-0.0323562005207409,0,0,0,0,0,0,0,0,0,0,0,0,0.226035464357491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.524292011445898,0.0279439801715043,0,0,0,0,0,0,0.238797258805585,0.10585431747208,0,0,0,0,0,0,0,0,0.0760752172454151,0,0,-0.298090074749851,0,0,0,0,0.125631185871098,0,0,0.149110842734943,0,0,0,-0.17553464603401,0.117762139202988,0,0,0,0,0,0,0,0,0,0.111363863191157,0,0,-0.0850095759949124,0
X5.HK.EQUITY,0,0,0,-0.121726802040631,0,0.254119135461751,0,0,0,0.075248195776681,0,0,0,0,0,0,0.0356830928889452,0,0,0.0649641029554173,0,0,0.0380913133905872,0,0,0,0.115037996363981,0.314753371592465,0.3137813695704,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.05417618746151,0,0,0
X601658.CH.Equity,0,0,0.0261716918698855,0,0,0,0.149759849788243,0,0,0,0,0,0,0,0,0.00865512946709244,0.272927094474323,0,0.0544435858529166,0,0.194828218555938,0,0,0,0,0.0372901650186316,0,0,0,0.0761480930636494,0,0,0.018332510572903,0,0,0.0340988422613808,0,0,0,0,0,0,0,0,0,0,0,0.00389266211123979,0,0.0228960852209734
X601328.CH.EQUITY,0,0.297122831579177,0,0,0,0,0,0,0,0.0029914655784399,0,0,0,0,0.137289432200125,0,0,0,0,0.047576418976409,0,0.201818906748708,0,0,0.159979676021202,0,0,0,0,0.0697198462744968,0,0,0,0,0,0,0.0569622622294741,0,0,0,0,0,-0.143405017591997,0,0.071147020781322,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211563342413465,0.347809608475379,0,0,0,0,0,0.0605431559232274,0,0,0.0715930589194997,0,0,0.146036319064973,0,0,0.112201678927906,0.203949411647861,0,0,0,0,0,0,0,0,0.0665408258170304,0,0,-0.0157564985281278,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00348003735923548,0.0413283193338331,0,0,0,0,0,0.363406533978798,0,0,0.0791579504764695,0,0,0.0855535727829306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143002769589462,0,0,0,0.00400957764433544,0,0,0
X267.HK.EQUITY,0,0,0,0,0.0418133082403721,0,0,0,0,0,0,0.162038744620849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780727791662971,0.369829973757287,0,0,0,0,0.0225581270795381,0,-0.177301342161757,0,0.102737970688083,0,0,0,0.204359553170772,0,0,0,0.015704871785199,0,0,0
