,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X300059.CH.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X000069.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,6.93889390390723e-18,0.546758705278306,0,0.0170019925045412,0,0.0667954772360073,0,0,0,0,0.0938681082341964,0,0,0,0.0883286889402014,0,0,0,0,0,0,0,0,0,0,0,0,0.0296801611293493,0,0,0.110258826362461,0,0.000843560882397164,0,-0.0516703140275516,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0
X601318.CH.EQUITY,0,0,0,0.0744546156442517,0,0,0,0,0.0590032958447435,0.0787551603803121,0,0,0,0,0,0.237668458737304,0,0,0,0,0,0.0489672773109532,0.141627440186943,0,0,0,0,0,0.138899719601371,0,0,0,0,0.0116207971827113,0,0,0.144432646795298,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.201220316811596,0.0034410653969417,0,0.305460842420228,0,0.0571294666300874,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.186389671333037,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0123877412985247,0,0,0,0,0,0,0,0,0.160811284970714,0,0
X601288.CH.EQUITY,0.0680936873881504,0,0.187629231686513,0,0,0.091909951741303,0,0,0,0.227534395756917,0,0,0,0,0,0.0375192912000177,0,0,0.0439603461486895,0,0,0.203845282190707,3.46944695195361e-18,0,0,0,0,0,0,0,0.0668114458427854,0,0,0,0,0,0,0,0,0,0,0,-0.0115886562836951,0,0,0,0.0430947329298629,0
X5.HK.EQUITY,0,0,0,0,0,0.0492324635946575,0,0,0,0,0.171065402834489,0,0.216939868003095,0,0.11901076835831,0,0.0243937730021804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14998017939061,0,-0.0321338060878064,0,0.579968155778029,0.0449759036016302,-0.895122062925151,0,0.159384645272542,0
X601988.CH.EQUITY,0.172130942149292,0,0.149978823633307,0,0.0295357542197292,0,0,0,0.0554741527657438,0,0,0,0.118400402224018,0,0,0.120350697683295,0,0,0,0.319063200853423,0,0,0,0,0,0,0,0,0.00216335991923702,0,0,0,0,0,0,0,0.0696751085764205,0,0,0,0,0.0322503718678,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0340609274290348,0,0,0,0,0,0,0.658776350665167,0.129666446618065,0,0,-1.73472347597681e-18,0,0,0,0,0,0.139387497400489,0,0.0159440047170311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.319211853275635,0,0,0,0,0.092317961910015,0,0,0,0,0.165123092031789,0,0,0.294056872652013,0,0,-0.0996837040777973,0,0,0,0,0,0.0810123149629724,0,-0.116083269620999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0488363977303036
X601628.CH.EQUITY,0,0.2584813720846,0,0,0,0,0.00543491380078632,0,0,0,0,0,0,0,0,0,-0.0480659790968023,0,0,0,0,0.00881780492176367,0,0,0,0.398388720258638,0,0,0,0.224188390010145,0,0.0690955750014966,0,0.010298121213143,0,0,0,0,-0.0220174036611713,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0214928767024629,0.147770376183775,0,0,0,0.122912950826766,0,0,0,0.00477908332401198,0,0.221705855944051,0,0,0,0,0,0.253013077140706,0,0,0,0.0589877128633704,0,0,0,0,0,0.195706217096677,0,0,0,0,0.00995797054069817,0,0,0,0.0166076520206024,0.0131029656245885,0,0,0,0,0,0,0,0,0
