,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,X601881.CH.EQUITY,X600015.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X601696.CH.Equity,X600958.CH.EQUITY,X600919.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.28008604354446,0,0.202101215646015,0.0143584626141048,0,0,-0.0118318873297785,0,0,0,0,0,0,0,0,0,0,0,0,0.0627989468354786,0,0,0.0677784560362115,0,0,0,0,0,0,0,0,0.0185562003762042,0.210067182579031,0,0,0,0,0,0,-0.0511258748871165,0,-0.00770639089462433,0,0,0,-0.0307964642154325,0
X601318.CH.EQUITY,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.0282422577167307,0,0,0,0.0114795121411925,0,6.93889390390723e-18,0,0,0.268304139770101,0,0,0,0,0,0,0,0,0,0,0.0770489283761547,0,0.113491268043205,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157183926178539,0,0,0.21281358622083,6.93889390390723e-18
X601939.CH.EQUITY,0,0,0,0.76846315250529,0,0,0,0,0,0,0.114270360840731,0,0,0,0,0.098226001555806,0,0,0,0.00719880245601845,0,0.0142015117246318,0,0,0.0702277247964959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399791045736811,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.20428137160082,0,0.813063916236205,0,-0.00986452160649706,0,0,-0.0490188372417612,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893176272327547,0,0,0,-0.0877291325184704,0,0,-0.151056334458287,0,0.043931966771149
X601628.CH.EQUITY,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.21491277883753,0,0,0,0,0,0,0,0.253843760887028,0,0,0,-1.38777878078145e-17,0,0,-0.0555303503865916,0,0,0,0.391191132021567,0,0,0,0,0,0,0,0,0.0527641695630755,0,0,0,0,0,0,0.0194223527723698,0,1.73472347597681e-18,0.144947726727742,0,0
X600036.CH.EQUITY,0.155895285396757,0,0.251205001238777,0.0933503309320594,0,0,0,0,0.0122197381448714,0,0,0,0,0,0,0.0846625133275785,0.0278379232736232,0,0,0,0,-0.00242578500405045,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0384461762024796,0,0,0,0.0625335576022019,0,0,0,0,0,0,0,0.0190687941104747,0,0.174841290082983,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0632746169646506,-0.0541668073899783,0.0123715153445487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229854564803183,0,0,0,0,0,0,0,0,-0.113938870002531,0,0.964789592951797,0,0.104444946889,0,-0.00848892992140366,0,0,0,0,0,-0.0305031662374831,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0283685169298427,0.449004066394481,0,0,0,0.0537391385889299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045131221368238,0,0,0.368682580776518,0,0,0,0,0,0,0,0,0,-0.0701053697890985,0,1.73472347597681e-18,0.053015293435725,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.287446753266678,0,0,0,0,-0.0470372142410169,0,0,0,0,0,0.371334277238227,0.0865090809536494,0,0,0,0,0,0,0.239681250369436,0,0,0.228628847236152,0.268268236317164,0,0,0,0.129608889849857,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0.0445599057955338,0,0,0.52932224615901,0,0,0.098365200271862,0.207730586958044,0,0,0,0,0,0,0,-0.00236031315444879,0,0,0,0,0.206426289679964,0,0,0,0,0,0,0,0,0,0.322543862544219,0,-0.315693005735519,0,0,0,0,0,-0.250479981470706,0,0,0.145507967759062,-3.46944695195361e-18,0,-0.245187316553627,0.300060671174528,0,0,-0.0397909031742529
